step,grad_l2
0,3.475732
1,4.610517
2,7.495914
3,7.359639
4,8.006025
5,8.691186
6,7.598822
7,3.438590
8,4.915684
9,4.466151
10,4.482301
11,3.072450
12,3.957544
13,1.866047
14,2.975142
15,3.660369
16,3.209988
17,1.958013
18,3.069143
19,3.922071
20,3.163602
21,1.148957
22,2.908653
23,1.759933
24,1.775349
25,2.567548
26,3.233928
27,3.145977
28,2.150849
29,2.044570
30,2.234816
31,1.632339
32,1.595706
33,1.219939
34,1.518136
35,1.590854
36,1.418937
37,1.124359
38,0.838500
39,1.227114
40,1.015617
41,1.191220
42,0.827239
43,1.189698
44,1.063112
45,1.179302
46,0.613662
47,1.057478
48,1.075794
49,0.867428
50,0.741588
51,0.898584
52,0.772399
53,0.885828
54,1.018565
55,0.872567
56,1.046128
57,1.562473
58,0.994113
59,0.821617
60,0.878301
61,0.950688
62,1.038082
63,0.881339
64,0.894876
65,0.862322
66,1.273196
67,0.850958
68,0.869620
69,0.888358
70,0.788126
71,0.858667
72,0.830319
73,0.810223
74,0.870234
75,0.859085
76,0.835449
77,0.762476
78,1.034137
79,0.949118
80,1.092097
81,0.913224
82,1.110322
83,0.933960
84,0.947483
85,1.035498
86,0.912055
87,0.733896
88,0.840988
89,0.936872
90,0.969697
91,1.201822
92,1.008524
93,0.877528
94,1.189173
95,1.132842
96,1.185066
97,1.245764
98,0.927963
99,0.998574
100,0.862101
101,0.794142
102,1.195135
103,0.989160
104,0.917205
105,0.782812
106,0.926655
107,1.178395
108,0.986162
109,0.933985
110,0.881177
111,1.219813
112,1.023792
113,1.042362
114,1.122704
115,0.995805
116,1.083553
117,0.937487
118,0.995579
119,1.035578
120,1.010374
121,0.869539
122,1.437947
123,1.079197
124,1.290311
125,1.090287
126,1.024541
127,0.982862
128,0.838756
129,1.358490
130,1.038873
131,0.825728
132,1.036869
133,1.311190
134,0.895180
135,0.990550
136,1.421114
137,1.033460
138,0.891467
139,0.961606
140,1.258700
141,1.122755
142,1.281154
143,1.284768
144,1.405452
145,1.088745
146,0.994759
147,1.026864
148,1.170374
149,0.978702
150,1.275453
151,0.919403
152,1.119450
153,1.292253
154,1.424225
155,1.205590
156,1.233590
157,0.987173
158,1.014113
159,0.823440
160,1.065422
161,1.276540
162,1.090280
163,0.968263
164,1.161770
165,1.370616
166,1.227941
167,1.021475
168,1.408441
169,1.105494
170,0.867466
171,1.012391
172,1.035062
173,0.961477
174,1.130333
175,1.416554
176,0.907130
177,0.918579
