step,fwd_ms,bwd_ms,opt_ms,total_ms
0,260.222,666.779,43.387,970.388
1,237.945,582.144,7.696,827.786
2,222.994,632.183,7.691,862.869
3,223.452,631.051,7.654,862.157
4,204.310,643.442,8.040,855.792
5,202.307,617.115,7.579,827.001
6,200.078,651.135,7.508,858.721
7,215.411,632.535,7.512,855.457
8,211.025,612.924,7.919,831.867
9,240.420,592.447,8.109,840.976
10,209.068,730.185,7.729,946.982
11,216.461,644.858,7.782,869.101
12,191.770,655.276,7.250,854.296
13,194.319,649.275,7.547,851.141
14,202.714,689.380,7.759,899.853
15,202.600,671.943,7.904,882.447
16,219.621,628.015,7.635,855.271
17,215.989,643.340,8.125,867.453
18,232.589,608.669,7.608,848.865
19,224.523,603.167,8.122,835.812
20,214.905,619.121,8.535,842.561
21,304.090,822.233,8.224,1134.548
22,289.977,603.702,7.781,901.460
23,224.614,586.329,7.079,818.022
24,230.702,593.471,7.738,831.911
25,243.647,605.160,8.525,857.331
26,299.910,624.352,7.694,931.956
27,218.129,651.489,7.730,877.348
28,228.003,1099.145,7.712,1334.861
29,219.568,565.903,7.321,792.792
30,228.729,607.639,8.054,844.422
31,213.244,630.727,8.140,852.111
32,210.186,618.310,8.072,836.568
33,237.834,636.364,8.056,882.254
34,216.200,667.050,7.874,891.124
35,215.745,652.788,7.809,876.342
36,209.583,1131.340,7.685,1348.609
37,230.335,1104.684,7.683,1342.702
38,226.656,611.623,8.069,846.347
39,227.813,603.842,7.707,839.362
40,223.463,1103.667,7.670,1334.801
41,215.301,622.078,7.782,845.161
42,225.194,615.661,7.617,848.471
43,234.841,601.270,7.734,843.845
44,217.642,1092.289,7.662,1317.593
45,221.370,593.890,7.552,822.811
46,235.405,629.397,7.905,872.706
47,220.833,619.654,7.796,848.283
48,233.353,1130.364,7.608,1371.325
49,227.611,1208.275,7.910,1443.796
50,236.404,626.116,7.913,870.433
51,216.683,642.590,7.614,866.888
52,216.540,1086.627,7.792,1310.960
53,232.406,634.381,7.799,874.587
54,233.278,627.380,7.769,868.426
55,234.310,622.026,8.089,864.425
56,233.638,1112.172,7.899,1353.708
57,231.762,772.663,8.179,1012.604
58,320.665,772.644,8.563,1101.872
59,285.879,577.037,7.851,870.767
60,235.526,1127.969,7.753,1371.248
61,244.103,1098.627,7.581,1350.311
62,242.492,688.706,7.772,938.969
63,223.165,1121.845,7.973,1352.983
64,247.403,614.728,7.809,869.940
65,230.534,637.200,7.475,875.208
66,226.436,640.255,8.061,874.752
67,238.341,610.501,7.722,856.564
68,235.438,633.124,8.085,876.647
69,228.955,644.620,7.391,880.966
70,241.092,603.809,7.848,852.749
71,226.445,642.871,7.990,877.306
72,211.544,662.339,7.631,881.513
73,211.783,686.137,7.269,905.189
74,233.040,640.200,7.719,880.959
75,230.726,1139.003,7.735,1377.464
76,232.157,667.089,8.189,907.435
77,285.666,684.235,8.387,978.288
78,267.746,759.999,7.949,1035.694
79,228.452,634.037,8.035,870.524
80,224.841,613.449,7.616,845.905
81,242.831,624.153,7.853,874.837
82,223.421,633.466,7.602,864.489
83,211.634,619.271,7.778,838.682
84,215.230,636.796,7.598,859.624
85,209.184,629.795,7.738,846.717
86,221.553,604.804,7.566,833.923
87,214.660,629.731,7.688,852.080
88,227.394,659.553,7.895,894.842
89,233.028,618.635,7.667,859.330
90,232.126,632.473,7.611,872.211
91,227.144,1113.345,8.108,1348.596
92,232.473,653.560,7.535,893.568
93,237.536,613.125,7.738,858.399
94,231.633,641.788,7.484,880.905
95,234.472,1129.327,7.592,1371.391
96,224.494,1154.541,7.514,1386.548
97,215.620,1167.222,7.814,1390.656
98,213.328,659.548,7.273,880.149
99,238.689,617.978,8.115,864.782
100,221.636,654.048,8.153,883.837
101,238.362,637.857,7.682,883.901
102,236.288,655.878,7.754,899.920
103,236.386,633.777,7.615,877.779
104,223.761,610.084,7.714,841.559
105,226.359,649.051,7.591,883.000
106,199.311,1176.981,7.735,1384.027
107,247.080,620.488,7.568,875.136
108,227.257,632.819,7.872,867.948
109,218.489,660.896,7.767,887.153
110,199.403,663.899,7.814,871.117
111,273.760,1197.051,7.988,1478.799
112,208.665,657.159,7.460,873.284
113,246.524,632.266,7.708,886.498
114,223.438,609.201,7.859,840.498
115,221.991,593.090,7.314,822.395
116,230.334,610.791,8.058,849.184
117,230.339,1151.760,7.797,1389.896
118,211.177,635.232,7.874,854.282
119,241.050,1135.016,14.429,1390.495
120,227.410,617.584,7.720,852.715
121,222.482,642.446,7.820,872.748
122,222.145,609.903,7.663,839.711
123,237.002,606.862,7.930,851.793
124,306.259,615.663,7.779,929.701
125,286.111,687.318,8.403,981.832
126,289.911,601.021,7.920,898.852
127,236.065,1092.364,7.097,1335.526
128,213.498,661.353,8.083,882.934
129,236.029,635.662,8.101,879.792
130,211.325,616.272,7.477,835.074
131,223.481,635.924,7.812,867.217
132,205.989,1141.038,7.646,1354.673
133,184.307,660.296,7.388,851.991
134,177.719,699.140,7.105,883.964
135,197.623,682.003,7.709,887.336
136,194.560,673.053,7.709,875.322
137,183.213,674.860,7.579,865.652
138,199.234,648.688,7.785,855.707
139,252.788,649.259,7.693,909.741
140,221.772,641.123,7.788,870.683
141,234.309,1175.755,7.573,1417.637
142,230.076,639.233,7.626,876.936
143,224.597,655.540,7.816,887.954
144,230.116,1109.576,7.588,1347.281
145,217.530,631.641,8.095,857.266
146,202.637,644.073,7.564,854.275
147,202.208,679.211,7.228,888.647
148,209.520,610.752,7.247,827.519
149,190.240,665.761,6.951,862.952
150,192.130,598.267,7.259,797.656
151,194.552,638.332,7.103,839.986
152,185.145,651.734,8.068,844.947
153,195.619,1144.562,7.641,1347.822
154,196.445,663.816,7.695,867.956
155,192.373,658.525,6.984,857.882
156,209.765,625.859,7.810,843.434
157,215.145,634.248,7.669,857.062
158,218.438,653.925,7.761,880.123
159,202.910,624.011,7.681,834.602
160,219.598,736.060,7.275,962.933
161,234.835,588.497,7.704,831.035
162,204.874,628.872,8.038,841.783
163,204.874,636.295,7.559,848.728
164,205.566,618.942,7.645,832.153
165,207.768,608.455,7.668,823.891
166,200.797,640.513,7.937,849.247
167,185.367,660.634,8.096,854.097
168,180.385,663.349,7.594,851.329
169,186.185,585.456,7.667,779.308
170,223.431,618.847,7.718,849.996
171,205.620,632.203,8.083,845.906
172,205.860,673.754,7.621,887.235
173,187.390,661.720,7.772,856.882
174,193.045,655.124,7.672,855.842
175,224.875,595.160,7.560,827.594
176,212.022,626.524,6.982,845.528
177,208.575,616.729,7.330,832.634
178,224.353,652.702,7.537,884.592
179,218.674,601.223,7.576,827.474
180,211.312,1070.637,7.492,1289.440
181,221.354,612.157,7.936,841.446
182,208.648,615.691,7.075,831.414
183,197.311,1097.976,7.423,1302.709
