step,loss
0,2.423275
1,2.589769
2,2.876207
3,3.470616
4,5.051949
5,4.675365
6,4.858392
7,3.112205
8,3.080560
9,3.132821
10,3.614755
11,2.923880
12,2.553635
13,2.877301
14,3.362759
15,3.450149
16,3.362241
17,2.962287
18,2.932523
19,2.220895
20,2.554615
21,2.435644
22,3.015459
23,2.656584
24,2.259014
25,2.586494
26,2.574395
27,2.894799
28,2.429768
29,2.441431
30,2.441768
31,2.134702
32,2.263020
33,2.172717
34,2.192734
35,2.088914
36,2.123989
37,2.128710
38,2.003890
39,2.021964
40,2.004148
41,1.925508
42,1.984096
43,1.961088
44,2.024060
45,1.959222
46,1.825683
47,2.051664
48,2.015382
49,1.896957
50,1.852518
51,1.897340
52,1.983950
53,1.795683
54,2.086193
55,1.901684
56,1.837852
57,1.974924
58,1.913162
59,1.811603
60,2.041199
61,1.924407
62,1.839778
63,1.830653
64,1.919219
65,1.934941
66,1.941412
67,1.743518
68,1.759432
69,1.859434
70,1.819784
71,1.782206
72,1.866872
73,1.811077
74,1.806502
75,1.996438
76,1.736010
77,1.741423
78,1.971772
79,1.762330
80,1.757748
81,1.695582
82,1.807006
83,1.856137
84,1.723748
85,1.769380
86,1.753642
87,1.603632
88,1.746067
89,1.709122
90,1.629901
91,1.679655
92,1.852976
93,1.848578
94,1.735166
95,1.746633
96,1.749328
97,1.649922
98,1.632792
99,1.710945
100,1.740464
101,1.721960
102,1.962342
103,1.696496
104,1.848927
105,1.683119
106,1.822226
107,1.778734
108,1.681172
109,1.503378
110,1.723072
111,1.675894
112,1.584141
113,1.678850
114,1.703023
115,1.567631
116,1.514969
117,1.638222
118,1.812175
119,1.585939
120,1.586330
121,1.553220
122,1.667699
123,1.497512
124,1.667584
125,1.627779
126,1.503089
127,1.613698
128,1.657673
129,1.579908
130,1.639447
131,1.636608
132,1.441968
133,1.509094
134,1.481764
135,1.741995
136,1.591646
137,1.471652
138,1.578077
139,1.372910
140,1.604886
141,1.383885
142,1.362945
143,1.564772
144,1.620074
145,1.480017
146,1.585258
147,1.501471
148,1.589869
149,1.568589
150,1.702314
151,1.312838
152,1.606841
153,1.523971
154,1.647798
155,1.537136
156,1.583387
157,1.518337
158,1.549815
159,1.515185
160,1.390491
161,1.442882
162,1.450204
163,1.373920
164,1.588101
165,1.387038
166,1.575394
167,1.324921
168,1.559366
169,1.426463
170,1.470185
171,1.505624
172,1.496261
173,1.281165
174,1.415865
175,1.526830
176,1.440321
177,1.591798
178,1.523805
179,1.380080
180,1.411693
181,1.532583
182,1.494557
183,1.318694
184,1.327666
185,1.418074
186,1.353393
187,1.326083
188,1.482897
189,1.334033
190,1.204287
191,1.356091
192,1.404630
193,1.431797
194,1.487178
195,1.322073
196,1.290452
197,1.503017
198,1.470045
199,1.624461
200,1.423578
201,1.537756
202,1.434897
203,1.523794
204,1.361268
205,1.344023
206,1.356590
207,1.290162
208,1.308057
209,1.419936
210,1.457441
211,1.418427
212,1.491367
213,1.487757
214,1.357826
215,1.362868
216,1.366596
217,1.394082
218,1.323258
219,1.312387
220,1.393926
221,1.345947
222,1.346654
223,1.574638
224,1.488714
225,1.382231
226,1.563497
227,1.562890
