step,grad_l2
0,3.535371
1,5.018025
2,5.707119
3,5.515267
4,6.343843
5,5.852604
6,5.470640
7,6.133662
8,4.036225
9,2.919692
10,4.286899
11,2.551706
12,3.024385
13,3.457783
14,1.966524
15,1.492881
16,1.508787
17,1.735776
18,1.122760
19,1.184552
20,2.723743
21,1.642658
22,1.083281
23,1.440539
24,1.008631
25,0.897346
26,1.574956
27,1.740072
28,1.487492
29,1.656197
30,1.284575
31,1.739189
32,1.339900
33,1.101415
34,1.422329
35,1.130365
36,0.857468
37,0.956163
38,1.107699
39,1.100513
40,1.015925
41,0.728399
42,0.690237
43,1.419699
44,1.269366
45,1.072544
46,1.412663
47,0.930486
48,0.908191
49,0.824801
50,0.941824
51,0.910201
52,0.819155
53,0.766803
54,0.879538
55,0.831447
56,0.735159
57,1.319272
58,0.861674
59,1.050022
60,1.022601
61,0.918792
62,0.772233
63,0.839544
64,0.976914
65,0.789121
66,1.101148
67,0.836079
68,1.077624
69,0.667522
70,0.753942
71,0.978502
72,0.913332
73,0.807618
74,0.995563
75,0.833216
76,0.706583
77,0.852219
78,0.751077
79,1.007810
80,1.005561
81,0.782077
82,0.790838
83,0.802847
84,0.848913
85,0.979729
86,0.944588
87,0.920629
88,0.838156
89,0.784499
90,0.822828
91,1.075654
92,0.887688
93,0.967118
94,0.859834
95,0.931987
96,1.111242
97,1.053511
98,0.765611
99,1.075014
100,0.664597
101,0.942161
102,1.135773
103,0.771060
104,0.879838
105,0.928041
106,1.059066
107,0.893225
108,1.180558
109,1.032128
110,0.923628
111,1.137343
112,0.843027
113,0.812660
114,0.861923
115,0.894768
116,0.777673
117,0.891169
118,0.936245
119,0.937548
120,1.070522
121,1.014428
122,1.307588
123,0.951879
124,0.899684
125,0.825341
126,0.943907
127,0.911339
128,0.803551
129,1.011971
130,0.773237
131,0.889908
132,0.868164
133,1.236588
134,0.971035
135,0.903770
136,0.858902
137,0.827852
138,0.763397
139,1.027802
140,0.981092
141,1.078542
142,1.103682
143,0.936406
144,1.203990
145,0.876751
146,1.330372
147,0.960725
148,0.879130
149,1.020455
150,1.019522
151,0.913621
152,0.989240
153,0.846563
154,0.930626
155,1.128448
156,0.989463
157,0.821385
158,0.695913
159,0.815874
160,0.938381
161,0.994479
162,0.969744
163,0.869253
164,1.023616
165,1.102928
166,1.108700
167,0.999685
168,0.825822
169,0.901099
170,0.756621
171,1.050538
172,0.913363
173,0.942413
174,1.082637
175,0.957731
176,0.830632
177,0.917467
178,0.849426
179,0.913514
180,0.767070
181,0.955441
182,1.239025
183,0.832476
184,0.980306
185,0.909627
186,0.968212
187,1.089660
188,0.975025
189,0.967054
190,0.936114
191,1.252709
192,1.099082
193,1.155636
194,0.869066
195,1.031006
196,1.071865
197,1.250234
198,1.081504
199,1.087828
200,1.086699
201,1.218120
202,0.891586
203,0.939690
204,1.027976
205,1.105342
206,0.953933
207,0.917476
208,0.705330
209,0.761621
210,1.061337
211,0.879015
212,1.001613
213,1.209778
214,1.002774
215,1.106702
216,1.048903
217,1.222156
218,1.062877
219,1.000408
220,1.064775
221,1.094222
222,0.970944
223,1.048753
224,1.023436
225,1.088096
226,0.964291
227,1.050492
228,1.031624
229,0.952743
230,0.997211
231,0.986025
232,0.954364
233,0.982763
234,1.179225
235,1.085441
236,0.979569
