step,fwd_ms,bwd_ms,opt_ms,total_ms
0,261.704,644.026,45.558,951.288
1,728.992,547.891,5.626,1282.509
2,216.459,527.885,6.109,750.453
3,703.017,507.743,5.545,1216.305
4,678.589,514.556,6.076,1199.221
5,202.600,477.636,5.443,685.679
6,686.858,953.902,6.223,1646.983
7,186.911,515.086,6.256,708.253
8,203.908,523.661,6.008,733.577
9,691.899,601.421,5.971,1299.292
10,182.378,575.555,5.856,763.790
11,174.151,508.125,6.012,688.288
12,192.179,997.797,5.890,1195.866
13,194.595,505.273,6.156,706.023
14,193.529,528.577,6.136,728.242
15,179.874,506.000,6.028,691.901
16,677.022,455.481,6.441,1138.943
17,187.364,450.339,5.772,643.474
18,186.262,963.454,5.783,1155.499
19,202.343,466.476,5.515,674.334
20,192.481,475.982,5.900,674.363
21,214.370,527.133,6.077,747.580
22,197.867,551.938,6.587,756.392
23,197.612,578.302,6.152,782.066
24,206.764,997.836,6.151,1210.751
25,201.286,547.655,5.458,754.400
26,208.780,613.087,6.243,828.109
27,172.149,616.591,6.192,794.933
28,187.627,629.803,6.144,823.573
29,189.602,554.914,6.242,750.758
30,171.876,599.780,6.235,777.891
31,221.211,559.843,6.190,787.244
32,186.499,620.373,6.258,813.130
33,668.972,629.713,6.071,1304.756
34,691.275,563.474,6.041,1260.790
35,198.097,590.095,6.158,794.350
36,192.779,551.210,6.392,750.382
37,190.221,963.244,5.978,1159.443
38,184.598,544.230,6.337,735.166
39,187.912,514.479,5.566,707.958
40,684.447,515.652,6.338,1206.436
41,188.869,602.571,6.363,797.804
42,200.678,599.911,6.032,806.621
43,205.185,578.314,6.279,789.777
44,181.850,600.392,6.368,788.610
45,706.281,592.819,6.342,1305.442
46,185.285,608.026,6.426,799.737
47,169.384,596.594,6.298,772.277
48,196.976,581.685,6.229,784.890
49,213.418,585.823,6.140,805.381
50,186.155,581.655,6.161,773.971
51,190.332,582.002,6.314,778.647
52,186.785,605.673,6.423,798.882
53,190.071,582.457,6.030,778.558
54,692.931,546.289,6.086,1245.306
55,682.465,525.863,6.143,1214.471
56,194.209,570.343,6.160,770.713
57,174.478,598.984,6.316,779.778
58,687.249,580.164,6.295,1273.709
59,187.044,607.570,6.070,800.684
60,218.769,553.298,6.311,778.378
61,196.762,610.692,6.135,813.590
62,174.084,582.630,6.108,762.822
63,174.413,603.950,6.389,784.752
64,694.728,534.598,6.095,1235.421
65,744.484,1061.884,6.019,1812.386
66,209.298,512.359,5.518,727.175
67,228.814,521.055,5.738,755.608
68,215.056,495.768,5.787,716.612
69,203.914,534.895,5.994,744.804
70,200.845,521.936,5.566,728.348
71,197.166,919.981,6.211,1123.358
72,194.365,508.228,6.015,708.608
73,235.973,513.473,6.121,755.567
74,250.328,561.103,5.569,817.001
75,244.308,535.232,5.572,785.112
76,233.582,1062.108,6.144,1301.834
77,222.977,570.466,6.174,799.616
78,206.544,599.760,6.125,812.429
79,696.703,580.963,6.144,1283.809
80,245.935,576.051,5.497,827.483
81,233.211,533.116,6.450,772.777
82,223.472,535.495,5.445,764.412
83,213.659,534.078,6.104,753.841
84,702.305,1025.450,6.287,1734.042
85,198.992,531.428,5.829,736.249
86,219.515,522.091,6.146,747.751
87,190.533,557.349,5.748,753.631
88,195.042,552.238,12.656,759.936
89,684.132,1029.463,6.134,1719.729
90,196.960,581.694,6.411,785.065
91,185.139,591.932,6.128,783.200
92,205.441,559.564,6.159,771.164
93,217.217,597.417,6.519,821.153
94,696.495,583.189,5.596,1285.281
95,215.576,557.878,6.115,779.569
96,708.867,548.049,6.215,1263.130
97,219.239,541.861,6.187,767.287
98,211.593,551.612,5.556,768.761
99,217.210,563.217,6.163,786.591
100,212.505,1036.361,6.068,1254.933
101,209.685,569.372,6.261,785.318
102,224.996,562.176,6.231,793.403
103,716.764,596.024,6.471,1319.259
104,210.983,567.082,6.144,784.209
105,203.858,565.378,5.985,775.221
106,217.004,553.936,5.626,776.567
107,213.857,498.501,5.510,717.868
108,222.701,542.157,5.711,770.569
109,203.894,477.860,5.513,687.267
110,195.537,457.737,5.641,658.916
111,252.564,558.242,6.508,817.315
112,225.261,1053.524,6.551,1285.336
113,212.936,563.883,5.475,782.294
114,221.238,537.475,6.539,765.252
115,225.486,558.408,5.932,789.826
116,225.429,555.992,6.227,787.648
117,225.853,551.936,6.511,784.299
118,208.276,546.421,6.020,760.717
119,223.649,567.604,6.060,797.312
120,730.416,536.438,6.000,1272.854
121,227.455,533.678,6.341,767.474
122,225.360,540.281,6.278,771.919
123,223.651,525.658,5.563,754.872
124,227.483,546.907,5.994,780.385
125,225.542,547.158,6.361,779.060
126,225.750,557.812,6.124,789.685
127,188.792,985.317,6.213,1180.323
128,169.658,475.116,5.577,650.352
129,183.008,550.482,6.307,739.797
130,663.910,526.849,6.170,1196.929
131,183.962,482.172,6.408,672.542
132,169.692,517.728,5.992,693.412
133,208.496,516.926,6.123,731.545
134,179.496,552.861,6.082,738.439
135,180.904,499.585,6.030,686.519
136,705.464,941.496,5.793,1652.752
137,185.451,519.986,6.476,711.913
138,192.350,976.061,6.202,1174.613
139,179.060,542.786,6.591,728.437
140,182.288,530.973,6.287,719.547
141,183.564,505.524,5.782,694.870
142,674.014,518.421,6.182,1198.617
143,171.397,567.708,6.542,745.647
144,192.214,540.118,5.517,737.849
145,199.537,971.222,6.423,1177.182
146,180.013,535.584,6.280,721.876
147,195.847,581.829,6.507,784.183
148,660.311,558.319,6.003,1224.634
149,193.913,568.377,6.063,768.353
150,172.704,612.189,6.085,790.978
151,186.408,584.969,6.051,777.429
152,682.812,588.905,6.051,1277.767
153,201.586,560.353,6.475,768.415
154,187.318,590.424,6.080,783.822
155,686.969,549.994,6.242,1243.206
156,663.740,566.864,6.225,1236.829
157,194.557,580.014,6.036,780.607
158,685.336,590.508,6.521,1282.365
159,166.653,593.841,5.539,766.033
160,185.628,592.642,6.286,784.556
161,196.094,569.193,6.040,771.327
162,171.006,594.276,6.178,771.460
163,195.091,568.749,6.118,769.957
164,677.890,581.661,6.443,1265.995
165,676.807,566.760,5.987,1249.553
166,171.996,571.498,6.125,749.619
167,687.536,600.774,6.103,1294.414
168,663.785,574.748,6.214,1244.746
169,167.877,598.914,6.021,772.812
170,192.218,576.658,6.380,775.257
171,204.956,544.516,6.299,755.772
172,179.715,620.605,6.063,806.383
173,686.107,588.107,6.106,1280.320
174,188.148,563.792,5.644,757.585
175,191.167,584.041,6.377,781.585
176,688.386,548.306,12.533,1249.225
177,696.032,583.102,6.356,1285.490
178,681.497,563.877,6.177,1251.551
179,679.855,587.081,6.466,1273.401
180,185.753,576.302,6.336,768.390
181,185.483,549.961,6.227,741.671
182,181.559,595.959,6.280,783.798
183,663.252,571.722,6.086,1241.060
184,187.337,577.152,6.327,770.816
185,190.459,590.811,6.656,787.927
186,185.565,557.620,6.210,749.396
187,191.722,606.176,6.197,804.094
188,192.346,546.434,5.995,744.775
189,186.157,581.028,5.680,772.865
190,168.573,510.416,6.300,685.289
191,184.962,463.929,5.568,654.459
192,170.365,484.040,5.798,660.203
193,196.146,473.440,5.624,675.210
194,167.230,563.078,6.435,736.743
195,954.764,640.717,92.199,1687.680
196,689.810,1028.434,15.409,1733.653
197,195.806,540.002,5.901,741.709
198,170.053,476.113,6.914,653.080
199,178.991,459.228,7.153,645.372
200,185.854,457.420,5.715,648.989
201,186.796,461.047,10.323,658.166
202,200.564,944.719,6.046,1151.329
203,184.860,501.808,5.891,692.559
204,196.356,533.945,6.085,736.385
205,172.849,512.574,5.885,691.307
206,688.874,499.555,6.405,1194.834
207,184.068,520.340,6.046,710.454
208,188.908,446.005,5.547,640.460
209,167.598,945.703,6.215,1119.516
210,189.243,531.322,6.236,726.801
211,683.358,505.416,6.152,1194.925
212,183.279,520.022,5.917,709.218
213,189.950,486.898,5.464,682.312
214,183.657,951.138,6.188,1140.983
215,214.262,520.951,6.037,741.250
216,195.677,496.284,6.237,698.198
217,181.078,518.524,6.024,705.626
218,680.433,530.853,5.909,1217.195
219,171.373,537.386,5.399,714.157
220,203.856,459.628,5.399,668.883
