step,loss
0,2.423275
1,2.886414
2,2.944514
3,3.571434
4,3.632157
5,4.482110
6,3.967805
7,5.040766
8,3.404676
9,2.789531
10,3.473150
11,3.045908
12,3.352989
13,2.980084
14,2.562205
15,2.863934
16,2.683351
17,2.792757
18,2.273475
19,2.350647
20,2.535318
21,2.183759
22,2.289371
23,2.352814
24,2.221166
25,2.292273
26,2.164483
27,2.395429
28,2.332930
29,2.237609
30,2.274056
31,2.031122
32,2.014821
33,2.037217
34,2.032647
35,2.069045
36,1.968092
37,2.013311
38,2.080767
39,1.971161
40,1.961484
41,1.901084
42,2.025327
43,2.108994
44,2.030275
45,2.037799
46,2.018629
47,1.956756
48,1.975242
49,1.915498
50,1.862827
51,1.944465
52,1.866171
53,1.763143
54,1.926252
55,1.875301
56,1.772958
57,2.036374
58,1.891740
59,1.805395
60,2.247189
61,2.023095
62,1.957023
63,1.855019
64,1.874582
65,1.947873
66,1.827447
67,1.780530
68,1.769927
69,1.777669
70,1.831525
71,1.822499
72,1.850528
73,1.870647
74,1.791499
75,1.962793
76,1.700112
77,1.811084
78,1.935921
79,1.671740
80,1.803020
81,1.728536
82,1.790934
83,1.793355
84,1.697494
85,1.709277
86,1.788334
87,1.600631
88,1.742878
89,1.699565
90,1.591527
91,1.638253
92,1.777510
93,1.777041
94,1.690587
95,1.698429
96,1.776822
97,1.732272
98,1.729059
99,1.677551
100,1.622380
101,1.773448
102,1.866762
103,1.611896
104,1.774054
105,1.629285
106,1.809971
107,1.737794
108,1.595869
109,1.579363
110,1.708888
111,1.563552
112,1.573863
113,1.658630
114,1.703427
115,1.691605
116,1.512770
117,1.568339
118,1.717491
119,1.559905
120,1.676633
121,1.589897
122,1.814143
123,1.476816
124,1.631841
125,1.621278
126,1.668323
127,1.643910
128,1.629508
129,1.539866
130,1.629157
131,1.629639
132,1.473089
133,1.524001
134,1.627378
135,1.705752
136,1.571253
137,1.413294
138,1.512045
139,1.435058
140,1.629677
141,1.480775
142,1.431674
143,1.515080
144,1.552831
145,1.544605
146,1.777281
147,1.546885
148,1.574844
149,1.667283
150,1.808247
151,1.456429
152,1.583913
153,1.571162
154,1.678489
155,1.698268
156,1.595677
157,1.530314
158,1.518293
159,1.590493
160,1.512078
161,1.502369
162,1.463710
163,1.459696
164,1.552945
165,1.375368
166,1.731887
167,1.303910
168,1.500704
169,1.466724
170,1.548953
171,1.536277
172,1.424630
173,1.327537
174,1.473710
175,1.475896
176,1.441172
177,1.648970
178,1.507709
179,1.458153
180,1.351763
181,1.534241
182,1.477081
183,1.458789
184,1.403925
185,1.571493
186,1.420486
187,1.456674
188,1.363857
189,1.422634
190,1.392909
191,1.539274
192,1.517454
193,1.492953
194,1.383049
195,1.401019
196,1.421096
197,1.382395
198,1.527182
199,1.521375
200,1.372690
201,1.566316
202,1.430913
203,1.438874
204,1.336652
205,1.440415
206,1.418742
207,1.311613
208,1.315853
209,1.338537
210,1.422674
211,1.372714
212,1.437289
213,1.567711
214,1.450416
215,1.307728
216,1.304615
217,1.352582
218,1.309344
219,1.346599
220,1.352259
221,1.279077
222,1.300295
223,1.501978
224,1.446565
225,1.434044
226,1.327208
227,1.448626
228,1.310051
229,1.323618
230,1.280781
231,1.414227
232,1.357097
233,1.365005
234,1.400711
235,1.373266
236,1.190105
237,1.332396
238,1.443704
239,1.387537
240,1.456450
241,1.154999
242,1.231528
243,1.353396
244,1.498940
245,1.252252
246,1.079629
247,1.278011
248,1.420793
249,1.432528
250,1.483217
251,1.498933
252,1.398649
253,1.449817
254,1.324893
255,1.514766
256,1.390040
257,1.391948
258,1.313041
259,1.507820
260,1.264243
261,1.332432
262,1.290073
263,1.280419
264,1.350349
265,1.387231
266,1.107004
267,1.152262
268,1.371598
269,1.325847
270,1.377665
271,1.363552
272,1.328228
273,1.246961
274,1.253709
275,1.423247
276,1.429960
277,1.317251
278,1.209471
279,1.277399
280,1.161631
281,1.193928
282,1.172147
283,1.327948
284,1.116757
285,1.238542
286,1.297543
287,1.265767
288,1.290261
289,1.202334
290,1.270664
291,1.206317
292,1.317464
293,1.259151
294,1.244672
295,1.199361
296,1.194568
297,1.266312
298,1.350813
299,1.264575
300,1.367090
301,1.138749
302,1.526744
303,1.194145
304,1.026711
305,1.070868
306,1.145337
307,1.256012
308,1.191091
309,1.201961
310,1.256606
311,1.285604
312,1.164860
313,1.195346
314,1.267801
315,1.245174
316,1.319108
317,1.181207
318,1.223184
319,1.191997
320,1.075114
321,1.132002
322,1.288397
323,1.282851
324,1.109115
325,1.421488
326,1.263386
327,1.178795
328,1.425174
329,1.241111
330,1.249991
331,1.106976
332,1.040984
333,1.307183
334,1.240991
335,1.099091
336,1.282041
337,0.994069
338,1.376831
339,1.175977
340,1.026068
341,1.056837
342,1.032612
343,1.313075
344,1.175381
345,1.183933
346,1.177598
347,1.177603
348,1.316688
349,1.320588
350,1.122113
351,1.129895
352,1.031003
353,1.198216
354,1.004034
355,1.135405
356,0.924623
357,1.191856
358,1.087376
359,1.054964
360,1.108731
361,1.159703
362,1.209388
363,1.175368
364,1.169142
365,1.260679
366,1.267674
367,1.186348
368,1.218628
369,1.091043
370,1.091471
371,1.148376
372,1.184203
373,1.179437
374,1.060048
375,1.043907
376,1.058098
377,1.044633
378,1.055073
379,1.070429
380,0.979887
381,1.317118
382,1.205989
383,0.970665
384,1.274771
385,1.164832
386,1.146942
387,0.966436
388,1.132726
389,1.193442
390,1.017653
391,1.037286
392,0.956222
393,1.033910
394,1.066867
395,1.059754
396,1.100727
397,0.898979
398,1.085166
399,1.076222
400,0.992593
401,0.877620
402,1.183636
403,1.021536
404,0.971437
405,0.965834
406,0.987255
407,0.953416
408,1.024000
409,1.019990
410,1.219907
411,1.067960
412,0.930177
413,0.979786
414,1.073159
415,1.002346
