step,grad_l2
0,3.156221
1,4.330990
2,6.127667
3,8.556093
4,7.506044
5,9.350500
6,7.439339
7,10.027646
8,7.622830
9,5.838575
10,6.114434
11,4.953113
12,3.202291
13,2.394687
14,2.328177
15,1.744677
16,1.426248
17,0.954029
18,2.144997
19,2.947278
20,1.528372
21,1.234306
22,1.250699
23,1.611332
24,0.785136
25,1.975030
26,0.951947
27,0.680463
28,0.785654
29,0.606685
30,0.530792
31,0.649376
32,0.656666
33,0.856887
34,0.504856
35,0.612844
36,0.743653
37,0.602503
38,0.791514
39,0.729003
40,0.631976
41,0.569965
42,0.722265
43,0.428573
44,0.547944
45,0.750989
46,0.554249
47,0.873954
48,0.548461
49,0.972120
50,0.667718
51,0.496727
52,0.450873
53,0.523316
54,0.434184
55,0.550049
56,0.821627
57,0.444487
58,0.600596
59,1.018283
60,0.717607
61,0.607105
62,0.616882
63,0.446243
64,0.912958
65,0.565529
66,0.650583
67,0.628712
68,0.565964
69,0.624358
70,0.610589
71,0.606518
72,0.589594
73,0.852754
74,0.571758
75,0.670584
76,0.716330
77,0.584651
78,0.663693
79,0.603302
80,0.791802
81,1.143829
82,0.711014
83,0.892399
84,0.667367
85,0.780765
86,0.736901
87,0.474186
88,0.664740
89,0.762141
90,0.616695
91,0.556230
92,0.558647
93,0.571005
94,0.695392
95,0.727023
96,0.645968
97,0.649458
98,0.890297
99,0.784606
100,0.726315
101,0.746750
102,0.661979
103,0.958274
104,0.612447
105,0.715496
106,0.636713
107,0.651995
108,0.608061
109,0.740264
110,0.829080
111,0.736826
112,0.607636
113,0.810272
114,0.799216
115,0.669631
116,0.989108
117,0.775088
118,0.677239
119,0.640924
120,0.606744
121,0.620546
122,0.767689
123,0.750862
124,0.704233
125,1.054905
126,0.986801
127,0.671793
128,0.706478
129,0.786443
130,0.816829
131,0.731419
132,0.709674
133,0.827814
134,0.753713
135,0.559274
136,0.781988
137,0.764450
138,0.593852
139,0.595938
140,0.867960
141,0.748058
142,0.654896
143,0.884541
144,0.776905
145,0.647930
146,0.708550
147,0.799505
148,0.790936
149,0.670357
150,0.892215
151,0.744076
152,1.098456
153,1.077993
154,0.729219
155,1.041017
156,0.971477
157,0.665838
158,0.631996
159,0.648454
160,0.908201
161,1.094238
162,0.709937
163,0.893341
164,0.685132
165,0.676916
166,0.669137
167,0.744893
168,0.898830
169,0.871824
170,0.853536
171,0.766505
172,1.113111
173,0.847385
174,0.841837
175,0.728990
176,0.871567
177,0.958330
178,0.696519
179,0.708152
180,0.765435
181,0.781871
182,0.673375
183,0.657576
184,0.712516
185,0.715241
186,0.674775
187,0.694842
188,0.806979
189,1.046726
190,0.809466
191,0.787293
192,0.900988
193,1.089068
194,0.693746
195,0.805196
196,0.906075
197,0.861313
198,0.974746
199,0.970393
200,0.767997
201,0.875455
202,1.039607
203,0.825848
204,0.825183
205,0.861798
206,0.931766
207,0.925902
208,0.875436
209,0.743858
210,0.974686
211,0.895450
212,0.748713
213,1.117313
214,0.968085
215,0.916218
216,0.801072
217,1.013269
218,0.724149
219,0.956827
220,0.781723
221,1.056887
222,1.160693
223,0.822753
224,0.789229
225,1.263851
226,0.917290
227,0.830900
228,0.853017
229,0.856779
230,1.181424
231,1.119383
232,0.865620
233,0.946727
234,0.955740
235,0.968123
236,0.874103
237,1.161045
238,0.883546
239,1.127382
240,0.804464
241,1.005518
242,0.922135
243,0.942050
244,1.021295
245,0.833757
246,0.873097
247,0.865274
248,0.977048
249,0.736957
250,0.960569
251,0.767573
252,0.805504
253,0.886678
254,1.026911
255,0.972482
256,0.956543
257,0.766786
258,0.895146
259,1.081748
260,0.945480
261,0.936505
262,0.929411
263,0.819869
264,0.878824
265,0.805441
266,0.967666
267,0.997529
268,0.887555
269,1.184719
270,0.921925
271,1.108644
272,0.995837
273,0.889975
274,0.849763
275,0.974344
276,0.974327
277,0.819349
278,0.887249
279,0.865244
280,0.833025
281,0.698815
282,0.968734
283,0.892769
284,0.866940
285,0.933302
286,0.806201
287,0.805104
288,0.897263
289,0.836779
290,0.963143
291,0.977228
292,1.026595
293,1.159892
294,1.046001
295,0.976446
296,1.048746
297,0.700798
298,0.884908
299,0.957110
300,0.933857
301,0.988643
302,0.932490
303,0.890811
304,0.748147
305,0.914897
306,0.737635
307,1.069459
308,0.669239
309,0.667911
310,0.733900
311,0.812494
312,0.827780
313,0.918199
314,0.816670
315,0.898726
316,0.844752
317,0.909612
318,0.833088
319,0.713474
320,0.823045
321,0.782114
322,0.893955
323,0.889636
324,0.816546
325,0.873795
326,0.955979
327,0.884680
328,1.004138
329,0.888791
330,0.953388
331,0.916218
332,1.179132
333,0.906107
334,0.930155
335,1.143010
336,1.081942
337,1.134632
338,0.974833
339,0.955160
340,0.881769
341,1.121514
342,1.110480
343,1.024215
344,1.274068
345,0.927892
346,0.871258
347,0.897311
348,1.034696
349,0.891576
350,0.860663
351,1.057553
352,1.068975
353,1.108566
354,0.999081
355,1.253916
356,0.954948
357,0.917211
358,1.060729
359,0.913890
360,1.113018
361,0.962802
362,0.837600
363,0.928378
364,0.804593
365,0.931272
366,1.061506
367,0.891935
368,1.200507
369,0.898003
370,1.042865
371,1.072511
372,0.972708
373,0.925444
374,0.981990
375,0.846224
376,1.054720
377,1.023164
378,1.114385
379,1.222556
380,1.187061
381,1.155538
382,0.852489
383,0.900092
384,0.983941
385,1.083084
386,0.875653
387,0.831074
388,0.959925
389,1.055403
390,0.948469
391,0.913575
392,0.831099
393,1.078595
394,1.062911
395,1.159713
396,0.975447
397,1.023673
398,0.876702
399,1.322202
400,1.136005
401,0.982658
402,1.049098
403,0.901979
404,0.931793
405,1.168966
406,1.147462
407,1.095745
408,0.882136
409,1.249366
410,0.963733
411,1.050291
412,1.003777
413,1.168601
414,1.063311
415,0.927819
416,0.948815
417,0.898551
418,1.220613
419,1.150127
420,1.114082
421,1.255794
422,1.101800
423,1.006564
424,1.172191
425,1.048853
426,0.890117
427,1.102309
428,0.999999
429,1.027471
430,1.005355
431,0.982737
432,1.005541
433,1.035803
434,1.155860
435,0.926533
436,1.015298
437,0.939998
438,1.096913
439,0.938155
440,0.897827
441,0.860297
442,1.054630
443,1.016607
444,1.251404
445,1.125010
446,1.109134
447,1.062622
448,0.955435
449,1.045392
450,1.038388
451,0.825043
452,0.903963
453,1.120119
454,0.948733
455,0.878766
456,0.907523
457,1.050337
458,1.012012
459,1.124440
460,0.951923
461,1.303224
462,1.092438
463,1.003773
464,1.086926
465,0.951273
466,1.100160
467,1.109795
468,1.022308
469,1.145455
470,1.165536
471,1.165122
472,1.027400
473,1.145078
474,0.988552
475,1.027118
476,0.894993
477,0.699943
478,1.132406
479,1.000752
480,0.908309
481,1.091480
482,0.922197
483,1.063626
484,1.085352
485,1.006708
486,1.066768
487,1.139556
488,0.959629
489,1.148133
490,1.172675
491,1.056522
492,0.890420
493,1.077295
494,1.177717
495,0.982001
496,1.133409
497,1.072894
498,1.180825
499,1.083537
