step,fwd_ms,bwd_ms,opt_ms,total_ms
0,284.283,592.797,46.242,923.322
1,236.795,552.448,5.951,795.194
2,231.753,1055.100,6.160,1293.013
3,214.032,545.631,6.529,766.191
4,214.401,577.317,5.967,797.685
5,224.765,567.156,6.082,798.002
6,209.055,561.449,6.044,776.547
7,222.028,576.609,6.050,804.688
8,722.822,592.126,5.728,1320.675
9,212.019,574.795,5.497,792.311
10,202.434,553.166,5.734,761.334
11,706.640,569.117,5.593,1281.351
12,208.897,569.002,6.033,783.932
13,205.907,600.665,5.446,812.018
14,707.914,587.862,6.246,1302.022
15,218.278,569.458,6.104,793.841
16,206.903,583.365,6.155,796.422
17,207.002,573.741,6.165,786.908
18,205.596,598.984,6.337,810.917
19,222.247,1030.226,5.991,1258.463
20,212.414,582.309,6.213,800.936
21,206.098,586.728,5.489,798.316
22,203.324,1053.521,6.279,1263.124
23,265.370,574.228,6.035,845.633
24,213.411,578.711,5.991,798.113
25,221.240,1035.255,5.979,1262.473
26,214.855,548.003,6.313,769.171
27,202.243,527.785,5.443,735.472
28,212.172,538.952,5.762,756.886
29,215.654,1023.617,6.051,1245.322
30,249.579,552.086,5.576,807.241
31,711.717,510.936,5.478,1228.131
32,214.329,562.435,5.754,782.518
33,208.606,563.656,6.308,778.570
34,698.212,519.124,5.530,1222.866
35,213.358,590.631,5.559,809.548
36,710.483,565.577,6.019,1282.080
37,211.234,557.399,6.125,774.758
38,223.564,571.696,5.985,801.246
39,213.209,540.887,5.529,759.625
40,209.941,569.017,12.496,791.454
41,212.752,561.799,5.426,779.977
42,218.109,517.575,5.426,741.110
43,214.939,601.197,6.022,822.159
44,208.943,552.036,6.115,767.094
45,711.064,556.988,6.246,1274.298
46,201.605,562.344,6.014,769.964
47,216.500,531.347,5.512,753.358
48,202.661,580.026,5.959,788.646
49,216.990,542.606,5.991,765.587
50,197.470,562.075,5.444,764.989
51,230.356,565.973,5.927,802.255
52,206.888,502.897,11.879,721.665
53,224.066,512.252,5.978,742.296
54,215.045,510.563,5.523,731.131
55,205.519,567.497,5.350,778.365
56,214.078,584.276,6.167,804.521
57,213.882,549.481,6.041,769.404
58,703.033,548.257,5.996,1257.286
59,224.676,544.683,5.444,774.803
60,210.340,538.205,12.224,760.769
61,220.170,540.597,5.932,766.699
62,710.546,544.161,5.960,1260.667
63,212.197,1107.418,5.654,1325.268
64,215.928,552.051,6.001,773.980
65,210.297,554.171,6.231,770.699
66,219.275,548.671,6.148,774.095
67,218.913,553.313,6.106,778.332
68,685.053,565.871,5.754,1256.678
69,217.116,546.722,6.302,770.140
70,207.354,523.926,5.535,736.814
71,210.152,545.573,6.132,761.857
72,197.276,565.406,6.305,768.987
73,218.002,570.812,5.791,794.605
74,707.240,580.106,6.202,1293.547
75,197.281,543.600,6.359,747.240
76,208.010,527.502,6.376,741.888
77,215.500,561.166,5.826,782.493
78,213.907,558.281,5.904,778.092
79,211.706,540.996,6.222,758.924
80,211.437,552.339,6.098,769.874
81,212.536,536.603,6.124,755.263
82,211.115,547.750,6.145,765.010
83,698.733,540.812,6.123,1245.668
84,202.888,554.099,6.334,763.321
85,209.824,542.847,6.383,759.054
86,215.589,561.711,5.823,783.124
87,705.586,568.326,6.217,1280.128
88,710.455,553.650,6.523,1270.628
89,221.784,515.873,6.246,743.903
90,233.701,563.154,6.168,803.023
91,210.379,578.873,6.485,795.737
92,208.926,542.776,6.444,758.146
93,223.498,541.137,6.270,770.905
94,214.984,558.935,6.147,780.067
95,206.392,537.990,6.414,750.797
96,209.480,587.403,20.028,816.910
97,702.671,546.985,6.147,1255.804
98,720.694,541.247,6.151,1268.091
99,208.849,582.025,5.927,796.801
100,210.972,549.695,5.971,766.639
101,708.789,555.066,6.167,1270.022
102,218.384,541.956,5.905,766.245
103,206.539,512.596,5.853,724.989
104,207.641,528.586,5.437,741.663
105,214.210,544.570,5.546,764.326
106,209.706,1013.364,6.011,1229.080
107,213.816,511.229,5.595,730.640
108,209.301,519.538,5.553,734.392
109,677.534,545.012,5.984,1228.530
110,209.079,558.844,5.519,773.442
111,220.575,541.309,5.995,767.880
112,213.467,564.696,12.503,790.667
113,212.935,519.806,5.599,738.340
114,209.996,555.354,6.172,771.522
115,211.426,574.175,12.629,798.230
116,221.974,529.391,5.572,756.938
117,215.635,541.451,5.882,762.968
118,209.285,510.620,14.645,734.550
119,213.507,561.433,6.419,781.358
120,710.809,534.749,6.123,1251.681
121,212.325,547.402,5.468,765.195
122,213.328,564.296,6.342,783.966
123,216.246,544.136,5.655,766.037
124,215.389,1025.391,6.374,1247.154
125,216.164,521.580,5.621,743.366
126,212.727,532.962,6.100,751.790
127,202.905,549.917,5.999,758.820
128,218.176,1012.146,5.971,1236.292
129,201.904,563.700,5.554,771.158
130,217.157,511.174,13.101,741.432
131,236.138,555.776,6.248,798.162
132,218.971,996.727,12.388,1228.087
133,213.611,558.259,6.035,777.905
134,215.038,1029.448,6.067,1250.552
135,211.828,533.770,5.752,751.351
136,675.743,518.282,5.801,1199.826
137,230.330,526.470,5.570,762.370
138,200.785,544.057,5.774,750.616
139,215.263,528.800,5.711,749.774
140,212.896,503.203,6.388,722.487
141,197.930,506.819,14.354,719.103
142,215.638,511.019,6.286,732.943
143,683.090,538.341,5.634,1227.065
144,207.911,523.807,5.900,737.617
145,209.919,528.375,5.490,743.783
146,207.990,514.807,5.873,728.670
147,211.561,527.837,13.910,753.308
148,221.426,523.875,6.229,751.531
149,211.235,1057.572,6.113,1274.920
150,215.678,565.862,5.533,787.074
151,628.387,548.558,5.610,1182.554
152,214.622,534.719,5.938,755.279
153,201.235,565.751,5.719,772.705
154,218.241,518.910,6.032,743.184
155,200.923,555.059,6.225,762.207
156,222.425,519.302,6.181,747.908
157,696.187,1046.275,6.055,1748.517
158,212.655,534.562,6.009,753.225
159,199.981,555.351,5.552,760.884
160,219.320,529.115,5.959,754.394
161,223.725,565.094,5.612,794.431
162,216.207,536.361,5.961,758.529
163,206.354,1035.285,6.063,1247.703
164,214.453,551.036,6.093,771.581
165,206.241,1061.120,6.077,1273.438
166,217.084,1029.757,6.194,1253.035
167,224.518,552.982,5.601,783.102
168,207.650,529.002,5.835,742.488
169,211.692,512.563,6.168,730.423
170,211.957,503.313,5.842,721.113
171,680.040,1037.700,6.033,1723.773
172,212.634,489.729,6.341,708.704
173,211.035,502.481,12.612,726.129
174,231.975,1057.274,6.190,1295.438
175,216.020,529.243,6.042,751.305
176,223.947,548.500,5.610,778.057
177,217.826,528.275,6.372,752.472
178,215.969,537.278,5.982,759.229
179,212.330,1036.950,6.180,1255.460
180,231.764,542.773,5.597,780.134
181,216.663,1050.427,6.047,1273.137
182,212.730,520.104,5.941,738.775
183,223.175,551.473,5.777,780.425
184,218.958,542.056,5.553,766.566
185,215.372,533.081,6.358,754.812
186,223.106,529.240,5.582,757.927
187,701.979,555.013,5.515,1262.506
188,217.250,522.235,6.034,745.519
189,229.604,529.691,12.034,771.329
190,214.114,573.576,5.525,793.215
191,208.408,499.922,5.748,714.078
192,211.821,1001.562,6.216,1219.599
193,194.913,559.717,6.019,760.648
194,212.620,1026.630,6.206,1245.456
195,432.810,650.353,87.464,1170.627
196,228.593,566.017,5.676,800.287
197,208.687,1024.221,8.863,1241.771
198,228.216,533.241,5.519,766.976
199,209.096,549.294,8.281,766.671
200,719.240,539.500,6.692,1265.432
201,209.191,563.718,6.452,779.361
202,223.307,535.203,6.634,765.144
