step,loss
0,2.291411
1,2.664260
2,3.069527
3,3.405890
4,4.199461
5,4.686562
6,5.516879
7,7.466973
8,6.841393
9,5.842649
10,4.834235
11,2.847669
12,3.191849
13,2.730679
14,2.940607
15,2.474457
16,2.603822
17,2.501676
18,3.018121
19,2.824764
20,2.452175
21,2.416683
22,2.361801
23,2.347460
24,2.885190
25,3.086942
26,2.605488
27,2.400331
28,2.455520
29,2.280585
30,2.283995
31,2.291573
32,2.304794
33,2.444352
34,2.135252
35,2.162450
36,2.133626
37,2.136793
38,2.235716
39,2.099307
40,2.105127
41,2.206822
42,2.153177
43,2.143297
44,1.988756
45,2.038215
46,2.106699
47,2.202307
48,2.140950
49,2.214323
50,2.107224
51,2.059546
52,2.062135
53,2.057959
54,2.128312
55,2.037956
56,2.215081
57,2.150252
58,2.034526
59,2.009022
60,2.069240
61,2.090427
62,1.999282
63,1.975118
64,1.913770
65,1.895805
66,2.020884
67,2.010759
68,2.058209
69,1.893040
70,1.933748
71,1.983973
72,2.053690
73,1.959335
74,1.966052
75,1.957553
76,1.990154
77,1.974514
78,1.985015
79,1.991323
80,2.021089
81,2.016623
82,1.951525
83,1.864269
84,1.808210
85,1.884349
86,2.008323
87,1.899216
88,2.089467
89,1.933392
90,1.817639
91,1.921355
92,1.823019
93,1.859385
94,1.975036
95,1.893363
96,1.939814
97,1.961355
98,1.930916
99,1.831003
100,1.807311
101,1.742647
102,1.859127
103,2.002452
104,1.923852
105,1.771682
106,1.821889
107,1.717587
108,1.939943
109,1.849612
110,1.994002
111,1.734054
112,1.971437
113,1.764945
114,1.756734
115,1.860575
116,1.828265
117,2.013400
118,1.793863
119,1.811425
120,1.917354
121,1.852772
122,1.807707
123,1.960696
124,1.836841
125,1.769451
126,1.912114
127,1.759927
128,1.852736
129,1.860783
130,1.801718
131,1.787082
132,1.803683
133,1.832732
134,1.715949
135,1.813266
136,1.752304
137,1.736098
138,1.750297
139,1.723628
140,1.795898
141,1.739397
142,1.824206
143,1.852197
144,1.728750
145,1.778364
146,1.726124
147,1.760909
148,1.640062
149,1.705406
150,1.742374
151,1.734455
152,1.791960
153,1.677620
154,1.678505
155,1.647518
156,1.698975
157,1.696090
158,1.697302
159,1.624443
160,1.808740
161,1.773028
162,1.839173
163,1.816144
164,1.720767
165,1.567500
166,1.546553
167,1.548560
168,1.698235
169,1.594006
170,1.551118
171,1.663092
172,1.627419
173,1.550632
174,1.655277
175,1.558605
176,1.678480
177,1.764252
178,1.788624
179,1.841671
180,1.644822
181,1.691826
182,1.744993
183,1.692089
184,1.617132
185,1.641163
186,1.574901
187,1.663915
188,1.740898
189,1.626094
190,1.702792
191,1.855130
192,1.539268
193,1.661233
194,1.553997
195,1.746003
196,1.548024
197,1.543369
198,1.589633
199,1.537501
200,1.523789
201,1.594007
202,1.641835
203,1.579913
204,1.497097
205,1.562589
206,1.624919
207,1.579842
208,1.477430
209,1.521741
210,1.688770
211,1.543601
212,1.669319
213,1.675237
214,1.554147
215,1.723693
216,1.589511
217,1.580256
218,1.535613
219,1.458052
220,1.587960
221,1.757216
222,1.566297
223,1.548893
224,1.631597
225,1.574000
226,1.519445
227,1.459368
228,1.432622
229,1.448848
230,1.529849
231,1.630536
232,1.595538
233,1.569880
234,1.595579
235,1.501647
236,1.543567
237,1.542604
238,1.563249
239,1.528529
240,1.593274
241,1.442266
242,1.492677
243,1.630305
244,1.545147
245,1.447377
246,1.338654
247,1.543303
248,1.611238
249,1.339436
250,1.517656
251,1.457457
252,1.494482
253,1.312642
254,1.592934
255,1.517855
256,1.514463
257,1.486296
258,1.485421
259,1.639718
260,1.401793
261,1.513749
262,1.465306
263,1.575523
264,1.556636
265,1.460825
266,1.439462
267,1.468284
268,1.507962
269,1.560290
270,1.506390
271,1.397683
272,1.492917
273,1.434967
274,1.365988
275,1.617741
276,1.578827
277,1.476170
278,1.432506
279,1.415833
280,1.524887
281,1.541489
282,1.572161
283,1.511551
284,1.589805
285,1.504538
286,1.532086
287,1.410168
288,1.472803
289,1.402408
290,1.545761
291,1.324501
292,1.596275
293,1.397056
294,1.354852
295,1.383341
296,1.418436
297,1.294697
298,1.227410
299,1.576320
300,1.418083
301,1.457141
302,1.375328
303,1.385247
304,1.544106
305,1.451909
306,1.560694
307,1.574757
308,1.518702
309,1.504579
310,1.686632
311,1.417927
312,1.380775
313,1.661500
314,1.455631
315,1.396797
316,1.558648
317,1.494404
318,1.409400
319,1.428442
320,1.407256
321,1.518479
322,1.450061
323,1.545734
324,1.458505
325,1.397929
326,1.433477
327,1.460070
328,1.376739
329,1.291429
330,1.248406
331,1.151454
332,1.611713
333,1.452435
