step,grad_l2
0,3.535744
1,7.843602
2,5.792758
3,5.425159
4,9.469514
5,7.397887
6,5.526999
7,5.307316
8,6.456682
9,6.911444
10,5.530427
11,5.098260
12,4.693771
13,8.451718
14,7.999035
15,4.550712
16,3.237339
17,4.264464
18,3.755249
19,2.818934
20,1.440827
21,1.608303
22,2.319635
23,1.841820
24,2.266448
25,2.863839
26,1.073536
27,2.233141
28,2.099583
29,1.192464
30,1.581641
31,1.077109
32,0.969750
33,1.153846
34,1.191319
35,0.729262
36,1.134960
37,0.695394
38,0.716306
39,0.644835
40,1.225216
41,0.816584
42,0.597942
43,1.102917
44,0.499998
45,0.884133
46,0.612893
47,0.751830
48,0.688385
49,0.702800
50,0.609794
51,0.575990
52,0.675102
53,0.696988
54,0.652312
55,0.762233
56,0.522750
57,0.719517
58,0.534405
59,0.641725
60,0.617408
61,0.586975
62,0.540336
63,0.614306
64,0.782918
65,0.663170
66,0.493109
67,0.811781
68,1.241761
69,0.693234
70,0.628029
71,0.929660
72,0.714631
73,0.833043
74,0.750771
75,0.755118
76,0.603130
77,1.050847
78,0.703912
79,0.990926
80,1.295858
81,0.751857
82,1.058058
83,1.110669
84,0.651326
85,0.673519
86,1.070093
87,0.896712
88,0.845234
89,0.760275
90,0.893617
91,0.958687
92,0.828650
93,0.784853
94,0.919480
95,0.812607
96,0.934756
97,0.813047
98,0.617463
99,1.026025
100,0.774846
101,0.773359
102,1.165885
103,0.838671
104,1.126732
105,0.945073
106,0.983298
107,1.245164
108,1.137154
109,0.942763
110,1.016486
111,0.990788
112,1.011406
113,1.012695
114,0.808474
115,0.883451
116,0.958117
117,1.112007
118,1.037039
119,0.980282
120,1.024775
121,0.971902
122,1.171498
123,0.981385
124,1.071046
125,1.023090
126,0.943089
127,0.967959
128,0.984871
129,0.891785
130,0.711000
131,0.870643
132,0.752745
133,0.981304
134,0.832318
135,1.110217
136,1.046012
137,0.894934
138,1.047426
139,1.026051
140,0.989380
141,1.142727
142,1.429320
143,1.092568
144,1.521215
145,1.205683
146,0.923046
147,0.979997
148,0.814976
149,1.073124
150,1.089630
151,0.717709
152,0.786881
153,0.879079
154,0.903516
155,1.077877
156,1.147728
157,0.840585
158,0.954634
159,0.926135
160,1.002180
161,1.076952
162,1.221721
163,0.930101
164,0.770716
165,1.459231
166,1.057864
167,0.926910
168,1.261947
169,0.835899
170,0.958141
171,0.791567
172,0.837608
173,1.245933
174,0.956547
175,1.415877
176,0.810284
177,0.932355
178,0.992433
179,0.979466
180,0.858021
181,1.049509
182,1.221766
183,1.062143
184,0.869773
185,0.945768
186,0.914482
187,0.964048
188,1.009625
189,1.087595
190,1.025986
191,1.294905
192,0.999240
193,1.037068
194,1.166841
195,1.207397
196,1.050860
197,1.059075
198,0.999174
199,1.127181
200,1.050364
201,0.888239
202,0.832196
203,1.026875
204,0.859264
205,0.941462
206,1.062374
207,0.977311
208,1.000539
209,1.124875
210,1.085040
211,1.267937
212,1.323702
213,1.230642
214,1.303106
215,1.545141
216,1.117597
217,1.331199
218,1.261583
219,0.998025
220,0.828408
221,1.190054
222,1.152487
223,0.944928
224,0.968285
225,1.237137
226,1.199870
227,1.246279
228,0.866406
229,1.000654
230,1.043944
231,1.032151
232,0.914598
233,1.083054
234,0.953199
235,1.029921
236,1.163456
237,1.116299
238,0.959684
239,0.999040
240,1.016848
241,1.014735
242,0.973621
243,1.088164
244,1.031825
245,1.060925
246,1.061474
247,1.234103
248,0.968961
249,1.131617
250,0.955229
251,1.022192
252,0.945991
253,1.023470
254,0.994348
255,1.033927
256,1.082515
257,0.886633
258,0.992559
259,1.184986
260,0.990329
261,1.034427
262,1.106346
263,0.990037
264,1.165075
265,1.093066
266,1.004411
267,0.929078
268,0.914626
269,1.049842
270,0.917706
271,0.977510
272,1.045752
273,1.271359
274,1.019947
275,1.043884
276,1.067117
277,1.460560
278,0.914331
279,1.133818
280,0.838786
281,1.113669
282,1.000866
283,0.921753
284,0.952904
285,1.203396
286,1.147917
287,1.209871
288,1.185716
289,1.100956
290,1.190487
291,1.355443
292,1.147681
293,1.191720
294,1.176844
295,1.120400
296,1.022073
297,1.275312
298,1.211319
299,1.045550
300,1.435755
301,1.109172
302,0.984303
303,1.084576
304,1.349226
305,0.973533
306,1.031859
307,1.027801
308,1.089780
309,1.050686
310,1.002718
311,1.041975
312,0.917946
313,0.926202
314,1.346927
315,1.069309
316,1.080611
317,1.254866
318,1.204068
319,1.313124
320,1.201200
321,1.361582
322,1.137419
323,1.050543
324,1.173731
325,1.225753
326,1.149640
327,0.976123
328,1.047962
329,0.982416
330,1.114809
331,1.003130
332,0.951520
333,0.937084
334,1.026786
335,1.117780
336,0.997311
337,1.325080
338,1.278173
339,1.339547
340,1.480402
341,1.134792
342,1.224432
343,1.395052
344,1.082294
345,1.065630
346,1.075277
347,1.181551
348,1.067294
349,1.077266
350,1.034834
351,1.078118
352,1.254116
353,0.859283
354,1.235406
355,1.266149
356,1.089587
357,1.025271
358,1.232413
359,0.976092
360,1.363622
361,1.076238
362,1.184865
363,1.264732
364,1.043850
365,1.185375
366,1.219618
367,1.039966
368,1.114569
369,1.276826
370,1.307110
371,1.116994
372,1.227147
373,1.284089
374,1.342702
375,1.263942
376,1.423417
377,1.224854
378,1.362170
379,1.150118
380,1.138927
381,1.216173
382,1.393374
383,1.263918
384,0.986071
385,1.031184
386,1.068764
387,1.011243
388,1.104838
389,1.176513
390,1.072746
391,1.029238
392,0.976983
393,1.371015
394,1.078856
395,1.117694
396,1.148529
397,1.080137
398,1.196746
399,1.135765
400,1.341015
401,1.347127
402,1.611475
403,1.356861
404,1.520043
405,1.524914
406,1.810241
407,1.707500
408,1.186996
409,1.406295
410,1.418260
411,1.239400
412,1.194000
413,1.351860
414,1.140321
415,1.241921
416,1.159003
417,1.248800
418,1.058778
419,1.213404
420,1.108325
421,1.238506
422,1.310982
423,1.256398
424,1.367493
425,1.260248
426,1.299844
427,1.147162
428,1.191402
429,1.188273
430,1.050107
431,1.151366
432,1.126274
433,1.166635
434,1.352985
435,1.265285
436,1.072617
437,1.269667
438,1.283113
439,1.140165
440,1.135940
441,1.323639
442,1.161662
443,1.332457
444,1.339788
445,1.255137
446,1.159484
447,1.248443
448,1.267411
449,1.325918
450,1.454193
451,1.336186
452,1.077635
453,1.406874
454,1.278980
455,1.846021
456,1.130602
457,1.577905
458,1.480587
459,1.112671
460,1.167647
461,1.257607
462,1.328274
463,1.360704
464,0.990315
465,1.105563
466,1.363826
467,1.180659
468,1.238168
469,1.151459
470,1.263878
471,1.083700
472,1.174674
473,1.234128
474,1.265996
475,1.366391
476,1.276594
477,1.529836
478,1.248468
479,1.273168
480,1.421212
481,1.261365
482,1.444225
483,1.393168
484,1.243550
485,1.213837
486,1.329304
487,1.321509
488,1.107311
489,1.162452
490,1.181926
491,1.224249
492,1.398507
493,1.245348
494,1.117151
495,1.134858
496,1.204998
497,1.364035
498,1.250332
499,0.927029
