step,fwd_ms,bwd_ms,opt_ms,total_ms
0,263.436,631.190,47.296,941.922
1,237.945,562.505,7.220,807.671
2,212.623,550.775,7.111,770.509
3,215.517,586.166,7.315,808.997
4,220.966,601.074,7.760,829.800
5,246.787,546.943,6.866,800.596
6,219.786,562.779,7.400,789.965
7,221.818,561.426,7.248,790.493
8,231.060,564.714,7.175,802.949
9,215.414,605.223,7.540,828.177
10,215.077,588.254,6.840,810.171
11,241.615,578.699,6.925,827.239
12,234.164,590.566,7.307,832.037
13,228.731,600.145,7.167,836.043
14,250.847,565.727,7.176,823.750
15,240.762,573.741,7.204,821.708
16,238.345,561.633,7.096,807.073
17,230.595,556.412,7.280,794.286
18,223.366,628.719,7.232,859.317
19,244.109,694.259,6.995,945.363
20,218.796,596.269,7.210,822.275
21,219.627,512.488,7.580,739.695
22,249.049,591.334,6.934,847.316
23,218.606,576.774,6.777,802.157
24,218.815,619.823,7.207,845.845
25,245.745,561.700,6.977,814.422
26,233.408,587.168,7.225,827.800
27,225.468,573.345,7.225,806.037
28,229.989,616.675,6.797,853.461
29,230.886,550.463,7.049,788.398
30,210.966,495.601,7.216,713.783
31,209.970,603.684,7.228,820.882
32,196.079,582.931,6.900,785.910
33,225.022,551.919,7.128,784.069
34,224.013,556.391,6.966,787.370
35,216.582,556.543,6.864,779.988
36,233.564,577.218,7.452,818.234
37,224.625,592.944,7.340,824.909
38,217.826,581.464,7.150,806.440
39,210.042,594.030,6.851,810.924
40,208.009,593.816,7.269,809.095
41,219.552,572.060,7.103,798.715
42,236.152,555.640,6.962,798.755
43,224.690,592.484,6.967,824.140
44,204.108,553.788,6.829,764.726
45,202.481,544.002,7.136,753.619
46,230.585,611.278,7.117,848.980
47,209.384,599.539,7.317,816.241
48,221.014,577.391,7.005,805.410
49,241.719,632.002,7.314,881.035
50,219.893,583.846,7.153,810.892
51,234.964,541.539,7.130,783.634
52,201.591,568.435,7.247,777.273
53,229.376,667.913,6.960,904.249
54,220.960,589.305,7.245,817.510
55,223.072,581.858,7.276,812.206
56,217.920,581.821,7.291,807.033
57,212.899,635.429,7.216,855.544
58,204.674,586.392,7.385,798.451
59,283.575,561.298,7.063,851.936
60,196.073,577.175,7.014,780.263
61,206.226,550.965,7.016,764.207
62,226.772,537.608,7.035,771.415
63,203.844,630.898,7.098,841.840
64,288.336,683.902,6.879,979.116
65,214.507,579.330,6.821,800.658
66,233.513,602.941,7.890,844.344
67,227.313,615.197,6.823,849.334
68,238.495,592.624,7.908,839.027
69,233.929,578.284,6.813,819.026
70,239.656,589.869,6.779,836.304
71,238.052,571.945,6.735,816.732
72,237.534,584.726,6.912,829.171
73,237.523,580.389,6.858,824.769
74,239.554,595.236,6.851,841.641
75,236.651,580.235,6.851,823.737
76,242.862,564.883,6.867,814.613
77,249.863,606.168,6.855,862.887
78,237.853,580.990,6.850,825.692
79,216.316,594.400,7.160,817.876
80,226.190,549.232,7.121,782.544
81,216.842,551.659,6.768,775.270
82,221.864,583.721,6.774,812.359
83,242.543,598.443,6.807,847.793
84,240.551,597.034,6.869,844.455
85,237.336,583.521,7.212,828.069
86,242.598,572.089,7.072,821.759
87,216.688,582.966,6.875,806.529
88,240.735,585.401,6.814,832.950
89,239.210,596.342,7.086,842.638
90,228.809,564.773,6.852,800.433
91,225.635,579.386,7.016,812.038
92,241.299,587.807,7.239,836.345
93,235.984,582.107,7.270,825.361
94,228.887,555.065,7.132,791.084
95,216.287,558.452,6.863,781.602
96,216.045,545.501,7.115,768.662
97,221.443,575.737,7.184,804.364
98,225.324,596.178,6.894,828.396
99,214.701,614.858,7.184,836.744
100,215.773,587.219,7.156,810.148
101,227.096,543.659,7.005,777.760
102,214.940,555.114,6.852,776.906
103,223.351,587.599,7.109,818.059
104,237.174,596.502,6.838,840.514
105,231.507,579.227,6.764,817.497
106,236.860,569.534,6.955,813.349
107,236.665,592.683,7.127,836.474
108,234.179,614.046,7.581,855.806
109,293.033,536.585,7.020,836.637
110,272.323,584.924,7.221,864.467
111,230.429,570.573,6.692,807.694
112,242.172,584.690,6.955,833.818
113,235.348,579.858,7.016,822.222
114,224.837,583.334,7.237,815.408
115,223.045,554.578,7.008,784.631
116,216.980,532.088,7.732,756.799
