step,loss
0,2.329390
1,2.567998
2,2.846133
3,3.294332
4,4.350690
5,4.136123
6,5.976511
7,4.848022
8,4.481244
9,4.363546
10,3.916663
11,3.428368
12,2.758014
13,2.545159
14,2.471603
15,2.745179
16,2.579907
17,2.267986
18,2.561835
19,2.285899
20,2.424537
21,2.598242
22,2.536752
23,2.576284
24,2.177311
25,2.134903
26,2.112275
27,2.739090
28,2.268685
29,2.296759
30,2.136469
31,2.071681
32,2.101760
33,1.994874
34,2.212538
35,2.126564
36,1.972695
37,2.118584
38,2.037787
39,2.060749
40,2.039858
41,2.234021
42,1.840694
43,2.032710
44,1.910885
45,2.093995
46,2.005022
47,2.067828
48,1.955160
49,2.065912
50,1.999192
51,1.892993
52,1.952828
53,1.875400
54,1.932432
55,1.886433
56,1.950156
57,1.935446
58,1.866124
59,1.890122
60,1.932130
61,1.975296
62,1.956859
63,1.944941
64,1.865889
65,1.873225
66,1.841107
67,1.789668
68,1.895928
69,1.897272
70,1.719991
71,1.752605
72,1.884188
73,1.841619
74,1.951028
75,1.964637
76,1.711772
77,1.890250
78,1.803259
79,1.809209
80,1.887519
81,1.839802
82,1.852790
83,1.853929
84,1.921144
85,1.725193
86,1.745562
87,1.825277
88,1.726783
89,1.839084
90,1.801901
91,1.771893
92,1.695334
93,1.685584
94,1.739524
95,1.665901
96,1.653822
97,1.802560
98,1.794862
99,1.754921
100,1.628090
101,1.641892
102,1.753965
103,1.765668
104,1.637651
105,1.683203
106,1.645198
107,1.524214
108,1.682781
109,1.765709
110,1.759824
111,1.672823
112,1.823787
113,1.773625
114,1.537438
115,1.616627
116,1.713071
117,1.771958
118,1.499899
119,1.748217
120,1.776677
121,1.633279
122,1.597404
123,1.644906
124,1.675344
125,1.599872
126,1.600976
127,1.562756
128,1.471548
129,1.659046
130,1.711966
131,1.645080
132,1.698671
133,1.642595
134,1.409555
135,1.625667
136,1.658132
137,1.575061
138,1.532900
139,1.667515
140,1.482249
141,1.530491
142,1.544009
143,1.668083
144,1.521073
145,1.724569
146,1.532039
147,1.462448
148,1.688981
149,1.575638
150,1.592902
151,1.465130
152,1.427221
153,1.489025
154,1.609509
155,1.579250
156,1.602541
157,1.552647
158,1.563708
159,1.592580
160,1.553856
161,1.518039
162,1.521618
163,1.456740
164,1.691148
165,1.583372
166,1.522378
167,1.489867
168,1.656910
169,1.487655
170,1.487779
171,1.447942
172,1.495091
173,1.410428
174,1.335795
175,1.656147
176,1.451156
177,1.627479
178,1.464496
179,1.538342
180,1.619780
181,1.469165
182,1.384519
183,1.344309
184,1.574138
185,1.440568
186,1.361101
187,1.463739
188,1.671235
189,1.462599
190,1.444417
191,1.341808
192,1.531846
193,1.501115
194,1.421711
195,1.562376
196,1.452113
197,1.400802
198,1.468326
199,1.403256
200,1.302341
201,1.337977
202,1.434000
203,1.499874
204,1.505734
205,1.376825
206,1.435613
207,1.345662
208,1.342871
209,1.618773
210,1.562865
211,1.413241
212,1.398835
213,1.401565
214,1.536160
215,1.571411
216,1.486386
217,1.351503
218,1.458025
219,1.428924
220,1.409056
221,1.263120
222,1.244073
223,1.427068
224,1.411813
225,1.483100
226,1.397712
227,1.361819
228,1.381879
229,1.490607
230,1.324711
231,1.475334
232,1.406155
233,1.390350
234,1.483246
235,1.360932
236,1.418433
237,1.309974
238,1.588696
239,1.367611
240,1.203671
241,1.407389
242,1.301344
243,1.313419
244,1.390566
245,1.458151
246,1.230261
247,1.280724
248,1.414606
249,1.195471
250,1.295152
251,1.366384
252,1.331784
253,1.277773
254,1.264013
255,1.294635
256,1.486511
257,1.257391
258,1.366159
259,1.235173
260,1.396547
261,1.476740
262,1.330452
263,1.337352
264,1.373266
265,1.226816
266,1.272210
267,1.379090
268,1.489939
269,1.244525
270,1.550582
271,1.305039
272,1.189673
273,1.338837
274,1.338412
275,1.526964
276,1.162810
277,1.536971
278,1.326252
279,1.282980
280,1.236543
281,1.270483
282,1.294498
283,1.385101
284,1.166601
285,1.291050
286,1.305423
287,1.272063
288,1.206072
289,1.265403
290,1.353959
291,1.297169
292,1.306463
293,1.405258
294,1.394311
295,1.259542
296,1.375866
297,1.427304
298,1.184923
299,1.160719
300,1.296405
301,1.114323
302,1.486101
303,1.149382
304,1.181379
305,1.224836
306,1.255941
307,1.405369
308,1.184835
309,1.285138
310,1.236599
311,1.323277
312,1.156762
313,1.165154
314,1.401957
315,1.168866
316,1.388015
317,1.294678
318,1.404958
319,1.286972
320,1.230103
321,1.282770
322,1.233580
323,1.147699
324,1.130542
325,1.269773
326,1.258153
327,1.182509
328,1.388362
329,1.185679
330,1.309259
331,1.197040
332,1.244808
333,1.302285
334,1.208944
335,1.203706
336,1.226553
337,1.198823
338,1.175916
339,1.043521
340,1.181355
341,1.104773
342,1.190373
343,1.327415
344,1.246403
345,1.406180
346,1.161218
347,1.096274
348,1.131305
349,1.277294
350,1.114407
351,1.131604
352,1.199841
353,1.097384
354,0.964003
355,0.997459
356,1.261790
357,1.212196
358,1.154768
359,1.206102
360,1.082121
361,1.168785
362,1.006075
363,1.140316
364,0.988090
365,1.028654
366,1.096536
367,1.224738
368,1.142307
369,1.130454
370,1.104929
371,0.942763
372,1.159843
373,1.083830
374,0.965252
375,1.075935
376,1.115980
377,1.115528
378,0.981499
379,1.205323
380,1.264028
381,1.142357
382,0.937537
383,1.217882
384,1.015270
385,1.283244
386,1.067774
387,1.221658
388,1.088787
389,1.087133
390,1.095145
391,1.020146
392,0.885561
393,1.064021
394,0.944951
395,1.124093
396,1.277281
397,1.061894
398,1.188033
399,1.036204
400,0.894118
401,0.893116
402,1.006621
403,0.917012
404,0.910935
405,0.993954
406,0.923539
407,1.147080
408,1.042972
409,1.114550
410,1.002184
411,1.104709
412,0.912938
413,1.012130
414,1.277870
415,0.918604
416,0.916853
417,1.144941
418,0.956154
419,1.089617
420,0.971103
421,1.187378
422,1.081622
423,1.044524
424,1.073040
425,0.994985
426,0.897083
427,1.099459
428,0.925908
429,0.948257
430,1.014951
431,0.964686
432,0.944788
433,0.895485
434,0.957156
435,1.004325
436,1.063360
437,1.071581
438,1.172906
439,1.088325
440,1.060252
441,1.141060
442,1.030435
443,0.899708
444,0.934926
445,0.887992
446,0.906439
447,0.971381
448,0.948671
449,0.993067
450,1.038541
451,0.968889
452,0.974655
453,1.167140
454,1.054178
455,1.095376
456,0.937783
457,1.040008
458,1.117453
459,0.948202
460,0.885254
461,0.991670
462,0.877662
463,1.106042
464,0.977604
465,0.823412
466,0.803556
467,1.015833
468,0.880960
469,1.089407
470,0.954346
471,0.964617
472,1.249512
473,1.022288
474,1.131113
475,1.022889
476,1.065168
477,0.893431
478,0.888384
479,1.046279
480,0.767412
481,0.934162
482,0.965802
483,0.919293
484,0.819576
485,0.901587
486,0.870481
487,0.925821
488,0.894653
489,0.818185
490,0.897038
491,1.048395
492,0.843529
493,1.009683
494,0.933436
495,0.871441
496,0.947307
497,0.959758
498,0.981660
499,1.034479
