step,loss
0,2.291411
1,2.664330
2,3.039880
3,3.921292
4,4.884851
5,6.023389
6,6.664993
7,6.456951
8,6.596403
9,4.932581
10,4.500554
11,2.670025
12,3.571213
13,3.705549
14,4.051071
15,4.384891
16,4.253342
17,4.254333
18,3.253681
19,3.349743
20,3.966791
21,3.478136
22,3.154625
23,3.682822
24,3.918942
25,3.365771
26,3.960160
27,2.827678
28,2.906189
29,2.345174
30,2.823824
31,2.401313
32,2.580401
33,2.415225
34,2.484629
35,2.322614
36,2.193727
37,2.137591
38,2.355225
39,2.188453
40,2.361934
41,2.170098
42,2.127718
43,2.367893
44,2.028676
45,1.974388
46,2.153287
47,2.241882
48,2.144539
49,2.068474
50,2.253329
51,2.079856
52,2.112313
53,2.025918
54,2.064922
55,1.960670
56,2.401459
57,2.155641
58,2.125299
59,1.982484
60,2.025131
61,2.128138
62,1.961319
63,2.068832
64,1.951210
65,1.973727
66,2.025348
67,2.072941
68,2.050461
69,1.884292
70,1.962518
71,2.056887
72,2.062911
73,1.927803
74,2.005811
75,2.050910
76,1.986993
77,2.013775
78,1.865682
79,2.007780
80,1.969210
81,1.941954
82,2.094678
83,1.875167
84,1.859887
85,1.809249
86,1.956733
87,1.940959
88,2.340652
89,1.922994
90,1.867223
91,1.920050
92,1.882878
93,1.921056
94,2.006843
95,1.854736
96,1.957106
97,1.953525
98,2.058994
99,2.057643
100,1.812449
101,1.789299
102,1.939962
103,1.901427
104,1.912937
105,1.790174
106,1.805767
107,1.766704
108,1.940583
109,1.955162
110,1.927041
111,1.814715
112,2.053024
113,1.760260
114,1.830416
115,1.871740
116,1.830076
117,1.996062
118,1.889759
119,1.815737
120,1.930411
121,1.880845
122,1.840613
123,1.877001
124,1.895447
125,1.904824
126,1.971744
127,1.904250
128,1.899122
129,1.927642
130,1.911703
131,1.803810
132,1.882172
133,1.800879
134,1.771477
135,1.805382
136,1.705102
137,1.911598
138,1.860668
139,1.933171
140,1.838817
141,1.858780
142,1.781807
143,1.771816
144,1.859373
145,1.849060
146,1.885885
147,1.853306
148,1.812027
149,1.782006
150,1.801108
151,1.813177
152,1.856628
153,1.783129
154,1.826989
155,1.646610
156,1.793932
157,1.760746
158,1.703733
159,1.800061
160,1.811888
161,1.771953
162,1.894639
163,1.796482
164,1.716573
165,1.586470
166,1.607928
167,1.659218
168,1.745521
169,1.667580
170,1.574871
171,1.670049
172,1.827320
173,1.710612
174,1.786396
175,1.727296
176,1.959916
177,1.759500
178,1.785983
179,1.861487
180,1.679288
181,1.895528
182,1.790038
183,1.750945
184,1.724628
185,1.692122
186,1.645636
187,1.831569
188,1.803971
189,1.677559
190,1.822265
191,1.734406
192,1.586379
193,1.718041
194,1.715638
195,1.725536
196,1.579292
197,1.580100
198,1.590162
199,1.702612
200,1.583577
201,1.538930
202,1.601183
203,1.601563
204,1.634803
205,1.613604
206,1.587412
207,1.664026
208,1.540368
209,1.542687
210,1.797407
211,1.656273
212,1.706262
213,1.543483
214,1.547663
215,1.756117
216,1.585851
217,1.657381
218,1.598440
219,1.549450
220,1.631670
221,1.710080
222,1.611258
223,1.639456
224,1.567413
225,1.622392
226,1.565069
227,1.432940
228,1.403994
229,1.430635
230,1.627430
231,1.541382
232,1.543989
233,1.647104
234,1.642740
235,1.460201
236,1.539968
237,1.522658
238,1.523634
239,1.514970
240,1.580595
241,1.444861
242,1.516226
243,1.628043
244,1.654443
245,1.489964
246,1.366026
247,1.565686
248,1.563989
249,1.449199
250,1.614417
251,1.638091
252,1.592095
253,1.340036
254,1.547933
255,1.522795
256,1.527185
257,1.506980
258,1.452978
259,1.505904
260,1.476139
261,1.475001
262,1.469351
263,1.642433
264,1.538709
265,1.506917
266,1.462791
267,1.443616
268,1.546728
269,1.596104
270,1.523727
271,1.386843
272,1.421880
273,1.534945
274,1.360811
275,1.622360
276,1.712901
277,1.425439
278,1.459374
279,1.417089
280,1.516194
281,1.507894
282,1.520549
283,1.550123
284,1.556383
285,1.421744
286,1.501861
287,1.388485
288,1.472630
289,1.407329
290,1.636616
291,1.411345
292,1.634147
293,1.369547
294,1.339710
295,1.374807
296,1.386577
297,1.288726
