step,grad_l2
0,3.074657
1,3.443542
2,4.374889
3,8.122764
4,4.495290
5,6.054356
6,4.518632
7,4.974980
8,8.030676
9,4.940412
10,2.875308
11,2.110279
12,3.258417
13,2.594308
14,2.192750
15,1.249487
16,1.267805
17,1.080629
18,0.956931
19,1.885707
20,1.014577
21,1.202288
22,1.014783
23,0.850509
24,0.951570
25,0.933131
26,0.786584
27,1.579435
28,0.825379
29,1.957675
30,1.132473
31,0.837094
32,0.735363
33,1.322807
34,1.300645
35,1.325743
36,1.205522
37,1.164998
38,0.660577
39,0.747986
40,0.712948
41,0.793803
42,0.869339
43,0.948692
44,0.674401
45,0.743561
46,0.645221
47,0.704978
48,0.651321
49,0.591957
50,0.739157
51,0.816181
52,1.084240
53,0.572271
54,0.855067
55,0.686703
56,0.999380
57,0.892141
58,0.731028
59,0.936976
60,1.026945
61,0.913635
62,0.734163
63,0.873098
64,0.756949
65,0.969524
66,0.965410
67,1.035521
68,0.760346
69,0.864587
70,0.733118
71,1.170535
72,0.834666
73,0.740593
74,0.933656
75,1.349558
76,1.096551
77,0.891951
78,0.694958
79,0.982798
80,0.767753
81,0.879928
82,0.832243
83,0.989882
84,0.869916
85,0.780459
86,0.781823
87,1.215321
88,0.952631
89,0.798415
90,0.852155
91,0.958036
92,0.923525
93,0.702010
94,0.894919
95,0.715788
96,0.760502
97,0.873328
98,1.257685
99,0.824451
100,0.825942
101,1.042387
102,0.856090
103,1.100105
104,1.114948
105,0.797534
106,0.893406
107,0.852892
108,0.774130
109,0.638816
110,1.611956
111,1.068607
112,1.201120
113,0.875725
114,1.054305
115,0.739065
116,0.882762
117,0.834482
118,1.072347
119,1.018521
120,0.921513
121,0.830063
122,0.746608
123,0.903702
124,1.045722
125,0.771425
126,0.876112
127,1.134035
128,1.044656
129,0.971260
130,1.089139
131,1.024382
132,0.826551
133,1.170683
134,0.972276
135,1.404682
136,1.172576
137,0.929446
138,1.133006
139,1.072252
140,1.024345
141,1.010077
142,1.305781
143,1.326062
144,1.168136
145,1.558822
146,0.868554
147,1.109491
148,0.830905
149,0.719911
150,0.897743
151,0.930792
152,0.870756
153,0.738701
154,0.810685
155,1.095923
156,1.068037
157,0.916858
158,0.997208
159,0.894731
160,1.038257
161,0.840868
162,0.960613
163,1.153401
164,1.091355
165,1.056340
166,0.735787
167,1.094523
168,1.272000
169,0.997266
170,1.315187
171,1.062428
172,1.076343
173,1.045236
174,1.334566
175,1.047951
176,1.070461
177,1.068696
178,1.129346
179,1.182745
180,1.105314
181,0.930759
182,0.944636
183,1.063279
184,1.175243
185,0.947497
186,1.019635
187,0.858238
188,1.085710
189,1.029392
190,1.026336
191,0.978867
192,1.487343
193,1.239650
194,1.370259
195,1.225830
196,1.193981
197,0.925384
198,1.112968
199,1.024987
200,1.232611
201,1.016414
202,1.186425
203,1.492841
204,1.198528
205,1.390910
206,1.382127
207,1.087999
208,1.196792
209,1.039979
210,1.145885
211,1.083658
212,0.999386
213,1.212866
214,0.962421
215,1.132663
216,1.149760
217,1.144672
218,1.141121
219,1.054324
220,1.035367
221,1.039671
222,1.194969
223,1.082074
224,1.499788
225,1.294321
226,1.072356
227,1.200684
228,1.075137
229,1.149471
230,0.939160
231,1.003148
232,0.983813
233,1.133937
234,1.161428
235,1.110941
236,1.336974
237,1.156816
238,1.213163
239,1.101952
240,0.907883
241,1.198407
242,1.233023
243,0.971662
244,0.966515
245,1.125834
246,1.018351
247,1.040510
248,1.133374
249,0.911538
250,0.922349
251,0.993603
252,1.520652
253,1.356730
254,1.223555
255,1.024721
256,1.241828
257,1.058205
258,1.110530
259,1.190325
260,1.291935
261,1.515702
262,1.190800
263,1.274449
264,1.144399
265,1.302516
266,1.168423
267,1.215844
268,1.066027
269,1.007433
270,1.504397
271,1.116893
272,1.021442
273,1.303639
274,1.238666
275,1.115418
276,0.925566
277,1.328024
278,1.060920
279,1.084391
280,1.026550
281,0.984777
282,1.041836
283,0.964085
284,0.948397
285,1.294163
286,1.050236
287,1.127681
288,1.003079
289,1.220797
290,1.431312
291,1.258007
292,1.438627
293,1.077756
294,1.136247
295,0.930961
296,1.054021
297,1.072010
298,1.015406
299,0.901664
300,1.043729
301,0.947502
302,1.215508
303,0.969867
304,1.238123
305,1.154061
306,1.017874
307,1.048404
308,0.991709
309,1.175063
310,1.075019
311,1.107187
312,1.007105
313,1.064845
314,1.521165
315,1.172029
316,1.084501
317,1.253190
318,1.488597
319,1.390669
320,1.309971
321,1.424251
322,1.203060
323,1.082096
324,1.229373
325,1.153138
326,1.212179
327,1.196140
328,1.039392
329,1.177869
330,1.122795
331,1.061726
332,0.933125
333,1.017876
334,1.057424
335,1.092553
336,1.159045
337,0.997056
338,1.269453
339,1.372804
340,1.269639
341,1.126328
342,1.457196
343,1.131631
344,1.158061
345,1.414983
346,1.169587
347,1.069001
348,1.048394
349,1.079111
350,1.228851
351,1.115526
352,1.023056
353,0.961539
354,0.898029
355,0.929058
356,1.028681
357,1.193126
358,1.171378
359,1.219334
360,1.400761
361,1.253266
362,1.029050
363,1.389108
364,1.205143
365,1.188614
366,1.340763
367,0.994213
368,0.968878
369,1.103190
370,1.125342
371,1.270219
372,1.042385
373,1.233344
374,1.117174
375,1.055292
376,1.145842
377,1.289942
378,1.096811
379,1.077739
380,1.094695
381,1.332435
382,1.116338
383,1.258807
384,1.163186
385,1.265032
386,0.979183
387,1.140021
388,1.120720
389,1.157414
390,1.222308
391,0.954900
392,0.936519
393,1.159573
394,1.018572
395,1.177980
396,1.128693
397,1.146040
398,1.222657
399,1.142587
400,1.152310
401,1.175465
402,1.211194
403,1.353398
404,1.111688
405,1.154728
406,1.297220
407,0.956382
408,1.274266
409,1.203271
410,1.186564
411,1.129882
412,1.280788
413,1.244213
414,1.483323
415,1.235248
416,1.028109
417,1.176763
418,1.287555
419,1.301923
420,1.115823
421,1.246690
422,1.256294
423,1.561403
424,1.335751
425,1.257842
426,1.207725
427,1.227115
428,1.460597
429,1.143101
430,0.947014
431,0.952533
432,1.249887
433,1.222235
434,1.182171
435,1.390739
436,1.169600
437,1.399089
438,1.098475
439,1.198980
440,1.301028
441,1.205731
442,1.048139
443,1.064575
444,1.160482
445,1.089038
446,1.088920
447,1.304567
448,1.145293
449,1.269092
450,1.200301
451,1.144901
452,1.268523
453,1.176163
454,1.186745
455,1.187962
456,0.962780
457,1.077756
458,1.157714
459,1.134104
460,1.187456
461,1.124763
462,1.018775
463,1.150160
464,0.982227
465,1.249739
466,1.059645
467,1.095266
468,1.236146
469,1.084819
470,1.274998
471,1.039615
472,1.115449
473,1.510940
474,1.314943
475,1.326650
476,1.193868
477,1.136584
478,1.167456
479,1.274463
480,1.083924
481,1.146977
482,1.283386
483,1.215138
484,1.049798
485,1.342189
486,1.208771
487,1.076440
488,1.097655
489,1.152624
490,1.158748
491,1.370547
492,1.240243
493,1.337333
494,1.117020
495,1.086599
496,1.281478
497,1.280844
498,1.067760
499,1.262330
