step,fwd_ms,bwd_ms,opt_ms,total_ms
0,280.949,633.946,45.811,960.706
1,229.843,578.609,7.425,815.877
2,217.844,556.639,7.169,781.652
3,201.074,579.096,7.115,787.285
4,230.681,612.698,7.847,851.226
5,177.649,586.840,7.168,771.657
6,184.931,612.645,7.069,804.645
7,182.844,569.859,7.160,759.862
8,191.199,606.979,7.428,805.606
9,202.747,511.936,7.226,721.908
10,176.508,546.230,7.429,730.168
11,254.006,580.316,7.126,841.449
12,237.428,580.701,7.346,825.475
13,227.179,543.377,7.227,777.783
14,225.558,573.075,7.310,805.942
15,206.795,631.546,7.497,845.839
16,193.523,530.871,8.166,732.560
17,217.022,574.922,7.542,799.486
18,180.679,630.277,7.494,818.450
19,171.780,521.244,7.021,700.045
20,222.289,510.851,7.206,740.347
21,223.357,550.727,7.957,782.041
22,299.904,504.407,7.241,811.553
23,204.957,783.661,7.385,996.003
24,192.210,609.079,7.666,808.954
25,189.758,550.240,7.252,747.250
26,174.079,516.034,7.441,697.554
27,175.563,481.593,7.555,664.711
28,200.609,458.559,7.258,666.426
29,211.183,496.117,7.585,714.885
30,190.336,587.700,7.250,785.285
31,190.357,490.957,7.118,688.432
32,231.033,579.739,7.068,817.840
33,195.944,502.952,7.549,706.445
34,199.944,479.535,7.393,686.871
35,185.137,602.133,7.662,794.932
36,177.167,587.193,7.589,771.949
37,214.851,542.383,7.687,764.922
38,179.132,562.937,7.195,749.264
39,181.242,526.048,7.514,714.805
40,193.052,660.260,7.346,860.658
41,226.972,550.113,7.804,784.890
42,193.618,520.681,7.170,721.469
43,207.443,585.579,7.480,800.502
44,208.802,512.103,7.749,728.655
45,191.454,515.317,7.278,714.049
46,192.067,507.268,7.435,706.769
47,210.672,536.631,7.734,755.037
48,210.172,511.076,7.269,728.517
49,200.205,520.598,7.299,728.102
50,216.661,548.051,7.464,772.176
51,218.120,507.162,7.252,732.533
52,190.404,528.341,7.394,726.139
53,198.322,533.010,8.027,739.359
54,208.248,536.125,7.558,751.931
55,197.642,564.305,7.447,769.395
56,211.894,534.212,7.651,753.757
57,212.480,521.171,8.034,741.685
58,195.565,546.871,8.036,750.472
59,209.567,578.517,7.376,795.460
60,216.015,533.079,7.245,756.339
61,191.887,542.052,7.337,741.277
62,203.237,572.495,7.563,783.296
63,219.743,550.187,7.548,777.478
64,178.692,576.762,7.741,763.195
65,178.311,513.222,7.441,698.973
66,175.016,549.068,7.602,731.686
67,173.551,507.257,7.173,687.981
68,174.151,504.924,7.716,686.791
69,175.317,591.397,7.447,774.161
70,184.751,539.585,7.658,731.993
71,176.509,539.012,7.643,723.164
72,181.040,552.137,7.193,740.370
73,177.780,533.226,7.817,718.823
74,178.559,571.686,7.193,757.439
75,176.033,550.988,7.609,734.630
76,182.972,524.018,7.207,714.197
77,177.214,559.289,7.647,744.149
78,204.612,506.163,7.450,718.226
79,176.538,559.491,7.229,743.258
80,203.708,572.261,7.558,783.527
81,185.305,550.430,7.559,743.295
82,186.542,547.624,7.155,741.322
83,172.854,549.185,7.484,729.522
84,181.176,492.010,7.759,680.944
85,203.445,504.125,7.591,715.162
86,197.864,532.848,7.479,738.191
87,190.021,494.037,7.889,691.946
88,179.948,506.179,7.172,693.299
89,208.298,482.685,7.759,698.741
90,177.149,501.937,7.322,686.408
91,184.931,487.355,8.159,680.445
92,181.547,481.299,7.075,669.921
93,174.518,515.634,8.109,698.261
94,195.961,572.374,7.547,775.882
95,171.089,609.192,7.260,787.541
96,172.577,526.931,7.711,707.219
97,203.930,526.072,7.198,737.200
98,187.588,485.171,7.152,679.911
99,198.877,527.122,7.287,733.286
100,189.430,514.479,7.591,711.500
101,200.145,501.908,7.366,709.419
102,198.600,502.719,7.598,708.917
103,204.930,480.879,6.999,692.809
104,188.077,531.333,7.591,727.001
105,173.919,520.412,7.768,702.099
106,195.766,476.202,7.589,679.557
107,206.695,520.135,7.440,734.270
108,207.211,509.671,8.167,725.049
109,193.597,500.307,7.613,701.517
110,226.516,498.803,7.828,733.148
111,208.113,485.547,7.247,700.907
112,194.871,491.533,7.631,694.036
113,216.360,493.911,7.110,717.382
114,210.420,522.336,7.883,740.639
115,226.738,519.346,7.119,753.203
116,212.866,524.126,7.137,744.128
117,201.869,508.323,7.119,717.310
118,200.947,489.696,7.156,697.799
119,196.556,483.899,7.477,687.932
120,215.792,530.770,7.792,754.355
121,202.665,539.260,7.261,749.187
122,189.439,555.370,7.120,751.928
123,199.817,545.974,7.125,752.916
124,216.997,533.707,7.878,758.582
125,202.962,554.580,7.727,765.269
