step,loss
0,2.423275
1,2.586652
2,3.279238
3,4.002442
4,4.192974
5,5.383010
6,6.395672
7,5.421774
8,4.918238
9,4.127654
10,4.808497
11,5.798276
12,5.344189
13,4.356289
14,4.298332
15,4.192506
16,2.679648
17,3.082617
18,2.372627
19,2.604823
20,2.745145
21,2.504014
22,2.710645
23,2.298156
24,2.638218
25,2.824696
26,2.320698
27,2.630876
28,2.484717
29,2.291984
30,2.960563
31,2.580751
32,2.582818
33,2.459514
34,2.347155
35,2.369497
36,2.800958
37,2.299683
38,2.296413
39,2.375392
40,2.261375
41,2.275949
42,2.274990
43,2.474022
44,2.255218
45,2.329596
46,2.338725
47,2.308826
48,2.252962
49,2.254434
50,2.278374
51,2.226591
52,2.216924
53,2.200086
54,2.229869
55,2.250633
56,2.141419
57,2.208567
58,2.177660
59,2.149869
60,2.205673
61,2.190177
62,2.243635
63,2.169965
64,2.169783
65,2.170483
66,2.159230
67,2.098354
68,2.158879
69,2.148763
70,2.105481
71,2.105873
72,2.157287
73,2.134657
74,2.053732
75,2.243750
76,2.013448
77,2.063865
78,2.106391
79,2.063191
80,2.079001
81,2.061965
82,2.092757
83,2.094194
84,1.936185
85,2.024545
86,2.020063
87,2.129822
88,2.019127
89,2.056082
90,1.926666
91,1.980390
92,2.027466
93,2.168069
94,2.025689
95,1.959525
96,1.951182
97,2.025010
98,2.002670
99,2.043804
100,2.002641
101,1.975733
102,2.073405
103,2.074433
104,2.124985
105,2.052827
106,2.009518
107,2.043850
108,1.976359
109,2.002400
110,2.028350
111,2.063684
112,1.947778
113,1.981187
114,2.069793
115,2.001507
116,1.938356
117,1.978126
118,2.018913
119,2.056477
120,1.906915
121,1.969453
122,1.932739
123,1.936593
124,2.021199
125,1.929502
126,1.959367
127,1.958763
128,1.994625
129,1.915410
130,2.070538
131,1.997387
132,1.893688
133,1.885607
134,1.855575
135,1.964289
136,1.952079
137,1.817783
138,1.859686
139,1.853150
140,1.890675
141,1.783523
142,1.809771
143,1.913125
144,1.984651
145,1.773415
146,1.987682
147,1.893595
148,1.919446
149,1.846768
150,1.947940
151,1.740281
152,1.951600
153,1.815968
154,1.952607
155,1.829988
156,1.890521
157,1.887008
158,1.885234
159,1.966895
160,1.857841
161,1.837197
162,1.873805
163,1.826341
164,1.900224
165,1.774683
166,1.996222
167,1.724785
168,1.854470
169,1.814050
170,1.826229
171,1.964915
172,1.798028
173,1.794618
174,1.766827
175,1.818118
176,1.786567
177,1.925361
178,1.950434
179,1.829173
180,1.774942
181,1.734777
182,1.783188
183,1.738964
184,1.830581
185,1.846985
186,1.765684
187,1.826742
188,1.776859
189,1.777884
190,1.733669
191,1.783398
192,1.883032
193,1.763671
194,1.769078
195,1.942940
196,1.861222
197,1.704855
198,1.820228
199,1.862317
200,1.806443
201,1.870573
202,1.942562
203,1.792607
204,1.720614
205,1.768616
206,1.732144
207,1.733831
208,1.713952
209,1.735298
210,1.800788
211,1.704832
212,1.809131
213,1.834557
214,1.760147
215,1.783748
216,1.647072
217,1.785612
218,1.670730
219,1.745713
220,1.764244
221,1.782537
222,1.775182
223,1.890597
224,1.824560
225,1.768955
226,1.791623
227,1.828231
228,1.778624
229,1.850609
230,1.709743
231,1.794493
232,1.747211
233,1.792137
234,1.771961
235,1.787997
236,1.646644
237,1.808723
238,1.763311
239,1.726564
240,1.855738
241,1.630130
242,1.570359
243,1.644735
244,1.632093
245,1.566061
246,1.564619
247,1.633649
248,1.760616
249,1.729069
250,1.630716
251,1.804606
252,1.836564
253,1.786752
254,1.702677
255,1.787722
256,1.850264
257,1.583510
258,1.654615
259,1.853824
260,1.688579
261,1.747154
262,1.691809
263,1.679030
264,1.723109
265,1.804156
266,1.676765
267,1.664074
268,1.829681
269,1.752736
270,1.659632
271,1.781446
272,1.584220
273,1.654143
274,1.721549
275,1.715580
276,1.791894
277,1.693264
278,1.624194
279,1.682193
280,1.673532
281,1.716052
282,1.656224
283,1.801786
284,1.586982
285,1.624709
286,1.611915
287,1.620882
288,1.541024
289,1.488174
290,1.581848
291,1.538955
292,1.646830
293,1.592871
294,1.672089
295,1.620704
296,1.531047
297,1.700621
298,1.624004
299,1.536785
300,1.650262
301,1.527190
302,1.726087
303,1.569466
304,1.486314
305,1.508271
306,1.616262
307,1.630612
308,1.671477
309,1.575225
310,1.647248
311,1.546385
312,1.672545
313,1.820851
314,1.617085
315,1.696639
316,1.904253
317,1.663312
318,1.590227
