step,grad_l2
0,2.907829
1,4.223545
2,5.648126
3,6.035254
4,6.528155
5,6.530014
6,9.801040
7,5.303673
8,8.071378
9,5.393661
10,4.938731
11,4.950955
12,3.515611
13,5.439450
14,3.853632
15,3.016778
16,14.615610
17,4.677706
18,11.413817
19,2.169081
20,3.985642
21,2.584586
22,2.916541
23,2.310019
24,1.346619
25,2.096224
26,1.089380
27,1.421883
28,0.675389
29,1.215546
30,0.982004
31,1.308407
32,1.159394
33,1.042377
34,0.838855
35,0.298077
36,0.795995
37,0.714655
38,0.856416
39,0.773814
40,0.586741
41,0.813887
42,0.577855
43,0.708087
44,0.462660
45,0.579605
46,0.849418
47,0.441438
48,0.600176
49,0.602606
50,0.832194
51,0.595965
52,0.665924
53,1.140468
54,0.547092
55,0.979599
56,0.658027
57,1.062280
58,0.676407
59,0.950570
60,0.690162
61,0.666864
62,0.833579
63,0.505945
64,0.729870
65,0.527099
66,0.382874
67,0.419046
68,0.784697
69,0.546692
70,0.714168
71,0.408112
72,0.759109
73,0.325463
74,0.723676
75,0.806836
76,0.574825
77,0.620806
78,0.756821
79,0.604802
80,0.739210
81,0.633697
82,0.391571
83,0.366166
84,0.452777
85,0.592250
86,0.594198
87,0.464690
88,0.418298
89,0.643541
90,0.618471
91,0.682698
92,0.627536
93,0.647107
94,0.504552
95,0.297458
96,0.462505
97,0.479010
98,0.467726
99,0.577644
100,0.442633
101,0.249075
102,0.691453
103,0.617742
104,0.508623
105,0.592034
106,0.496182
107,0.604752
108,0.605208
109,0.386772
110,0.585722
111,0.747474
112,0.660515
113,0.543607
114,0.534779
115,0.475380
116,0.463680
117,0.541411
118,0.387741
119,0.523411
120,0.635669
121,0.493154
122,0.535112
123,0.441492
124,0.405567
125,0.420969
126,0.453404
127,0.468107
128,0.439740
129,0.534699
130,0.620656
131,0.599883
132,0.494089
133,0.535574
134,0.384026
135,0.651973
136,0.498120
137,0.516142
138,0.480282
139,0.638139
140,0.623399
141,0.586149
142,0.554501
143,0.700794
144,0.760585
145,0.662353
146,0.799466
147,0.528150
148,0.668196
149,0.543568
150,0.569667
151,0.571235
152,0.376608
153,0.652734
154,0.643416
155,0.660058
156,0.558595
157,0.516897
158,0.669201
159,0.582414
160,0.612685
161,0.543305
162,0.607860
163,0.505874
164,0.542434
165,0.835605
166,0.529492
167,0.500131
168,0.466086
169,0.685180
170,0.375651
171,0.617630
172,0.422225
173,0.709385
174,0.496975
175,0.546868
176,0.527851
177,0.441294
178,0.505983
179,0.477198
180,0.543697
181,0.718456
182,0.818372
183,0.561516
184,0.649919
