step,fwd_ms,bwd_ms,opt_ms,total_ms
0,272.149,597.400,43.595,913.144
1,238.553,488.731,6.036,733.320
2,245.637,472.407,5.514,723.559
3,328.290,435.603,5.674,769.568
4,322.067,499.765,10.432,832.265
5,261.576,468.942,5.535,736.052
6,255.444,489.459,5.614,750.517
7,315.111,496.217,5.461,816.790
8,316.694,518.462,5.671,840.827
9,227.232,519.391,12.495,759.117
10,208.418,508.076,5.803,722.297
11,207.084,442.955,5.613,655.652
12,314.472,563.338,5.981,883.791
13,204.663,495.863,5.525,706.051
14,231.492,436.459,5.481,673.432
15,298.646,472.049,5.526,776.220
16,273.702,457.659,5.447,736.808
17,234.406,419.274,5.431,659.111
18,335.309,480.635,5.535,821.479
19,240.387,515.673,6.151,762.210
20,220.629,523.134,6.144,749.908
21,204.455,534.089,6.098,744.642
22,231.792,534.434,6.090,772.317
23,205.573,540.761,5.571,751.905
24,211.419,487.308,5.603,704.330
25,231.436,551.012,6.165,788.613
26,218.931,483.009,5.778,707.718
27,247.417,564.752,6.157,818.327
28,228.456,546.841,6.038,781.335
29,213.137,476.524,12.597,702.258
30,258.009,556.841,5.606,820.456
31,215.907,512.455,5.603,733.965
32,239.264,495.480,5.577,740.322
33,253.585,489.851,5.544,748.980
34,257.196,474.939,5.445,737.580
35,236.723,454.195,5.503,696.420
36,298.223,504.317,5.635,808.175
37,206.175,488.257,5.607,700.040
38,267.407,473.936,5.467,746.810
39,304.153,481.575,5.508,791.235
40,261.938,519.624,6.101,787.663
41,237.516,530.301,5.560,773.377
42,212.559,520.737,6.137,739.433
43,233.838,557.838,6.242,797.917
44,207.794,532.104,5.760,745.658
45,214.296,526.811,5.585,746.692
46,211.925,501.758,5.460,719.143
47,329.732,525.282,6.009,861.023
48,237.242,523.541,5.524,766.307
49,251.948,492.528,5.629,750.105
50,253.793,564.374,5.488,823.656
51,227.693,498.612,6.172,732.477
52,278.723,545.184,5.476,829.383
53,245.544,488.286,5.602,739.431
54,248.609,486.904,5.402,740.915
55,288.205,443.155,5.524,736.884
56,317.996,467.016,5.438,790.450
57,306.525,473.622,5.538,785.684
58,293.585,507.168,5.617,806.370
59,239.455,523.806,6.121,769.382
60,234.570,500.407,5.431,740.407
61,260.391,554.348,5.633,820.372
62,224.888,501.281,5.479,731.648
63,242.862,505.570,5.479,753.911
64,270.000,470.023,5.420,745.443
65,311.585,423.751,6.018,741.354
66,395.777,488.500,5.586,889.863
67,257.922,477.686,5.584,741.192
68,291.962,446.868,6.009,744.839
69,330.679,444.064,5.466,780.209
70,352.494,465.995,5.622,824.111
71,315.363,471.005,5.426,791.793
72,272.044,449.127,5.490,726.660
73,304.580,503.184,5.616,813.381
74,279.779,500.119,5.478,785.377
75,279.514,525.080,5.464,810.058
76,263.361,538.648,6.276,808.285
77,228.385,534.610,5.505,768.500
78,203.295,528.563,5.595,737.453
79,190.602,476.008,6.084,672.694
80,283.814,417.503,5.497,706.814
81,347.056,515.812,5.609,868.477
82,226.360,510.619,5.978,742.957
83,203.131,533.802,5.543,742.477
84,212.123,464.365,5.541,682.029
85,334.956,527.340,6.159,868.455
86,249.180,439.528,5.465,694.173
87,272.594,473.098,15.313,761.005
88,339.407,466.769,5.505,811.681
89,278.893,494.864,5.988,779.745
90,304.864,494.380,5.552,804.796
91,262.373,520.450,5.995,788.818
92,266.950,503.024,5.469,775.443
93,261.248,476.919,5.640,743.807
94,328.459,561.696,5.707,895.862
95,249.218,515.600,6.140,770.958
96,277.498,501.708,5.806,785.012
97,281.062,568.787,5.584,855.433
98,225.646,548.053,6.107,779.806
