step,fwd_ms,bwd_ms,opt_ms,total_ms
0,289.076,626.478,48.040,963.594
1,236.623,535.750,6.142,778.516
2,207.304,553.983,5.514,766.801
3,194.395,487.751,6.218,688.364
4,188.952,497.430,6.282,692.665
5,183.725,444.785,5.590,634.100
6,234.249,561.222,5.903,801.374
7,217.633,521.803,5.747,745.183
8,193.552,551.824,6.046,751.422
9,235.903,546.697,6.146,788.745
10,206.492,491.722,6.092,704.306
11,193.832,502.099,6.217,702.148
12,191.643,475.099,5.905,672.647
13,175.608,451.500,5.727,632.835
14,167.778,511.628,5.861,685.267
15,191.883,436.574,5.646,634.103
16,169.917,459.844,6.293,636.053
17,170.376,515.920,6.420,692.715
18,169.420,517.846,6.435,693.701
19,168.767,504.494,5.987,679.248
20,170.488,488.982,6.118,665.588
21,166.679,543.795,6.181,716.655
22,184.014,434.927,6.163,625.104
23,172.158,512.997,6.126,691.281
24,198.430,486.720,6.161,691.312
25,172.708,499.410,6.153,678.271
26,192.331,489.466,6.224,688.021
27,191.623,564.120,6.011,761.754
28,171.944,543.947,6.085,721.976
29,176.399,555.562,6.338,738.299
30,171.545,505.506,6.409,683.460
31,168.023,614.854,6.055,788.932
32,176.851,617.597,6.149,800.597
33,166.851,549.565,5.737,722.153
34,169.637,501.693,6.145,677.476
35,169.939,463.661,6.374,639.973
36,176.323,487.466,5.948,669.736
37,171.551,469.184,5.557,646.292
38,175.043,516.990,6.247,698.281
39,175.137,603.376,6.363,784.875
40,170.599,576.467,6.447,753.514
41,165.460,533.478,6.011,704.949
42,176.620,510.472,5.889,692.980
43,185.108,497.172,5.855,688.136
44,171.845,508.738,5.969,686.551
45,171.593,478.904,6.163,656.659
46,191.653,543.373,6.227,741.253
47,169.095,579.494,6.065,754.654
48,173.128,512.341,5.984,691.453
49,184.538,518.070,6.467,709.075
50,185.239,473.867,6.227,665.333
51,174.346,570.429,6.123,750.898
52,177.996,533.403,6.115,717.514
53,174.767,517.094,6.195,698.055
54,174.676,488.397,5.791,668.864
55,171.155,496.079,6.380,673.614
56,188.683,442.911,6.471,638.066
57,188.387,466.786,5.861,661.033
58,167.745,460.707,5.786,634.238
59,178.763,508.246,6.330,693.339
60,193.801,512.882,6.718,713.401
61,168.997,493.196,6.542,668.734
62,170.003,524.182,6.129,700.314
63,180.392,509.482,6.367,696.241
64,199.778,474.468,5.668,679.914
65,223.694,518.869,6.495,749.058
66,193.406,539.504,6.349,739.259
67,176.291,489.521,6.055,671.867
68,192.349,477.108,6.574,676.030
69,182.726,480.321,6.117,669.164
70,197.444,502.284,5.658,705.387
71,168.654,528.586,6.356,703.595
72,170.796,523.665,6.422,700.883
73,183.494,520.759,6.080,710.333
74,211.153,497.221,6.315,714.690
75,199.528,539.038,6.358,744.923
76,194.942,499.040,6.253,700.235
77,171.471,491.703,5.963,669.137
78,169.184,572.006,5.962,747.153
79,188.868,534.451,6.174,729.494
80,179.475,454.395,5.860,639.730
81,169.104,513.497,6.471,689.072
82,167.223,489.070,14.012,670.305
83,169.375,498.450,5.743,673.568
84,192.990,475.545,6.128,674.663
85,208.439,508.578,6.638,723.655
86,206.200,546.518,5.632,758.349
87,212.008,506.288,6.226,724.522
88,251.960,563.031,6.013,821.003
89,209.552,500.094,5.672,715.318
90,185.573,553.759,5.651,744.984
91,173.685,502.540,6.109,682.333
92,165.966,462.514,6.133,634.613
93,168.897,499.803,6.153,674.853
94,180.721,415.876,6.276,602.874
95,183.919,501.766,6.365,692.050
96,193.770,467.701,6.003,667.474
97,200.896,514.202,6.408,721.506
98,199.615,478.115,5.762,683.492
99,188.044,525.855,6.394,720.293
