step,grad_l2
0,3.089393
1,4.643337
2,6.132692
3,8.422257
4,9.475947
5,7.875037
6,7.272549
7,6.505275
8,5.198594
9,5.156725
10,3.952461
11,5.402593
12,2.030744
13,2.471912
14,1.568326
15,1.781663
16,1.174093
17,2.988831
18,1.098746
19,1.081709
20,1.548921
21,1.557475
22,1.248834
23,1.208993
24,1.533294
25,0.973224
26,0.803851
27,1.990439
28,1.097242
29,2.634820
30,0.535222
31,0.914212
32,1.092856
33,0.709452
34,1.319435
35,0.837240
36,0.768223
37,0.925671
38,0.479282
39,0.660576
40,0.771878
41,0.739327
42,0.637291
43,0.724342
44,0.639589
45,0.743585
46,0.648225
47,0.771909
48,0.927511
49,0.594209
50,0.678721
51,0.859456
52,0.795627
53,0.496835
54,0.587526
55,0.730419
56,0.662786
57,0.833317
58,0.667277
59,1.005122
60,0.676140
61,0.826841
62,0.724332
63,0.834336
64,0.656098
65,0.714753
66,0.508458
67,0.914150
68,0.606223
69,0.715444
70,0.552236
71,0.940579
72,1.135450
73,0.630787
74,0.986348
75,1.185228
76,0.988290
77,0.733635
78,0.760581
79,1.031543
80,0.794280
81,0.921046
82,0.819640
83,0.769889
84,0.917656
85,0.763185
86,0.739703
87,1.010220
88,0.802294
89,0.803313
90,0.860922
91,0.816863
92,0.798852
93,0.703702
94,0.869660
95,0.654907
96,0.717563
97,0.818772
98,0.830194
99,0.892997
