step,loss
0,2.329390
1,2.567998
2,2.846133
3,3.294332
4,4.350690
5,4.136123
6,5.976511
7,4.848022
8,4.481244
9,4.363546
10,3.916663
11,3.428368
12,2.758014
13,2.545159
14,2.471603
15,2.745179
16,2.579907
17,2.267986
18,2.561835
19,2.285899
20,2.424537
21,2.598242
22,2.536752
23,2.576284
24,2.177311
25,2.134903
26,2.112275
27,2.739090
28,2.268685
29,2.296759
30,2.136469
31,2.071681
32,2.101760
33,1.994874
34,2.212538
35,2.126564
36,1.972695
37,2.118584
38,2.037787
39,2.060749
40,2.039858
41,2.234021
42,1.840694
43,2.032710
44,1.910885
45,2.093995
46,2.005022
47,2.067828
48,1.955160
49,2.065912
50,1.999192
51,1.892993
52,1.952828
53,1.875400
54,1.932432
55,1.886433
56,1.950156
57,1.935446
58,1.866124
59,1.890122
60,1.932130
61,1.975296
62,1.956859
63,1.944941
64,1.865889
65,1.873225
66,1.841107
67,1.789668
68,1.895928
69,1.897272
70,1.719991
71,1.752605
72,1.884188
73,1.841619
74,1.951028
75,1.964637
76,1.711772
77,1.890250
78,1.803259
79,1.809209
80,1.887519
81,1.839802
82,1.852790
83,1.853929
84,1.921144
85,1.725193
86,1.745562
87,1.825277
88,1.726783
89,1.839084
90,1.801901
91,1.771893
92,1.695334
93,1.685584
94,1.739524
95,1.665901
96,1.653822
97,1.802560
98,1.794862
99,1.754921
