batch_n,trial,total_us,per_wr_ns
1,0,7.534,7534.0
1,1,0.601,601.0
1,2,0.511,511.0
1,3,0.451,451.0
1,4,0.451,451.0
1,5,0.45,450.0
1,6,0.451,451.0
1,7,0.451,451.0
1,8,0.451,451.0
1,9,0.451,451.0
1,10,0.571,571.0
1,11,0.45,450.0
1,12,0.46,460.0
1,13,0.46,460.0
1,14,0.44,440.0
1,15,0.441,441.0
1,16,0.451,451.0
1,17,0.45,450.0
1,18,0.451,451.0
1,19,0.451,451.0
1,20,0.451,451.0
1,21,0.451,451.0
1,22,0.441,441.0
1,23,0.441,441.0
1,24,0.471,471.0
1,25,0.451,451.0
1,26,0.441,441.0
1,27,0.451,451.0
1,28,0.451,451.0
1,29,0.451,451.0
1,30,0.441,441.0
1,31,0.441,441.0
1,32,0.461,461.0
1,33,0.451,451.0
1,34,0.44,440.0
1,35,0.44,440.0
1,36,0.441,441.0
1,37,0.441,441.0
1,38,0.451,451.0
1,39,0.451,451.0
1,40,0.431,431.0
1,41,0.461,461.0
1,42,0.441,441.0
1,43,0.451,451.0
1,44,0.461,461.0
1,45,0.451,451.0
1,46,0.441,441.0
1,47,0.451,451.0
1,48,0.45,450.0
1,49,0.44,440.0
1,50,0.441,441.0
1,51,0.441,441.0
1,52,0.42,420.0
1,53,0.441,441.0
1,54,0.44,440.0
1,55,0.441,441.0
1,56,0.441,441.0
1,57,0.44,440.0
1,58,0.451,451.0
1,59,0.441,441.0
1,60,0.451,451.0
1,61,0.451,451.0
1,62,0.441,441.0
1,63,0.451,451.0
1,64,0.461,461.0
1,65,0.461,461.0
1,66,0.441,441.0
1,67,0.44,440.0
1,68,0.451,451.0
1,69,0.451,451.0
1,70,0.451,451.0
1,71,0.461,461.0
1,72,0.451,451.0
1,73,0.451,451.0
1,74,0.45,450.0
1,75,0.441,441.0
1,76,0.46,460.0
1,77,0.46,460.0
1,78,0.431,431.0
1,79,0.441,441.0
1,80,0.441,441.0
1,81,0.44,440.0
1,82,0.441,441.0
1,83,0.451,451.0
1,84,0.451,451.0
1,85,0.441,441.0
1,86,0.441,441.0
1,87,0.441,441.0
1,88,0.451,451.0
1,89,0.441,441.0
1,90,0.461,461.0
1,91,0.451,451.0
1,92,0.451,451.0
1,93,0.441,441.0
1,94,0.441,441.0
1,95,0.44,440.0
1,96,0.451,451.0
1,97,0.441,441.0
1,98,0.441,441.0
1,99,0.441,441.0
10,0,1.332,133.2
10,1,0.641,64.1
10,2,0.531,53.1
10,3,0.511,51.1
10,4,0.521,52.1
10,5,0.511,51.1
10,6,0.511,51.1
10,7,0.661,66.1
10,8,0.741,74.1
10,9,0.702,70.2
10,10,0.702,70.2
10,11,0.742,74.2
10,12,0.501,50.1
10,13,0.501,50.1
10,14,0.471,47.1
10,15,0.501,50.1
10,16,0.471,47.1
10,17,0.501,50.1
10,18,0.501,50.1
10,19,0.511,51.1
10,20,0.511,51.1
10,21,0.511,51.1
10,22,0.481,48.1
10,23,0.501,50.1
10,24,0.501,50.1
10,25,0.501,50.1
10,26,0.511,51.1
10,27,0.511,51.1
10,28,0.51,51.0
10,29,0.501,50.1
10,30,0.501,50.1
10,31,0.511,51.1
10,32,0.501,50.1
10,33,0.511,51.1
10,34,5.09,509.0
10,35,0.551,55.1
10,36,0.511,51.1
10,37,0.511,51.1
10,38,0.511,51.1
10,39,0.511,51.1
10,40,0.511,51.1
10,41,0.501,50.1
10,42,0.551,55.1
10,43,0.501,50.1
10,44,0.511,51.1
10,45,0.511,51.1
10,46,0.501,50.1
10,47,0.501,50.1
10,48,0.521,52.1
10,49,0.511,51.1
10,50,0.501,50.1
10,51,0.501,50.1
10,52,0.511,51.1
10,53,0.511,51.1
10,54,0.511,51.1
10,55,0.501,50.1
10,56,0.51,51.0
10,57,0.511,51.1
10,58,0.5,50.0
10,59,0.501,50.1
10,60,0.501,50.1
10,61,0.511,51.1
10,62,0.521,52.1
10,63,0.501,50.1
10,64,0.501,50.1
10,65,0.501,50.1
10,66,0.621,62.1
10,67,0.602,60.2
10,68,0.501,50.1
10,69,0.501,50.1
10,70,0.501,50.1
10,71,0.501,50.1
10,72,0.501,50.1
10,73,0.511,51.1
10,74,0.501,50.1
10,75,0.511,51.1
10,76,0.511,51.1
10,77,0.501,50.1
