buf_mib,loss_pct,trial,mask_us,throughput_gibps
1,0,0,3.697,264.1499864755207
1,0,1,0.601,1624.896006655574
1,0,2,0.451,2165.327050997783
1,0,3,0.441,2214.4274376417234
1,0,4,0.431,2265.80626450116
1,0,5,0.441,2214.4274376417234
1,0,6,0.441,2214.4274376417234
1,0,7,0.441,2214.4274376417234
1,0,8,0.441,2214.4274376417234
1,0,9,0.451,2165.327050997783
1,0,10,0.441,2214.4274376417234
1,0,11,0.431,2265.80626450116
1,0,12,0.43,2271.0755813953488
1,0,13,0.431,2265.80626450116
1,0,14,0.441,2214.4274376417234
1,0,15,0.43,2271.0755813953488
1,0,16,0.451,2165.327050997783
1,0,17,0.441,2214.4274376417234
1,0,18,0.441,2214.4274376417234
1,0,19,0.441,2214.4274376417234
1,1,0,0.982,994.46283095723
1,1,1,0.862,1132.90313225058
1,1,2,0.531,1839.1007532956687
1,1,3,0.491,1988.92566191446
1,1,4,0.441,2214.4274376417234
1,1,5,0.451,2165.327050997783
1,1,6,0.451,2165.327050997783
1,1,7,0.441,2214.4274376417234
1,1,8,1.142,855.13353765324
1,1,9,0.441,2214.4274376417234
1,1,10,0.721,1354.4556171983356
1,1,11,0.441,2214.4274376417234
1,1,12,0.461,2118.3568329718005
1,1,13,1.283,761.155494933749
1,1,14,0.982,994.46283095723
1,1,15,0.451,2165.327050997783
1,1,16,0.451,2165.327050997783
1,1,17,0.681,1434.0124816446403
1,1,18,0.471,2073.38110403397
1,1,19,0.942,1036.690552016985
1,10,0,3.817,255.84555933979564
1,10,1,2.735,357.0612431444241
1,10,2,2.544,383.8689072327044
1,10,3,3.156,309.43044993662863
1,10,4,2.524,386.9106576862124
1,10,5,2.013,485.12791852955786
1,10,6,1.834,532.476826608506
1,10,7,2.885,338.4965337954939
1,10,8,1.482,658.9490553306343
1,10,9,1.452,672.5637052341598
1,10,10,1.573,620.8280356007629
1,10,11,2.053,475.6758402338042
1,10,12,1.503,649.7421823020625
1,10,13,2.745,355.76047358834245
1,10,14,2.424,402.8723184818482
1,10,15,1.193,818.5771165129925
1,10,16,0.962,1015.1377338877338
1,10,17,1.342,727.6918777943368
1,10,18,2.385,409.4601677148847
1,10,19,1.433,681.4811584089323
16,0,0,2.485,6287.726358148893
16,0,1,1.082,14440.850277264326
16,0,2,1.052,14852.661596958174
16,0,3,1.032,15140.503875968992
16,0,4,1.052,14852.661596958174
16,0,5,1.032,15140.503875968992
16,0,6,1.032,15140.503875968992
16,0,7,1.032,15140.503875968992
16,0,8,1.032,15140.503875968992
16,0,9,1.022,15288.649706457927
16,0,10,1.031,15155.189136760428
16,0,11,1.022,15288.649706457927
16,0,12,1.032,15140.503875968992
16,0,13,1.042,14995.201535508639
16,0,14,1.032,15140.503875968992
16,0,15,1.022,15288.649706457927
16,0,16,1.042,14995.201535508639
16,0,17,1.042,14995.201535508639
16,0,18,1.032,15140.503875968992
16,0,19,1.042,14995.201535508639
16,1,0,6.863,2276.701151100102
16,1,1,4.038,3869.4898464586427
16,1,2,7.123,2193.598203004352
16,1,3,12.023,1299.5924478083673
16,1,4,4.399,3551.9436235508074
16,1,5,8.266,1890.2734091458988
16,1,6,11.602,1346.7505602482331
16,1,7,4.258,3669.5631751996243
16,1,8,9.859,1584.8463332995234
16,1,9,11.0,1420.4545454545455
16,1,10,9.448,1653.7891617273497
16,1,11,5.711,2735.948170197864
16,1,12,11.241,1390.0008896005693
16,1,13,6.823,2290.048365821486
16,1,14,7.184,2174.9721603563476
16,1,15,9.618,1624.558120191308
16,1,16,10.299,1517.1375861734148
16,1,17,7.203,2169.2350409551573
16,1,18,10.36,1508.2046332046332
16,1,19,5.3,2948.1132075471696
16,10,0,83.016,188.21672930519418
16,10,1,70.773,220.7762847413562
16,10,2,75.151,207.9147316735639
16,10,3,69.13,226.0234341096485
16,10,4,74.509,209.70620998805512
16,10,5,77.465,201.70399535273992
16,10,6,70.211,222.54347609348963
16,10,7,67.316,232.11420761780258
16,10,8,62.918,248.33910804539244
16,10,9,59.862,261.0170057799606
16,10,10,60.724,257.3117712930637
16,10,11,67.807,230.43343607592138
16,10,12,79.459,196.64229350986042
16,10,13,66.795,233.92469496219778
16,10,14,62.287,250.85491354536262
16,10,15,60.423,258.59358191417175
16,10,16,66.705,234.24031182070308
16,10,17,56.576,276.17717760180994
16,10,18,64.902,240.74758867215186
16,10,19,61.536,253.91640665626625
256,0,0,13.496,18524.007113218733
256,0,1,10.6,23584.905660377357
256,0,2,10.53,23741.690408357073
256,0,3,10.62,23540.48964218456
256,0,4,10.52,23764.25855513308
256,0,5,10.54,23719.16508538899
256,0,6,10.54,23719.16508538899
256,0,7,10.55,23696.682464454974
256,0,8,10.61,23562.6767200754
256,0,9,10.55,23696.682464454974
256,0,10,10.49,23832.221163012393
256,0,11,10.569,23654.0826946731
256,0,12,10.58,23629.489603024573
256,0,13,10.55,23696.682464454974
256,0,14,10.51,23786.869647954332
256,0,15,10.63,23518.344308560678
256,0,16,10.54,23719.16508538899
256,0,17,10.57,23651.844843897823
256,0,18,10.75,23255.81395348837
256,0,19,10.66,23452.157598499063
256,1,0,280.125,892.458723784025
256,1,1,298.049,838.7882529382753
256,1,2,249.728,1001.0891850333162
256,1,3,295.283,846.6454215108895
256,1,4,303.078,824.8701654359604
256,1,5,323.846,771.9718631695313
256,1,6,311.363,802.9213490363338
