chunk_bytes,loss_pct,rounds,ghost_ratio,effective_goodput_MBs,wqe_throughput,p50_ms,p99_ms
1024,0.0,250,0.001181,7.39,7567,0.632,5000.005
1024,0.1,250,0.001479,7.67,7854,0.632,5000.004
1024,1.0,250,0.010507,11.61,11891,1.037,5000.005
1024,5.0,250,0.049901,62.34,63839,0.994,5000.004
4096,0.0,250,0.002777,6.65,1702,0.130,5000.002
4096,0.1,250,0.004895,6.86,1757,0.129,5000.002
4096,1.0,250,0.014539,7.30,1868,0.131,5000.002
4096,5.0,250,0.052547,6.53,1672,0.128,5000.002
16384,0.0,250,0.059312,6.72,430,0.027,5000.002
16384,0.1,250,0.062344,6.47,414,0.025,5000.002
16384,1.0,250,0.084031,6.32,404,0.025,5000.002
16384,5.0,250,0.108547,7.75,496,0.026,5000.002
65536,0.0,250,0.085125,7.62,122,0.008,5000.001
65536,0.1,250,0.070563,9.29,149,0.010,5000.001
65536,1.0,250,0.087063,7.94,127,0.008,5000.001
65536,5.0,250,0.132625,6.67,107,0.008,5000.001
262144,0.0,250,0.108750,6.15,25,0.004,5000.001
262144,0.1,250,0.106250,6.38,26,0.003,5000.002
262144,1.0,250,0.118250,6.08,24,0.003,5000.002
262144,5.0,250,0.140750,6.61,26,0.003,5000.002
