chunk_bytes,loss_pct,rounds,ghost_ratio,effective_goodput_MBs,wqe_throughput,p50_ms,p99_ms
1024,0.0,250,0.000000,1018.33,1042766,3.934,3.966
1024,0.1,250,0.000997,1011.77,1036054,3.946,3.978
1024,1.0,250,0.010083,1013.39,1037716,3.906,3.937
1024,5.0,250,0.049898,1016.98,1041386,3.737,3.773
4096,0.0,250,0.000000,8376.85,2144473,0.478,0.479
4096,0.1,250,0.000973,8407.01,2152194,0.475,0.478
4096,1.0,250,0.010102,8384.91,2146538,0.472,0.477
4096,5.0,250,0.050086,8353.42,2138476,0.454,0.462
16384,0.0,250,0.000000,39890.99,2553023,0.100,0.101
16384,0.1,250,0.000922,39752.87,2544184,0.100,0.115
16384,1.0,250,0.009594,39740.43,2543388,0.100,0.101
16384,5.0,250,0.048781,39222.58,2510245,0.097,0.100
65536,0.0,250,0.000000,149514.89,2392238,0.027,0.027
65536,0.1,250,0.000875,147196.64,2355146,0.027,0.036
65536,1.0,250,0.009938,147043.49,2352696,0.027,0.032
65536,5.0,250,0.049438,143388.65,2294218,0.026,0.031
262144,0.0,250,0.000000,384129.02,1536516,0.010,0.014
262144,0.1,250,0.001500,380427.18,1521709,0.010,0.014
262144,1.0,250,0.010750,289069.79,1156279,0.014,0.016
262144,5.0,250,0.047500,269215.33,1076861,0.014,0.016
