chunk_bytes,loss_pct,rounds,ghost_ratio,effective_goodput_MBs,wqe_throughput,p50_ms,p99_ms
1024,0.0,500,0.000000,1018.13,1042564,3.933,3.958
1024,0.1,500,0.001016,1017.06,1041471,3.928,3.960
1024,1.0,500,0.010111,1014.39,1038731,3.904,3.931
1024,5.0,500,0.050096,1016.41,1040808,3.740,3.773
4096,0.0,500,0.000000,8347.11,2136860,0.478,0.499
4096,0.1,500,0.001010,8293.19,2123056,0.481,0.500
4096,1.0,500,0.010104,8319.52,2129798,0.475,0.494
4096,5.0,500,0.050145,8236.11,2108445,0.460,0.482
16384,0.0,500,0.000000,39927.80,2555379,0.100,0.117
16384,0.1,500,0.001109,39536.89,2530361,0.101,0.112
16384,1.0,500,0.010188,39625.08,2536005,0.100,0.106
16384,5.0,500,0.050188,39232.35,2510870,0.097,0.104
65536,0.0,500,0.000000,145501.89,2328030,0.027,0.038
65536,0.1,500,0.000875,147284.47,2356552,0.027,0.028
65536,1.0,500,0.009500,146516.86,2344270,0.027,0.029
65536,5.0,500,0.047938,142570.27,2281124,0.027,0.031
262144,0.0,500,0.000000,346995.35,1387981,0.010,0.018
262144,0.1,500,0.001000,368842.11,1475368,0.010,0.015
262144,1.0,500,0.009000,380065.40,1520262,0.010,0.014
262144,5.0,500,0.046000,374547.94,1498192,0.010,0.014
