step,fwd_ms,bwd_ms,opt_ms,total_ms
0,515.306,1154.228,71.518,1741.052
1,367.791,790.140,21.383,1179.314
2,347.843,779.311,11.536,1138.689
3,329.468,714.288,14.840,1058.596
4,338.665,738.685,13.163,1090.513
5,320.801,681.663,14.312,1016.775
6,420.312,728.739,18.000,1167.051
7,351.101,781.174,20.609,1152.884
8,314.633,780.015,21.018,1115.666
9,397.877,628.380,13.322,1039.580
10,324.895,805.683,15.727,1146.304
11,304.412,743.693,17.540,1065.645
12,321.867,581.367,14.313,917.546
13,275.186,608.483,15.153,898.822
14,314.944,689.589,18.914,1023.447
15,336.444,686.232,19.107,1041.782
16,296.070,776.448,21.815,1094.333
17,344.182,564.340,15.924,924.447
18,293.595,596.455,13.635,903.684
19,339.111,580.773,14.937,934.821
20,299.314,622.990,24.613,946.916
21,327.609,928.849,12.251,1268.710
22,308.587,1105.905,15.456,1429.948
23,406.040,589.995,15.310,1011.345
24,320.075,628.294,20.838,969.207
25,317.290,671.938,13.618,1002.846
26,347.547,545.837,16.557,909.941
27,315.597,956.928,15.247,1287.772
28,343.459,606.137,19.878,969.473
29,359.137,544.930,14.181,918.248
30,308.491,599.136,14.441,922.068
31,363.922,577.004,17.246,958.172
32,413.875,646.200,23.020,1083.095
33,367.123,550.361,17.206,934.690
34,376.011,557.787,16.712,950.510
35,377.952,633.865,17.087,1028.904
36,314.073,879.755,12.610,1206.438
37,313.121,626.917,13.271,953.309
38,324.665,592.905,12.367,929.936
39,296.286,569.073,12.833,878.192
40,349.647,637.464,13.013,1000.124
41,338.911,575.230,15.676,929.817
42,304.597,700.477,16.490,1021.565
43,322.607,590.725,16.826,930.159
44,290.497,630.083,15.436,936.015
45,290.155,640.924,13.622,944.701
46,400.386,835.312,15.665,1251.363
47,389.663,600.243,13.646,1003.553
48,274.255,575.284,13.346,862.884
49,326.639,622.967,19.124,968.730
50,290.870,679.421,15.014,985.305
51,313.704,618.933,13.291,945.928
52,304.335,592.817,15.036,912.187
53,301.274,755.456,16.104,1072.834
54,330.029,718.642,13.646,1062.317
55,326.455,720.442,17.224,1064.121
56,344.440,724.533,23.656,1092.628
57,311.013,734.951,13.828,1059.792
58,376.378,823.971,16.167,1216.517
59,406.024,808.925,14.632,1229.580
60,392.700,894.416,16.141,1303.256
61,427.290,675.979,12.737,1116.006
62,313.110,576.956,14.648,904.714
63,358.094,588.113,12.873,959.080
64,264.049,891.967,13.579,1169.595
65,319.344,572.159,12.930,904.434
66,277.336,765.001,18.066,1060.403
67,327.818,1023.623,18.021,1369.461
68,369.428,986.665,14.990,1371.084
69,312.811,1055.517,13.858,1382.185
70,373.834,737.198,24.314,1135.346
71,323.689,649.814,17.271,990.774
72,329.603,876.899,16.031,1222.534
73,317.524,767.509,19.503,1104.536
74,295.763,723.649,11.038,1030.450
75,304.781,689.078,11.400,1005.258
76,318.540,646.392,11.207,976.139
77,325.729,967.925,13.495,1307.149
78,307.775,590.097,11.116,908.987
79,285.768,840.398,11.307,1137.472
80,292.957,722.002,11.283,1026.243
81,307.745,808.065,11.141,1126.950
82,340.727,693.640,11.232,1045.598
83,333.071,714.025,16.036,1063.132
84,376.858,625.784,22.200,1024.843
85,294.815,791.596,10.759,1097.170
86,286.963,656.902,10.959,954.824
87,287.502,576.108,11.615,875.225
88,315.187,600.335,11.886,927.409
89,286.608,610.106,11.990,908.704
90,354.013,603.900,13.389,971.302
91,326.680,784.350,12.940,1123.970
92,344.904,1006.709,12.142,1363.755
93,345.740,965.124,16.234,1327.098
94,315.797,985.415,14.273,1315.486
95,419.755,827.527,14.346,1261.629
96,310.597,644.505,13.815,968.917
97,291.478,979.509,14.009,1284.996
98,332.097,951.262,15.498,1298.857
99,348.324,979.621,13.071,1341.016
100,314.806,980.711,13.547,1309.064
101,326.120,933.520,12.616,1272.256
102,319.942,556.902,14.592,891.437
103,322.613,621.593,13.344,957.549
104,322.767,700.393,14.775,1037.936
105,307.666,593.484,14.579,915.729
106,301.286,618.235,15.424,934.946
107,325.749,587.358,13.082,926.189
108,425.065,774.995,12.426,1212.485
109,361.979,644.179,12.888,1019.047
110,412.130,837.731,14.268,1264.130
111,339.500,1011.692,13.670,1364.862
112,333.519,1060.234,13.651,1407.403
113,342.294,931.373,14.932,1288.599
114,404.970,687.889,13.823,1106.682
115,342.081,702.068,16.997,1061.146
116,321.675,630.711,14.508,966.895
117,400.402,672.546,13.935,1086.882
118,300.218,591.247,20.506,911.970
119,388.987,774.763,14.443,1178.194
120,312.101,774.442,19.801,1106.344
121,266.114,697.467,13.964,977.544
122,324.474,568.983,14.270,907.727
123,288.513,967.725,13.841,1270.079
124,374.679,909.262,15.865,1299.806
125,328.402,923.743,14.103,1266.249
126,390.844,930.672,13.580,1335.096
127,315.082,938.580,13.893,1267.555
128,317.466,926.587,15.383,1259.436
129,389.691,867.061,13.669,1270.420
130,314.514,910.392,13.789,1238.694
131,390.166,847.779,12.435,1250.381
132,402.359,694.424,13.376,1110.159
133,292.300,577.830,12.487,882.618
134,346.870,573.654,11.916,932.439
135,371.440,565.663,11.827,948.930
136,332.708,624.506,14.243,971.457
137,312.848,611.114,17.265,941.227
138,347.734,625.545,14.071,987.350
139,331.906,573.015,18.165,923.086
140,323.440,656.586,12.606,992.632
141,316.418,614.092,12.740,943.250
142,312.725,673.570,13.249,999.544
143,299.326,611.155,12.767,923.248
144,352.010,568.152,12.281,932.443
145,282.938,593.917,12.260,889.115
146,282.818,613.413,13.930,910.161
147,334.294,541.350,14.791,890.434
148,306.177,635.340,13.073,954.591
149,314.185,762.118,18.779,1095.082
150,322.907,540.955,11.582,875.445
151,296.593,618.759,13.397,928.748
152,317.570,668.495,20.677,1006.742
153,289.363,745.274,16.671,1051.308
154,347.465,832.261,14.057,1193.783
155,380.000,638.587,18.378,1036.964
156,298.658,669.595,16.473,984.726
157,322.644,794.248,17.613,1134.505
158,314.322,597.462,18.549,930.333
159,315.352,608.492,15.861,939.706
160,313.780,647.717,14.896,976.393
161,345.126,561.198,12.845,919.168
162,273.282,819.936,13.701,1106.918
163,300.079,626.177,12.295,938.551
164,297.670,669.017,15.775,982.462
165,364.895,616.953,10.745,992.594
166,264.131,670.900,15.775,950.807
167,387.443,599.041,13.216,999.700
168,265.539,605.146,15.021,885.706
169,316.421,644.500,12.998,973.919
170,325.908,572.211,13.146,911.266
171,299.032,619.176,13.319,931.527
172,313.767,634.341,13.218,961.325
173,311.496,751.242,14.289,1077.028
