step,loss
0,2.423275
1,2.886155
2,3.465562
3,3.979967
4,4.139910
5,4.356216
6,3.900823
7,3.666363
8,3.293089
9,3.728527
10,3.873738
11,3.695401
12,4.508730
13,3.447107
14,2.874920
15,6.540913
16,2.931329
17,4.302091
18,3.546357
19,3.277478
20,2.861495
21,2.752431
22,2.676167
23,2.435039
24,3.294137
25,2.563101
26,2.300286
27,2.687529
28,2.335535
29,2.563197
30,2.820824
31,2.575840
32,2.469260
33,2.185364
34,2.097793
35,2.174954
36,2.486654
37,2.088820
38,2.046705
39,2.128328
40,2.078982
41,1.996872
42,2.104121
43,2.065844
44,1.999801
45,2.108681
46,1.938769
47,2.001876
48,2.101692
49,1.930114
50,1.969572
51,2.075050
52,2.008989
53,1.898764
54,2.094797
55,2.029858
56,1.896705
57,2.086100
58,2.035313
59,1.849441
60,2.128463
61,2.028081
62,1.943360
63,1.891487
64,1.878055
65,1.963847
66,1.919669
67,1.799208
68,1.888065
69,1.915202
70,1.873162
71,1.929026
72,1.881534
73,1.947943
74,1.837712
75,1.999360
76,1.775707
77,1.893655
78,1.940478
79,1.779333
80,1.883608
81,1.832261
82,1.899434
83,1.913942
84,1.799438
85,1.787331
86,1.870746
87,1.722636
88,1.798680
89,1.824670
90,1.680289
91,1.711248
92,1.831096
93,1.841742
94,1.759617
95,1.772213
96,1.785273
97,1.760242
98,1.786484
99,1.790585
100,1.736425
101,1.810976
102,1.983395
103,1.664571
104,1.806771
105,1.754577
106,1.966286
107,1.774385
108,1.705574
109,1.590131
110,1.707248
111,1.556333
112,1.607217
113,1.667064
114,1.727170
115,1.642780
116,1.553349
117,1.656971
118,1.821421
119,1.677206
120,1.654041
121,1.685161
122,1.754832
123,1.530868
124,1.702153
125,1.654247
126,1.676735
127,1.655874
128,1.803710
129,1.600611
130,1.737619
131,1.772789
132,1.518526
133,1.616576
134,1.632934
135,1.760383
136,1.654062
137,1.517514
138,1.651929
139,1.429780
140,1.607629
141,1.498194
142,1.543565
143,1.602062
144,1.667320
145,1.521993
146,1.711654
147,1.623762
148,1.656399
149,1.563335
150,1.651087
151,1.399163
152,1.649782
153,1.506266
154,1.805351
155,1.534889
156,1.546360
157,1.452987
158,1.591648
159,1.641166
160,1.487562
161,1.546784
162,1.513087
163,1.396232
164,1.552861
165,1.471360
166,1.669359
167,1.334499
168,1.592716
169,1.594869
170,1.541439
171,1.571770
172,1.480000
173,1.411673
174,1.592993
175,1.531253
176,1.484033
177,1.555858
178,1.565629
179,1.502317
180,1.374788
181,1.549991
182,1.478011
183,1.377519
184,1.474560
185,1.549290
186,1.364895
187,1.498482
188,1.487713
189,1.428693
190,1.332553
191,1.470496
192,1.436221
193,1.455647
194,1.440827
195,1.462580
196,1.345910
197,1.426958
198,1.593694
199,1.672230
200,1.397787
201,1.539515
202,1.517946
203,1.548301
204,1.383775
205,1.421805
206,1.408988
207,1.319000
208,1.421112
209,1.505443
210,1.426180
211,1.354456
212,1.581773
213,1.559500
214,1.451181
215,1.435855
216,1.372388
217,1.409033
218,1.291166
219,1.430041
220,1.371043
221,1.424636
222,1.299072
223,1.619056
224,1.586625
225,1.485991
226,1.518865
227,1.589064
228,1.431129
229,1.386955
230,1.368586
231,1.451114
232,1.386257
233,1.488452
234,1.426018
235,1.377564
236,1.290151
237,1.492826
238,1.444575
239,1.496543
240,1.426044
241,1.241193
242,1.327554
243,1.412587
244,1.457772
245,1.202157
246,1.192867
247,1.397925
248,1.378933
249,1.469004
250,1.443605
251,1.513480
252,1.356036
253,1.413013
254,1.325759
255,1.400981
256,1.335297
257,1.346889
258,1.314341
259,1.550165
260,1.203457
261,1.436532
262,1.258787
263,1.346360
264,1.396228
265,1.509869
266,1.113568
267,1.261821
268,1.434017
269,1.361917
270,1.342965
271,1.463243
272,1.309557
273,1.265356
274,1.189471
275,1.409440
276,1.419884
277,1.347135
278,1.212324
279,1.303974
280,1.252061
281,1.404009
282,1.187826
283,1.367870
284,1.163577
285,1.277126
286,1.348792
287,1.337789
288,1.215704
289,1.199718
290,1.385655
291,1.283359
292,1.374022
293,1.297650
294,1.248575
295,1.347974
296,1.227202
297,1.197010
298,1.302912
299,1.216590
300,1.349752
301,1.181579
302,1.535923
303,1.223245
304,1.144591
305,1.151978
306,1.224787
307,1.317684
308,1.210846
309,1.149082
310,1.284720
311,1.311098
312,1.066875
313,1.229872
314,1.211329
315,1.252451
316,1.340996
317,1.190276
318,1.138251
319,1.182117
320,0.999909
321,1.116637
322,1.243778
323,1.211897
324,1.143538
325,1.321975
326,1.221989
327,1.266893
328,1.335820
329,1.272607
330,1.196920
331,1.218784
332,1.126737
333,1.202595
334,1.290994
335,1.075648
336,1.293612
337,1.074308
338,1.274265
339,1.120702
340,1.139498
341,1.127924
342,1.039566
343,1.279911
344,1.143510
345,1.225427
346,1.154065
347,1.284476
348,1.251936
349,1.247277
350,1.161865
351,1.052544
352,1.117472
353,1.238283
354,1.125949
355,1.065299
356,0.879677
357,1.243011
358,1.124182
359,1.077251
360,1.122376
361,1.123903
362,1.126699
363,1.197875
364,1.181370
365,1.369634
366,1.340807
367,1.129253
368,1.208454
369,1.208129
370,1.177242
371,1.118454
372,1.231634
373,1.203037
374,1.089714
375,1.055097
376,1.113095
377,1.036102
378,1.126833
379,1.205197
380,1.050927
381,1.328983
382,1.278827
383,1.007631
384,1.287131
385,1.195230
386,1.124000
387,1.174524
388,1.127743
389,1.205912
390,1.022043
