step,grad_l2
0,3.089700
1,4.642451
2,6.127220
3,8.386996
4,9.283863
5,7.859687
6,7.154385
7,5.048744
8,3.507012
9,17.617639
10,5.316060
11,3.881156
12,2.137076
13,4.924591
14,1.584870
15,1.916730
16,1.343621
17,1.896397
18,1.150119
19,1.258588
20,1.403659
21,1.354861
22,1.095983
23,1.309342
24,1.496447
25,0.916763
26,0.610056
27,1.509719
28,1.003141
29,0.931293
30,0.624401
31,0.852736
32,0.893540
33,0.587844
34,1.312781
35,0.822937
36,0.686759
37,1.346802
38,0.655217
39,0.605376
40,0.770978
41,0.807932
42,0.674861
43,0.605028
44,0.677827
45,0.796897
46,0.499973
47,0.503234
48,0.658760
49,0.504798
50,0.666113
51,0.517980
52,0.611594
53,0.449419
54,0.532812
55,0.669478
56,0.827600
57,0.654150
58,0.611314
59,0.824707
60,0.460708
61,0.708363
62,0.729161
63,0.666140
64,0.543538
65,0.617867
66,0.646666
67,0.680257
68,0.547482
69,0.659554
70,0.620748
71,0.940360
72,0.779198
73,0.589354
74,0.742608
75,1.037422
76,0.919830
77,0.691467
78,0.619952
79,0.953919
80,0.777695
81,0.753562
82,0.953410
83,0.788641
84,0.812869
85,1.059929
86,0.696245
87,0.917611
88,0.688240
89,0.884419
90,0.709892
91,0.649188
92,0.796262
93,0.658717
94,0.755212
95,0.727198
96,0.713207
97,0.682678
98,0.842551
99,0.852147
100,0.683803
101,0.893651
102,0.573828
103,0.864720
104,0.745021
105,0.682470
106,0.722505
107,0.795001
108,0.877271
109,0.775810
110,1.115956
111,1.095904
112,1.065575
113,0.869643
114,0.948518
115,0.995864
116,0.795059
117,0.812077
118,1.017668
119,0.757236
120,0.787453
121,0.875679
122,0.899007
123,0.824073
124,0.944285
125,0.838712
126,1.059775
127,1.103361
128,1.100838
129,1.036659
130,0.886602
131,1.078503
132,1.047977
133,1.036028
134,1.042839
135,1.048385
136,1.019044
137,1.149505
138,0.747986
139,0.791790
140,0.904253
141,0.765362
142,0.770729
143,1.204490
144,0.730522
145,1.016332
146,0.978516
147,0.788441
148,0.694679
149,0.643513
150,0.962831
151,0.773317
152,0.675843
153,0.762653
154,1.027778
155,0.900910
156,1.173335
157,0.863765
158,0.843910
159,0.774279
160,0.809493
161,0.842026
162,0.959472
163,0.940208
164,1.294447
165,1.241863
166,0.796149
167,1.000104
168,1.124598
169,0.980988
170,1.119788
171,0.963113
172,0.972947
173,0.924061
174,1.025061
175,0.985383
176,1.030719
177,1.004269
178,1.045131
179,1.157850
180,1.036350
181,0.949549
182,0.850985
183,1.014616
184,1.421454
185,0.836310
186,0.986700
187,1.047842
188,1.309331
189,1.132924
190,1.219045
191,1.015914
192,1.238093
193,1.241185
194,1.073662
195,1.425476
196,1.015199
197,1.101840
198,1.127516
199,1.198241
200,1.230709
201,1.051139
202,0.970365
203,1.518096
204,1.111098
205,1.088594
206,1.273031
207,1.232197
208,1.204284
209,1.186827
210,1.292466
211,1.202548
212,1.237290
213,1.383127
214,0.930206
215,1.223679
216,1.168950
217,1.179001
218,1.073117
219,0.934315
220,1.177186
221,1.021281
222,1.127762
223,1.258985
224,1.259355
225,1.431020
226,0.986131
227,1.056447
228,1.349550
229,1.132194
230,1.082467
231,1.247647
232,0.977514
233,0.977989
234,1.018717
235,1.050967
236,1.052770
237,1.075184
238,0.978214
239,0.954583
240,0.800637
241,1.051809
242,0.946863
243,0.960990
244,1.162237
245,1.162475
246,1.029545
247,0.965491
248,1.091729
249,0.958356
250,0.981371
251,1.074630
252,1.324303
253,1.160473
254,1.167655
255,0.943026
256,1.188867
257,1.074219
258,1.262264
259,1.021081
260,1.024423
261,1.154523
262,1.100256
263,1.312958
264,1.232510
265,1.337846
266,1.187073
267,1.205448
268,1.368978
269,1.115398
270,1.501483
271,1.086396
272,0.901035
273,1.136710
274,1.218248
275,1.131544
276,1.042961
277,1.678502
278,1.180189
279,1.251335
280,1.190857
281,1.048756
282,0.981769
283,0.991690
284,1.211395
285,1.421952
286,1.086305
287,1.044813
288,1.113381
289,1.224200
290,1.344172
291,1.114953
292,1.391836
293,1.400177
294,1.213094
295,1.010295
296,1.083846
297,1.210277
298,1.065831
299,0.890134
300,1.247338
301,0.902806
302,1.191457
303,0.872763
304,1.190320
305,0.993772
306,1.083167
307,1.112492
308,0.874173
309,1.054139
310,0.994481
311,1.061623
312,0.902933
313,1.335715
314,1.340452
315,1.161268
316,1.267824
317,1.177136
318,1.305384
319,1.306203
320,1.226588
321,1.457582
322,1.241643
323,1.110264
324,1.401023
325,1.367229
326,1.117483
327,1.262105
328,1.116057
329,1.231178
330,1.058213
331,1.103587
332,1.092721
333,1.112086
334,0.965956
335,1.075263
336,1.120340
337,1.013579
338,1.191504
339,1.313459
340,1.261522
341,1.049407
342,1.299065
343,1.296865
344,1.329627
345,1.367831
346,1.263642
347,1.381193
348,1.206264
349,1.081897
350,1.398571
351,1.047741
352,0.925502
353,0.999470
354,0.957891
355,1.098241
356,1.070008
357,1.162700
358,1.022598
359,1.321028
360,1.428739
361,1.201834
362,1.270409
363,1.329588
364,1.165653
365,1.266398
366,1.274563
367,1.386492
368,1.101445
369,1.191201
370,1.129220
371,1.012353
372,1.109647
373,1.170055
374,1.119198
375,1.100601
376,1.226138
377,1.323084
378,1.290717
379,1.535083
380,1.179136
381,1.610752
382,1.553087
383,1.576677
384,1.282312
385,1.338941
386,1.273887
387,1.191027
388,1.347002
389,1.497589
390,1.207914
391,1.124727
392,1.302748
393,1.409330
394,1.029721
395,1.026079
396,1.268879
397,1.212835
398,1.213461
399,1.172463
400,1.101529
401,0.985936
402,1.159703
403,1.460612
404,1.276306
405,1.455190
406,1.394127
407,1.235400
408,1.291876
409,1.414186
410,1.256782
411,1.299663
412,1.361474
413,1.205152
414,1.371805
415,1.413851
416,1.075428
417,1.253608
418,1.399090
419,1.075666
420,1.453973
421,1.381761
422,1.167914
423,1.392020
424,1.803704
425,1.393977
426,1.271824
427,1.669543
428,1.621262
429,1.169026
430,1.289004
431,1.284567
432,1.189415
433,1.188048
434,1.273011
435,1.369435
436,1.215519
437,1.582526
438,1.111789
439,1.276842
440,1.652536
441,1.369733
442,1.310544
443,1.206625
444,1.331628
445,1.222620
446,1.185196
447,1.174999
448,1.297330
449,1.386470
450,1.144680
451,1.472049
452,1.246581
453,1.417131
454,1.096702
455,1.233065
456,1.099772
457,1.048607
458,1.086308
459,1.236071
460,1.152473
461,1.051214
462,0.981506
463,1.285542
464,1.207245
465,1.477125
466,1.144074
467,1.165234
468,1.215756
469,1.236240
470,1.480619
471,1.165101
472,1.295275
473,1.363967
474,1.446987
475,1.366546
476,1.123525
477,1.260239
478,1.408638
479,1.207199
480,1.197436
481,1.231347
482,1.365159
483,1.247765
484,1.313597
485,1.274013
486,1.455865
487,1.147796
488,1.256940
489,1.122616
490,1.153209
491,1.364082
492,1.592037
493,1.342348
494,1.606953
495,1.116273
496,1.262005
497,1.209618
498,1.029365
499,1.264844
