step,fwd_ms,bwd_ms,opt_ms,total_ms
0,537.894,1086.108,70.012,1694.014
1,367.191,905.767,23.724,1296.682
2,401.253,811.423,12.274,1224.950
3,362.163,788.537,12.659,1163.360
4,368.471,780.680,14.110,1163.261
5,370.174,710.406,32.452,1113.032
6,372.373,831.814,21.588,1225.775
7,335.407,746.445,14.320,1096.172
8,358.417,634.112,11.433,1003.962
9,320.165,839.215,13.861,1173.240
10,349.942,924.230,16.394,1290.566
11,321.374,961.915,14.293,1297.581
12,364.723,596.331,13.458,974.512
13,304.946,633.081,13.933,951.960
14,448.751,608.371,30.741,1087.863
15,304.031,685.580,14.044,1003.654
16,333.384,689.479,13.482,1036.345
17,296.392,776.272,11.590,1084.254
18,316.892,720.797,30.184,1067.873
19,340.199,654.439,12.642,1007.280
20,333.654,572.115,12.181,917.949
21,408.809,812.493,14.222,1235.524
22,416.856,592.976,14.158,1023.990
23,316.953,631.770,15.944,964.667
24,448.875,655.087,16.271,1120.233
25,427.773,691.967,15.852,1135.591
26,429.690,883.857,21.200,1334.747
27,429.068,868.050,13.481,1310.599
28,415.462,867.330,15.687,1298.480
29,357.291,787.430,18.255,1162.977
30,425.790,762.088,12.348,1200.226
31,376.621,893.301,15.723,1285.645
32,431.873,661.483,10.986,1104.341
33,449.003,771.783,14.018,1234.804
34,352.459,680.925,11.445,1044.829
35,309.241,842.788,11.325,1163.354
36,310.572,696.255,15.450,1022.278
37,283.581,670.865,19.948,974.395
38,427.023,860.281,15.259,1302.563
39,455.102,755.051,17.911,1228.064
40,402.753,1131.788,11.271,1545.812
41,303.457,1128.361,11.330,1443.148
42,293.434,1318.131,15.756,1627.321
43,322.087,1039.472,14.462,1376.021
44,336.975,1030.777,12.238,1379.990
45,430.480,876.962,13.377,1320.819
46,425.904,688.815,12.733,1127.451
47,369.291,632.313,15.751,1017.354
48,327.645,720.020,17.718,1065.382
49,366.491,856.704,17.136,1240.331
50,375.774,900.612,15.183,1291.569
51,418.987,835.071,14.508,1268.566
52,450.547,859.661,15.032,1325.241
53,431.220,755.108,14.353,1200.681
54,372.870,606.384,20.702,999.957
55,322.886,694.232,16.031,1033.149
56,331.264,703.201,12.989,1047.453
57,305.009,707.074,13.597,1025.680
58,344.746,658.902,12.199,1015.847
59,315.535,639.188,13.520,968.243
60,308.680,697.780,13.108,1019.568
61,277.933,664.048,15.693,957.674
62,299.373,702.849,12.651,1014.873
63,299.265,604.226,15.539,919.030
64,362.049,646.376,13.850,1022.275
65,272.773,619.934,14.298,907.005
66,394.731,569.776,15.589,980.097
67,388.477,894.396,14.169,1297.042
68,316.671,635.950,11.159,963.780
69,277.956,940.436,13.248,1231.640
70,467.983,861.976,13.420,1343.379
71,365.864,739.647,13.082,1118.594
72,318.851,688.500,10.956,1018.307
73,291.250,709.784,13.744,1014.778
74,334.428,573.045,13.587,921.059
75,299.374,756.191,11.651,1067.216
76,347.778,1061.320,11.432,1420.530
77,317.496,812.986,15.805,1146.287
78,340.831,1109.949,17.811,1468.590
79,436.049,608.882,13.027,1057.958
80,406.879,786.755,13.848,1207.482
81,291.986,664.480,15.610,972.077
82,307.514,639.588,13.460,960.562
83,297.699,791.590,18.245,1107.533
84,347.771,621.851,17.605,987.226
85,261.353,730.410,18.127,1009.890
86,367.438,565.270,14.845,947.553
87,305.980,922.294,11.877,1240.151
88,297.164,624.198,10.740,932.102
89,310.672,653.051,15.778,979.501
90,339.792,744.983,18.524,1103.299
91,304.977,722.103,16.428,1043.508
92,431.628,852.319,17.689,1301.635
93,334.471,966.746,11.578,1312.794
94,483.165,642.154,14.534,1139.854
95,341.924,638.572,12.626,993.123
96,344.548,731.721,15.223,1091.492
97,344.408,945.159,11.908,1301.475
98,451.016,844.728,18.581,1314.325
99,325.283,1061.521,11.763,1398.567
100,342.643,1151.197,13.808,1507.648
101,421.024,1086.077,17.479,1524.580
102,341.729,1051.298,15.877,1408.904
103,386.805,1071.101,19.134,1477.040
104,383.065,990.073,13.395,1386.533
105,344.661,1067.119,15.130,1426.910
106,368.574,1108.400,17.993,1494.968
