step,grad_l2
0,2.891026
1,3.421174
2,5.775014
3,6.617478
4,4.875433
5,8.319453
6,7.138145
7,5.690640
8,6.296369
9,6.221846
10,7.432904
11,4.815082
12,2.923371
13,1.962133
14,2.410824
15,2.273582
16,1.571799
17,3.334556
18,2.113043
19,2.322928
20,1.352222
21,1.774991
22,2.408248
23,0.891604
24,1.190978
25,0.971081
26,1.061772
27,0.850529
28,0.822213
29,0.582847
30,1.838023
31,0.593678
32,0.529496
33,0.556600
34,0.768342
35,0.592816
36,0.667380
37,0.611385
38,0.544073
39,0.487821
40,0.693779
41,0.543543
42,0.403324
43,0.572336
44,0.441347
45,0.830335
46,0.530297
47,0.548455
48,0.625658
49,0.703436
50,0.366228
51,0.518741
52,0.567427
53,0.525466
54,0.372522
55,0.605909
56,0.407620
57,0.383264
58,0.708525
59,0.911111
60,0.512653
61,0.558761
62,0.445740
63,0.446007
64,0.411272
65,0.571556
66,0.400922
67,0.521523
68,0.339857
69,0.560244
70,0.491796
71,0.664770
72,0.392096
73,0.573476
74,0.478742
75,0.519109
76,0.402017
77,0.495208
78,0.770588
79,0.533175
80,0.504169
81,0.492818
82,0.520185
83,0.798652
84,0.668360
85,0.683093
86,0.853233
87,0.600745
88,0.701888
89,0.557273
90,0.493525
91,0.456915
92,0.493338
93,0.518469
94,0.494884
95,0.412479
96,0.384189
97,0.652328
98,0.825333
99,0.593490
100,0.504997
101,0.541217
102,0.664848
103,0.671293
104,0.613791
105,0.473030
106,0.674372
107,0.477365
108,0.656105
109,0.706435
110,0.680082
111,0.580845
112,0.565436
113,1.373371
114,0.532413
115,1.338715
116,0.439587
117,0.515896
118,0.454498
119,0.462677
120,0.648067
121,0.325521
122,0.383184
123,0.524947
124,0.451486
125,0.342345
126,0.548284
127,0.437849
128,0.479145
129,0.380353
130,0.606836
131,0.400439
132,0.422642
133,0.354023
134,0.450731
135,0.326616
136,0.458232
137,0.730410
138,0.383292
139,0.587141
140,0.539807
141,0.463427
142,0.303657
143,0.521789
144,0.657356
145,0.355372
146,0.555380
147,0.432491
148,0.512167
149,0.506220
150,0.451992
151,0.400103
152,0.507146
153,0.462782
154,0.602376
155,0.491715
156,0.518315
157,0.402558
158,0.492773
159,0.886070
160,0.658105
161,0.649254
162,0.483785
163,0.766890
164,0.875283
165,0.520515
166,0.547797
167,0.616715
168,0.506983
169,0.557679
170,0.529987
171,0.441288
172,0.495427
173,0.602684
174,0.542211
175,0.644013
176,0.499908
177,0.473747
178,0.585378
179,0.773020
180,0.712481
181,0.754443
182,0.955891
183,0.717021
184,0.599147
185,0.600248
186,0.751761
187,0.655707
188,0.743357
189,0.499849
190,0.417997
191,0.602034
192,0.808170
193,0.592964
194,0.736116
195,0.846374
196,0.705643
197,0.788932
198,0.601830
199,0.540436
200,0.657201
201,0.475092
202,0.631445
203,0.613501
204,0.662423
205,0.451506
206,0.570694
207,0.606165
208,0.481913
209,0.531622
210,0.732908
211,0.588599
212,0.607056
213,0.742503
214,0.604573
215,0.716527
216,0.553049
217,0.693713
218,0.486748
219,0.620873
220,0.529845
221,0.543164
222,0.677752
223,0.534079
224,0.510300
225,0.702876
226,0.535152
227,0.702002
228,0.655353
229,0.616590
230,0.874247
231,0.850728
232,0.684048
233,0.888506
234,0.601799
235,0.602693
236,0.537298
237,0.519427
238,0.749904
239,0.676146
240,0.843618
241,0.681969
242,0.680194
243,0.586852
244,0.632784
245,0.633367
246,0.778522
247,0.501881
248,0.647742
249,0.757206
250,0.558646
251,0.538550
252,0.726730
253,0.573032
254,0.592900
255,0.569133
256,0.599141
257,0.639730
258,0.599880
259,0.486689
260,0.558446
261,0.494533
262,0.571472
263,0.661236
264,0.580927
265,0.635248
266,0.576743
267,0.714698
268,0.622390
269,0.605118
270,0.503521
271,0.500821
272,0.545381
273,0.599606
274,0.596796
275,0.522412
276,0.573728
277,0.469707
278,0.632129
279,0.534754
280,0.576873
281,0.659921
282,0.534567
283,0.532281
284,0.616329
285,0.715562
286,0.645029
287,0.613297
288,0.582096
289,0.370237
290,0.578707
291,0.697307
292,0.667342
293,0.550717
294,0.712667
295,0.541940
296,0.684999
297,0.568645
298,0.635468
299,0.613198
300,0.630887
301,0.711232
302,0.699839
303,0.637864
304,0.698154
305,0.662739
306,0.612005
307,0.517153
308,0.582619
309,0.582638
310,0.588311
311,0.649511
312,0.869729
313,0.647169
314,0.476357
315,0.684799
316,0.584611
317,0.632167
318,0.619573
319,0.469869
320,0.618037
321,0.594010
322,0.550381
323,0.622698
324,0.721454
325,0.602039
326,0.685007
327,0.582675
328,0.557361
329,0.530551
330,0.634340
331,0.545507
332,0.508535
333,0.586934
334,0.664274
335,0.885228
336,0.661056
337,0.666656
338,0.684558
339,0.557394
340,0.647342
341,0.598735
342,0.888064
343,0.615113
344,0.641983
345,0.660546
346,0.533564
347,0.648841
348,0.768175
349,0.699916
350,0.645741
351,0.592776
352,0.541639
353,0.516692
354,0.588213
355,0.508550
356,0.697713
357,0.605757
358,0.813472
359,0.705162
360,0.651419
361,0.729476
362,0.681752
363,0.791963
364,0.716266
365,0.809602
366,0.730086
367,0.684922
368,0.931767
369,0.518891
370,0.857750
371,0.668039
372,0.640902
373,0.640276
374,0.666980
375,0.480129
376,0.646641
377,0.715671
378,0.664421
379,0.702186
380,0.662462
381,0.601675
382,0.659095
383,0.661390
384,0.630047
385,0.534009
386,0.576458
387,0.636098
388,0.757683
389,0.695943
390,0.666889
391,0.657243
392,0.543627
393,0.684947
394,0.648017
395,0.731896
396,0.531989
397,0.727022
398,0.597065
399,0.898384
400,0.675417
401,0.857586
402,0.772317
403,0.658849
404,0.774252
405,0.743331
406,0.862708
407,0.723810
408,0.584579
409,0.562163
410,0.624423
411,0.565180
412,0.612651
413,0.782606
414,0.581434
415,0.526455
416,0.620808
417,0.584017
418,0.830074
419,0.667868
420,0.718442
421,0.800533
422,0.743968
423,0.674738
424,0.762788
425,0.766202
426,0.521867
427,0.693242
428,0.676217
429,0.571750
430,0.481786
431,0.575728
432,0.701755
433,0.723681
434,0.660239
435,0.613201
436,0.693511
437,0.465172
438,0.765198
439,0.638615
440,0.628687
441,0.669887
442,0.716080
443,0.580580
444,0.598593
445,0.651122
446,0.698107
447,1.022886
448,0.621396
449,0.587359
450,0.633846
451,0.540895
452,0.568306
453,0.734899
454,0.777586
455,0.631973
456,0.781194
457,0.856067
458,0.690909
459,0.788666
460,0.692015
461,0.760383
462,0.639985
463,0.720663
464,0.721877
465,0.742076
466,0.744683
467,0.795490
468,0.658190
469,0.636664
470,0.737030
471,0.742180
472,0.689293
473,0.742790
474,0.771316
475,0.687494
476,0.646022
477,0.658224
478,0.720779
479,0.714179
480,0.703034
481,0.732185
482,0.567938
483,0.636412
484,0.677911
485,0.697349
486,0.698838
487,0.538714
488,0.710183
489,0.726280
490,0.859054
491,0.590624
492,0.763402
493,0.887240
494,0.866178
495,0.752681
496,0.775598
497,0.646534
498,0.858531
499,0.732509
