step,fwd_ms,bwd_ms,opt_ms,total_ms
0,479.658,1048.527,45.913,1574.098
1,387.953,789.793,10.027,1187.773
2,288.086,574.046,9.660,871.792
3,272.543,546.955,10.192,829.690
4,308.035,536.225,9.888,854.149
5,255.075,632.197,23.762,911.035
6,326.744,554.774,8.831,890.350
7,240.972,774.023,8.559,1023.554
8,240.716,501.052,8.412,750.180
9,465.055,597.085,11.738,1073.879
10,246.570,534.815,8.677,790.062
11,387.178,543.959,8.568,939.705
12,244.278,503.182,8.608,756.068
13,290.723,531.965,8.666,831.354
14,248.187,507.301,8.605,764.092
15,248.726,504.436,8.604,761.767
16,252.996,510.097,8.675,771.768
17,262.820,499.454,8.875,771.149
18,242.935,501.444,8.619,752.997
19,355.139,500.422,8.597,864.158
20,232.638,532.877,14.330,779.845
21,255.153,527.376,8.490,791.019
22,237.685,507.466,8.687,753.837
23,236.555,516.780,10.771,764.107
24,256.594,551.028,14.005,821.626
25,262.355,546.901,9.862,819.118
26,261.998,534.092,8.529,804.619
27,234.028,501.943,8.499,744.470
28,261.892,514.090,8.686,784.667
29,235.129,517.984,8.453,761.566
30,235.791,512.305,8.375,756.471
31,234.174,502.672,8.822,745.668
32,239.113,508.331,8.393,755.838
33,283.543,514.029,8.475,806.047
34,230.861,546.330,8.218,785.408
35,248.478,534.723,8.517,791.719
36,237.368,500.429,8.372,746.169
37,239.391,498.062,8.453,745.906
38,254.401,499.254,8.454,762.110
39,239.672,508.068,8.415,756.156
40,247.218,494.704,8.277,750.200
41,298.389,507.730,8.329,814.448
42,235.143,512.270,8.480,755.893
43,235.432,510.558,8.434,754.424
44,267.094,496.743,8.362,772.198
45,353.142,515.163,8.367,876.672
46,237.738,496.418,8.312,742.469
47,276.451,515.419,8.488,800.359
48,306.439,505.281,8.338,820.058
49,285.977,527.205,9.234,822.416
50,243.503,534.037,8.419,785.959
51,236.583,504.419,8.643,749.645
52,253.814,540.159,8.289,802.262
53,238.541,499.549,8.285,746.375
54,237.114,512.583,11.937,761.633
55,236.949,513.121,8.203,758.274
56,234.408,510.639,12.508,757.555
57,294.583,542.079,11.177,847.839
58,251.267,521.092,8.784,781.143
59,253.840,500.680,8.432,762.952
60,247.524,550.485,8.411,806.420
61,248.339,508.679,8.322,765.339
62,245.801,511.689,8.187,765.678
63,238.993,498.864,8.508,746.364
64,248.449,537.214,8.410,794.074
65,233.692,512.245,8.434,754.370
66,257.697,513.795,8.488,779.980
67,233.393,498.512,8.435,740.340
68,242.605,500.670,8.261,751.536
69,243.123,530.105,8.410,781.638
70,233.226,503.983,8.324,745.534
71,269.276,507.685,8.480,785.440
72,236.383,502.951,8.344,747.678
73,244.694,495.379,8.416,748.490
74,271.240,511.555,8.312,791.106
75,296.290,494.946,8.254,799.490
76,341.171,497.462,8.330,846.963
77,276.485,521.688,8.592,806.765
78,246.712,496.910,8.297,751.918
79,281.826,507.214,8.313,797.354
80,240.607,507.001,8.492,756.101
81,245.057,502.891,8.463,756.411
82,284.117,512.942,8.275,805.333
83,240.739,501.516,8.385,750.640
84,238.915,534.410,8.256,781.581
85,232.034,512.810,8.376,753.220
86,235.217,554.834,8.285,798.335
87,249.524,502.646,8.471,760.640
88,252.804,504.682,8.391,765.877
89,260.432,542.560,8.323,811.314
90,243.739,501.282,8.402,753.423
91,234.712,565.578,8.373,808.663
92,244.580,499.158,8.273,752.012
93,241.020,511.457,8.423,760.900
94,252.418,511.082,8.450,771.950
95,274.430,500.443,8.786,783.660
96,257.237,500.534,8.485,766.256
97,279.135,506.031,8.767,793.933
98,260.341,506.586,8.345,775.272
99,264.348,505.339,8.327,778.014
100,316.575,505.766,8.477,830.818
101,284.012,516.310,8.457,808.779
102,239.812,509.092,8.369,757.272
103,294.797,519.435,8.480,822.712
104,260.844,496.695,8.211,765.751
105,289.979,499.634,8.457,798.069
106,289.965,496.184,8.384,794.533
107,279.263,501.312,8.364,788.939
108,289.643,594.308,12.369,896.321
109,279.346,521.574,8.625,809.545
110,236.705,588.585,8.606,833.896
111,253.388,547.128,8.493,809.010
112,237.043,523.512,8.776,769.331
113,255.009,559.970,8.557,823.536
114,239.756,549.346,8.351,797.453
115,241.456,509.720,8.653,759.829
116,271.372,510.037,8.437,789.845
