step,loss
0,2.291411
1,2.413040
2,2.792036
3,4.074235
4,4.058012
5,3.800908
6,4.705784
7,5.847609
8,6.236185
9,7.472098
10,7.373065
11,5.003501
12,6.680933
13,3.726721
14,4.450937
15,3.396576
16,3.666272
17,3.315699
18,4.693992
19,3.429574
20,3.877240
21,4.437372
22,3.732523
23,2.576068
24,5.368774
25,4.762310
26,2.326823
27,2.360506
28,2.355897
29,2.387761
30,3.367384
31,2.298328
32,2.445907
33,2.286432
34,2.336431
35,2.263460
36,2.258310
37,2.367546
38,2.280845
39,2.338914
40,2.329499
41,2.374403
42,2.325941
43,2.276553
44,2.201056
45,2.300722
46,2.325660
47,2.437060
48,2.469358
49,2.293854
50,2.346805
51,2.396459
52,2.319037
53,2.305016
54,2.269936
55,2.268850
56,2.329171
57,2.316912
58,2.288368
59,2.268902
60,2.317097
61,2.307703
62,2.256151
63,2.305583
64,2.258591
65,2.254735
66,2.315765
67,2.276993
68,2.238074
69,2.241088
70,2.219040
71,2.229785
72,2.261650
73,2.178170
74,2.219840
75,2.222473
76,2.203460
77,2.287425
78,2.181087
79,2.191303
80,2.219710
81,2.176141
82,2.153144
83,2.180655
84,2.139240
85,2.237970
86,2.289940
87,2.217211
88,2.162684
89,2.194014
90,2.288655
91,2.205292
92,2.119794
93,2.210837
94,2.182722
95,2.185906
96,2.208740
97,2.187144
98,2.193940
99,2.150711
100,2.134458
101,2.170162
102,2.229495
103,2.180843
104,2.184719
105,2.207677
106,2.106264
107,2.148103
108,2.166026
109,2.109596
110,2.188216
111,2.160193
112,2.131741
113,2.111328
114,2.041299
115,2.125884
116,2.130663
117,2.120981
118,2.147531
119,2.120150
120,2.140021
121,2.146693
122,2.196109
123,2.171854
124,2.144076
125,2.230577
126,2.219253
127,2.190190
128,2.218878
129,2.153825
130,2.131113
131,2.137513
132,2.183284
133,1.998143
134,2.130088
135,2.106589
136,2.073715
137,2.104067
138,2.134295
139,2.215202
140,2.153445
141,2.049663
142,2.072648
143,2.077618
144,2.069472
145,2.068713
