transport,size_bytes,iters,min_us,p50_us,avg_us,stdev_us,p99_us,p999_us,max_us
RC,4096,20000,5.51,5.58,5.59,0.08,5.62,6.75,7.78
RC,16384,20000,9.96,10.13,10.12,0.12,10.33,11.31,12.39
RC,65536,20000,26.80,26.95,26.96,0.10,27.21,28.27,29.60
RC,262144,20000,91.17,91.33,91.34,0.10,91.69,92.70,96.72
RC,1048576,20000,349.23,349.37,349.38,0.09,349.47,350.75,352.92
UC,4096,20000,5.57,5.61,5.62,0.08,5.65,6.80,8.59
UC,16384,20000,9.98,10.20,10.19,0.12,10.39,11.31,13.13
UC,65536,20000,26.81,26.96,26.97,0.09,27.12,28.19,29.10
UC,262144,20000,91.25,91.35,91.36,0.09,91.47,92.62,93.83
UC,1048576,20000,349.12,349.34,349.34,0.09,349.44,350.55,351.94
