step,grad_l2
0,3.089393
1,4.643337
2,6.132692
3,8.422257
4,9.475947
5,7.875037
6,7.272549
7,6.505275
8,5.198594
9,5.156725
10,3.952461
11,5.402593
12,2.030744
13,2.471912
14,1.568326
15,1.781663
16,1.174093
17,2.988831
18,1.098746
19,1.081709
20,1.548921
21,1.557475
22,1.248834
23,1.208993
24,1.533294
25,0.973224
26,0.803851
27,1.990439
28,1.097242
29,2.634820
30,0.535222
31,0.914212
32,1.092856
33,0.709452
34,1.319435
35,0.837240
36,0.768223
37,0.925671
38,0.479282
39,0.660576
40,0.771878
41,0.739327
42,0.637291
43,0.724342
44,0.639589
45,0.743585
46,0.648225
47,0.771909
48,0.927511
49,0.594209
50,0.678721
51,0.859456
52,0.795627
53,0.496835
54,0.587526
55,0.730419
56,0.662786
57,0.833317
58,0.667277
59,1.005122
60,0.676140
61,0.826841
62,0.724332
63,0.834336
64,0.656098
65,0.714753
66,0.508458
67,0.914150
68,0.606223
69,0.715444
70,0.552236
71,0.940579
72,1.135450
73,0.630787
74,0.986348
75,1.185228
76,0.988290
77,0.733635
78,0.760581
79,1.031543
80,0.794280
81,0.921046
82,0.819640
83,0.769889
84,0.917656
85,0.763185
86,0.739703
87,1.010220
88,0.802294
89,0.803313
90,0.860922
91,0.816863
92,0.798852
93,0.703702
94,0.869660
95,0.654907
96,0.717563
97,0.818772
98,0.830194
99,0.892997
100,0.678897
101,0.728709
102,0.670191
103,0.880778
104,0.693049
105,0.856925
106,0.968918
107,0.975838
108,0.800438
109,0.774685
110,1.351540
111,0.963192
112,1.012991
113,0.982971
114,0.821599
115,0.830943
116,0.907475
117,1.012666
118,0.785992
119,1.004413
120,0.892819
121,0.869574
122,0.833604
123,0.868353
124,1.174385
125,0.785102
126,0.708071
127,1.190676
128,0.979211
129,1.109191
130,0.980079
131,1.115183
132,0.999793
133,1.060312
134,0.926632
135,1.247919
136,1.086810
137,0.786481
138,1.024364
139,0.977276
140,0.830876
141,0.853784
142,1.112641
143,1.162285
144,0.918868
145,1.062771
146,0.991617
147,0.906186
148,0.870272
149,0.809548
150,0.857961
151,0.929523
152,0.883124
153,0.845291
154,0.942230
155,0.994485
156,1.099024
157,0.896234
158,0.855376
159,0.813499
160,0.913597
161,0.955606
162,0.931314
163,1.013337
164,1.333812
165,1.067788
166,0.794107
167,1.033097
168,1.127357
169,1.244147
170,1.010106
171,1.203975
172,1.053978
173,0.840775
174,0.958717
175,1.134275
176,1.342279
177,0.993948
178,1.093120
179,1.204341
180,1.176127
181,1.007351
182,0.962659
183,1.056773
184,1.291421
185,0.833069
186,0.992288
187,0.984039
188,1.295613
189,0.998226
190,0.961310
191,0.920539
192,1.357701
193,1.393333
194,1.292694
195,1.245299
196,0.943968
197,0.911363
198,1.099783
199,1.064365
200,1.224548
201,0.985535
202,1.093519
203,1.338080
204,1.138891
205,1.132924
206,1.087632
207,1.097122
208,1.220573
209,1.247580
210,1.211310
211,1.150695
212,1.108161
213,1.233059
214,1.226621
215,1.129524
216,1.143160
217,1.230518
218,1.072586
219,0.945313
220,1.054443
221,1.067332
