step,loss
0,2.329390
1,2.567795
2,2.849444
3,3.293832
4,4.343307
5,4.097342
6,5.922065
7,4.775704
8,4.377873
9,4.113750
10,3.745395
11,3.579077
12,2.636516
13,2.428871
14,2.414797
15,2.813025
16,2.640266
17,2.252500
18,2.424077
19,2.365356
20,2.511463
21,2.534094
22,2.614097
23,2.669396
24,2.276373
25,2.233295
26,2.136991
27,2.532524
28,2.106077
29,2.547826
30,2.263451
31,2.189446
32,2.191615
33,2.063501
34,2.238703
35,2.176578
36,2.070857
37,2.131671
38,2.137759
39,2.267860
40,2.338120
41,2.502420
42,2.136667
43,2.295131
44,2.302588
45,2.260997
46,2.117251
47,2.162997
48,2.174290
49,2.076639
50,2.116825
51,2.085194
52,2.053660
53,1.986010
54,2.005412
55,1.946913
56,2.050536
57,2.146835
58,1.997873
59,1.830278
60,1.970818
61,2.156394
62,2.063703
63,2.063780
64,2.015498
65,1.952977
66,1.997649
67,1.847342
68,1.938540
69,2.015404
70,1.867250
71,1.832418
72,2.051081
73,2.018322
74,1.939790
75,1.863551
76,1.744515
77,1.953779
78,1.827792
79,1.772791
80,1.952671
81,1.947385
82,1.878247
83,1.898803
84,1.864420
85,1.822558
86,1.796602
87,1.798150
88,1.836072
89,1.854077
90,1.824464
91,1.813689
92,1.747686
93,1.760045
94,1.778457
95,1.679051
96,1.664430
97,1.766766
98,1.815630
99,1.691945
100,1.616394
101,1.686332
102,1.766065
103,1.792809
104,1.697545
105,1.702433
106,1.665173
107,1.617107
108,1.721784
109,1.811856
110,1.848266
111,1.742496
112,1.851716
113,1.759049
114,1.563683
115,1.626949
116,1.679437
117,1.764187
118,1.605219
119,1.759367
120,1.799735
121,1.712889
122,1.612644
123,1.664450
124,1.640236
125,1.640317
126,1.609136
127,1.535250
128,1.503959
129,1.626468
130,1.844334
131,1.672859
132,1.742323
133,1.597318
134,1.436076
135,1.689876
136,1.715919
137,1.600680
138,1.569032
139,1.718351
140,1.550799
141,1.571164
142,1.660278
143,1.783771
144,1.517669
145,1.664452
146,1.636124
147,1.453589
148,1.688455
149,1.613632
150,1.616600
151,1.504326
152,1.458814
153,1.514178
154,1.566422
155,1.568265
156,1.664447
157,1.578172
158,1.690305
159,1.563835
160,1.557859
161,1.617039
162,1.599490
163,1.518709
164,1.777022
165,1.546964
166,1.488949
167,1.469555
168,1.819877
169,1.591803
170,1.585623
171,1.435519
172,1.511675
173,1.515176
174,1.427434
175,1.635152
176,1.446388
177,1.711669
178,1.615739
179,1.456983
180,1.535779
181,1.417340
182,1.401291
183,1.421038
