step,grad_l2
0,3.130018
1,4.496394
2,4.328628
3,7.747186
4,6.814095
5,6.591931
6,9.508407
7,6.580822
8,5.406833
9,5.209068
10,5.234720
11,7.028032
12,2.365218
13,2.142250
14,2.121522
15,1.820823
16,1.319723
17,2.141606
18,2.423859
19,3.422896
20,2.624799
21,3.705786
22,1.448644
23,1.113130
24,0.669518
25,0.841131
26,0.496218
27,0.616048
28,1.089814
29,0.507860
30,0.772538
31,0.601237
32,0.909842
33,0.516599
34,0.548971
35,0.472561
36,0.404216
37,0.544124
38,0.513005
39,0.441996
40,0.590742
41,1.079154
42,0.719530
43,0.747268
44,0.731961
45,0.636296
46,0.596996
47,0.392768
48,0.687517
49,0.465218
50,0.529381
51,0.361848
52,0.483138
53,0.471482
54,0.481685
55,0.394490
56,0.445340
57,0.412660
58,0.500340
59,0.774156
60,0.336874
61,0.801516
62,0.455232
63,0.471973
64,0.481372
65,0.765905
66,0.801446
67,0.580715
68,0.546267
69,0.736630
70,0.564438
71,0.613903
72,0.536339
73,0.658905
74,0.460861
75,0.523037
76,0.706283
77,0.602428
78,0.410818
79,0.403892
80,0.435737
81,0.618360
82,0.396037
83,0.428310
84,0.508325
85,0.488911
86,0.705401
87,0.439457
88,0.528032
89,0.498605
90,0.592230
91,0.579102
92,1.122104
93,0.582059
94,0.549545
95,0.620594
96,0.573140
97,1.122769
98,0.721313
99,0.649698
100,0.667203
101,0.557023
102,0.553225
103,0.785623
104,0.649962
105,0.648255
106,0.709017
107,0.713771
108,0.903024
109,0.631953
110,0.595515
111,0.539395
112,0.515182
113,0.548134
114,0.563427
115,0.472321
116,0.639694
117,0.561161
118,0.799136
119,0.934508
120,0.504555
121,0.414967
122,0.487105
123,0.440665
124,0.487108
125,0.509941
126,0.755608
127,0.538052
128,0.633358
129,0.606368
130,0.606463
131,0.571879
132,0.706224
133,1.010102
134,0.710180
135,0.486413
136,0.652753
137,0.680970
138,0.531957
139,0.615142
140,0.719218
141,0.833332
142,0.524518
143,0.668864
144,0.624963
145,0.559651
146,0.964969
147,1.231717
148,0.653810
149,0.549009
150,0.649722
151,0.565574
152,0.929642
153,0.768531
154,0.630151
155,0.896816
156,0.858937
157,0.590823
158,0.573032
159,0.696524
160,0.692086
161,0.647432
162,0.613487
163,0.494178
164,0.477530
165,0.500699
166,0.845274
167,0.634252
168,0.726059
169,0.739803
170,0.762822
171,0.638488
172,0.856135
173,0.644955
174,0.621715
175,0.572360
176,0.570143
177,0.550380
178,0.602475
179,0.942763
180,0.842121
181,0.571786
182,0.560775
183,0.634829
184,0.938523
185,0.609881
186,0.596879
187,0.757576
188,0.845632
189,0.840723
190,0.594809
191,0.649170
192,0.834421
193,0.632625
194,0.733118
195,0.601030
196,0.641317
197,0.607876
198,0.675313
199,0.563981
200,0.824411
201,0.585446
202,0.621788
203,0.761462
204,0.750293
205,0.807099
206,0.798271
207,0.686487
208,0.801991
209,0.931862
210,0.726041
211,0.733385
212,0.734433
213,0.791386
214,0.661304
215,0.703459
216,0.688780
217,0.766807
218,0.889472
219,0.927524
220,0.747623
221,0.718956
222,0.970338
223,0.689254
224,0.712995
225,1.043787
226,0.863690
227,0.748336
228,0.834047
229,0.803795
230,1.025275
231,1.010174
232,0.728617
233,0.986135
234,1.023555
235,0.950248
236,0.827278
237,0.724131
238,0.771399
239,0.877241
240,0.745298
241,1.126695
242,0.624129
243,0.715574
244,0.940043
245,0.829805
246,0.709064
247,0.886736
248,0.711306
249,0.738581
250,0.920138
251,0.661846
252,0.725801
253,0.954424
254,0.759658
255,0.935049
256,0.966053
257,0.693879
258,1.155417
259,1.247719
260,0.870571
261,1.336448
262,0.858659
263,0.691880
264,0.764835
265,0.776768
266,1.112961
267,0.720209
268,0.865948
269,0.927673
270,0.791565
271,1.020983
272,0.772467
273,0.980097
274,0.793364
275,0.794815
276,0.896780
277,0.743828
278,0.754060
279,0.747209
280,1.130745
281,1.100677
282,0.961731
283,0.941816
284,0.831639
285,0.907259
286,0.878673
