step,fwd_ms,bwd_ms,opt_ms,total_ms
0,292.557,621.698,54.623,968.878
1,240.148,584.826,7.216,832.191
2,223.601,564.328,7.449,795.378
3,236.994,551.353,7.231,795.579
4,223.196,584.095,7.136,814.427
5,227.198,576.391,7.428,811.017
6,244.734,578.822,7.132,830.688
7,248.341,613.026,8.116,869.483
8,292.938,580.987,7.379,881.304
9,237.310,580.169,8.017,825.496
10,314.169,605.011,7.248,926.428
11,216.090,567.535,7.128,790.754
12,216.399,495.679,7.933,720.010
13,205.679,559.395,7.112,772.186
14,198.990,557.267,7.535,763.792
15,214.957,508.594,7.423,730.975
16,194.908,570.350,7.917,773.176
17,255.096,546.756,7.162,809.014
18,223.491,572.307,7.082,802.880
19,230.901,552.140,7.295,790.336
20,211.467,555.895,7.093,774.455
21,253.462,540.689,7.236,801.388
22,225.164,555.173,7.132,787.470
23,242.818,597.550,7.383,847.751
24,230.446,587.366,7.067,824.879
25,249.374,599.828,7.210,856.413
26,230.551,581.891,7.314,819.755
27,238.486,582.045,7.262,827.793
28,222.669,574.704,7.197,804.570
29,236.121,722.448,7.388,965.958
30,238.309,600.298,7.349,845.956
31,233.535,535.608,7.087,776.230
32,238.395,557.401,7.352,803.148
33,238.133,573.794,7.217,819.144
34,228.479,582.480,7.142,818.100
35,248.014,564.933,7.482,820.428
36,237.038,584.809,7.432,829.280
37,251.260,571.825,7.028,830.113
38,241.224,609.068,7.253,857.545
39,233.998,579.265,7.244,820.508
40,229.138,527.958,7.255,764.350
41,256.609,575.509,7.311,839.429
42,225.724,580.560,7.203,813.487
43,233.597,562.353,7.087,803.036
44,237.250,559.250,7.168,803.668
45,259.399,569.587,7.193,836.180
46,228.805,558.315,7.145,794.265
47,226.348,536.814,7.504,770.666
48,237.405,585.280,7.147,829.832
49,250.423,596.672,7.374,854.469
50,240.484,587.758,7.256,835.497
51,298.630,553.889,7.548,860.067
52,223.223,557.244,7.815,788.282
53,223.910,554.861,7.956,786.727
54,287.838,587.722,7.820,883.380
55,225.699,532.389,7.172,765.261
56,222.096,612.023,7.210,841.329
57,217.582,558.516,7.272,783.370
58,228.187,545.867,7.213,781.267
59,235.926,564.030,7.409,807.365
60,243.026,578.461,7.295,828.782
61,231.865,565.537,7.040,804.442
62,229.025,586.292,7.031,822.348
63,235.029,580.588,7.858,823.475
64,235.645,605.965,7.191,848.802
65,264.670,562.683,7.268,834.621
66,226.453,525.655,7.169,759.277
67,226.750,571.623,7.026,805.400
68,229.230,585.893,7.284,822.407
69,202.420,529.169,7.335,738.923
70,194.431,582.165,7.170,783.766
71,181.030,554.704,7.410,743.144
72,208.819,492.000,7.533,708.352
73,264.697,570.562,7.339,842.599
74,235.143,589.958,7.231,832.331
75,269.736,519.963,7.689,797.388
76,221.313,553.301,7.121,781.735
77,235.982,552.420,7.356,795.758
78,215.331,614.577,7.763,837.672
79,226.673,521.785,7.325,755.783
80,218.395,534.133,7.376,759.904
81,209.346,538.755,7.226,755.327
82,207.988,507.487,7.824,723.299
83,182.272,497.173,7.360,686.805
84,198.523,548.732,7.592,754.847
85,203.552,519.066,7.334,729.952
86,190.386,494.230,7.453,692.069
87,200.535,540.579,7.465,748.579
88,214.588,549.415,7.177,771.180
89,200.138,531.802,7.636,739.577
90,246.434,530.040,7.358,783.831
91,255.417,614.409,7.131,876.956
92,230.976,598.192,7.293,836.461
93,219.828,549.953,7.501,777.282
94,210.612,520.463,7.553,738.629
95,210.503,517.628,7.568,735.700
96,197.300,494.970,7.236,699.506
97,199.345,517.322,7.517,724.184
98,202.467,559.780,7.175,769.423
99,186.685,482.164,7.213,676.062
100,185.845,512.974,7.457,706.276
101,208.321,495.252,7.383,710.956
102,186.834,581.151,7.452,775.437
103,190.031,477.487,7.183,674.701
104,233.711,518.763,7.503,759.977
105,192.990,471.247,7.034,671.271
106,202.574,542.443,7.312,752.329
107,198.551,465.501,7.225,671.277
108,176.934,538.841,7.418,723.193
109,199.126,601.075,7.244,807.445
110,203.924,519.995,8.160,732.079
111,176.584,501.645,7.151,685.380
112,234.022,633.242,8.115,875.379
113,263.872,594.906,7.251,866.029
114,190.192,542.314,7.238,739.743
115,223.598,458.806,7.174,689.579
116,206.326,527.867,7.667,741.860
117,260.761,609.229,7.177,877.167
118,197.516,516.335,7.901,721.751
119,187.145,518.817,7.461,713.423
120,186.829,549.681,8.029,744.538
121,226.765,533.817,7.736,768.319
122,183.975,566.178,7.109,757.263
123,215.676,506.890,7.140,729.705
124,181.515,574.845,7.891,764.252
125,192.453,536.171,7.596,736.220
126,200.037,648.177,7.259,855.473
127,188.785,502.911,7.532,699.228
128,218.266,524.237,7.198,749.700
129,222.360,502.121,7.882,732.363
130,228.035,581.483,7.110,816.628
131,224.729,537.966,7.202,769.897
132,224.215,550.582,7.280,782.077
133,204.685,543.111,7.526,755.322
134,220.631,546.429,7.326,774.386
135,205.753,507.283,7.177,720.213
136,207.410,560.088,7.753,775.250
137,209.377,518.060,7.742,735.180
138,202.441,493.600,7.198,703.240
139,235.059,565.290,7.382,807.730
140,204.915,543.936,7.111,755.963
141,210.573,530.918,7.125,748.615
142,211.227,525.998,7.982,745.208
143,217.685,527.778,7.381,752.844
144,215.051,540.762,7.197,763.010
145,223.597,549.403,7.354,780.355
146,214.755,529.216,7.776,751.747
147,218.134,542.153,7.370,767.656
148,214.161,536.853,7.133,758.147
149,233.113,536.818,7.226,777.156
150,214.716,543.799,7.133,765.648
151,242.879,576.050,7.481,826.410
152,259.899,582.515,7.415,849.829
153,249.689,572.755,7.287,829.731
154,230.196,591.385,7.277,828.857
155,213.116,526.447,7.502,747.066
156,221.666,543.787,7.154,772.608
157,212.496,507.656,7.242,727.394
158,239.646,587.623,7.061,834.330
159,239.188,592.941,7.311,839.439
160,244.386,603.283,7.638,855.307
161,310.759,755.909,8.280,1074.948
162,299.549,656.117,7.399,963.064
163,236.369,577.065,7.353,820.788
164,225.349,576.958,7.249,809.557
165,243.139,579.576,7.334,830.049
166,223.644,581.415,7.467,812.526
167,224.433,575.599,7.331,807.363
168,239.665,589.059,7.836,836.560
169,235.033,565.431,7.230,807.695
170,219.795,564.331,7.700,791.826
171,199.629,594.406,7.187,801.222
172,243.388,587.154,7.095,837.638
173,226.851,612.626,7.649,847.126
174,263.769,583.654,7.305,854.727
175,226.152,546.237,7.199,779.588
176,236.793,588.658,7.152,832.604
177,235.844,640.808,7.843,884.494
178,241.661,577.897,7.515,827.073
179,236.845,587.381,7.456,831.682
180,222.400,633.826,7.437,863.663
181,249.201,582.833,7.317,839.351
182,227.328,567.185,7.549,802.063
183,229.031,587.691,7.194,823.916
184,254.076,584.032,7.076,845.184
185,228.947,562.683,7.258,798.888
186,228.487,573.961,7.247,809.696
187,235.074,576.666,7.235,818.975
188,227.706,589.576,7.239,824.520
189,235.685,561.956,7.103,804.744
190,229.468,581.872,7.524,818.864
191,223.625,526.894,7.311,757.830
192,194.797,589.833,6.986,791.615
193,215.000,534.130,7.806,756.936
194,254.177,599.182,7.457,860.817
195,438.264,700.904,78.968,1218.137
196,262.504,588.943,7.485,858.932
197,225.676,547.337,7.266,780.279
198,214.668,543.019,8.225,765.912
199,202.045,563.956,7.286,773.287
200,223.518,524.107,7.241,754.865
201,203.279,575.533,7.183,785.995
202,226.567,510.911,7.961,745.439
203,241.960,587.145,7.406,836.511
204,257.014,592.951,7.303,857.268
205,320.230,622.566,9.753,952.548
206,244.310,597.443,7.627,849.379
207,240.150,574.464,7.369,821.982
208,235.116,573.656,8.155,816.927
209,247.326,499.563,7.967,754.856
210,246.155,590.272,7.583,844.010
211,247.694,604.660,7.092,859.445
212,223.649,562.932,7.331,793.912
213,258.703,612.871,10.671,882.244
214,225.006,581.850,7.568,814.425
215,235.488,564.218,7.159,806.865
216,261.894,649.524,7.687,919.105
217,224.933,544.144,7.439,776.516
218,229.870,509.085,7.734,746.690
219,233.938,586.618,7.263,827.820
220,243.645,601.754,7.506,852.905
221,244.825,566.810,7.124,818.759
222,234.572,546.985,7.308,788.865
223,209.913,613.110,7.059,830.082
224,218.901,580.910,7.319,807.130
225,238.211,647.141,8.037,893.389
226,295.609,617.694,7.172,920.475
227,229.335,586.976,10.000,826.310
228,224.755,543.136,7.979,775.871
229,214.816,531.868,7.317,754.001
230,214.311,533.961,7.269,755.541
231,206.707,527.072,7.636,741.415
232,236.575,556.748,7.462,800.785
233,215.771,576.471,7.253,799.494
234,219.852,555.749,7.182,782.783
235,215.793,643.992,7.271,867.055
236,224.108,567.713,7.066,798.887
237,212.694,553.900,7.405,773.999
238,231.398,518.746,7.491,757.636
239,218.373,550.284,7.152,775.809
240,229.925,532.920,7.178,770.023
241,198.611,496.761,7.607,702.979
242,233.306,577.123,7.340,817.769
243,221.985,533.796,7.195,762.976
244,232.944,568.173,7.273,808.390
245,221.264,553.863,7.340,782.467
246,237.229,542.414,7.161,786.805
247,210.349,609.821,7.641,827.811
248,201.575,491.542,13.696,706.813
249,226.521,602.815,7.949,837.285
250,257.474,535.474,7.138,800.086
251,214.375,550.412,7.304,772.092
252,205.063,537.674,12.182,754.920
253,242.090,524.106,7.155,773.351
254,211.878,476.591,7.209,695.678
255,201.941,520.811,7.517,730.269
256,191.745,494.694,7.147,693.586
257,210.824,501.892,7.928,720.643
258,233.245,558.009,7.336,798.590
259,206.454,529.037,7.792,743.283
260,216.877,540.563,7.173,764.613
261,229.892,538.266,7.261,775.418
262,222.648,520.896,7.413,750.957
263,194.226,532.612,7.210,734.047
264,207.552,483.715,7.103,698.370
265,199.458,520.111,7.276,726.846
266,200.630,509.163,7.984,717.777
267,196.587,515.691,7.168,719.446
268,212.326,553.608,7.180,773.115
269,225.923,566.712,7.538,800.172
270,225.117,521.729,7.314,754.160
271,203.476,550.451,7.258,761.185
272,224.522,517.155,7.293,748.970
273,194.978,508.050,7.591,710.619
274,211.577,515.803,7.238,734.618
275,202.687,548.301,7.567,758.554
276,191.289,561.429,10.017,762.735
277,205.188,502.697,8.124,716.009
278,280.870,598.059,7.196,886.126
279,304.086,716.251,8.278,1028.615
280,271.535,543.747,7.049,822.331
281,210.381,569.529,7.206,787.115
282,191.249,545.935,7.124,744.309
283,227.772,525.809,7.247,760.828
284,204.934,529.168,7.251,741.353
285,208.150,509.772,7.023,724.945
