step,grad_l2
0,2.460122
1,2.325696
2,5.154206
3,5.704229
4,4.407700
5,4.770603
6,6.271313
7,6.051385
8,7.705164
9,6.575740
10,4.662602
11,5.682215
12,4.008183
13,4.404333
14,4.380958
15,4.710320
16,7.003531
17,3.593122
18,2.992408
19,2.231824
20,3.850995
21,2.894749
22,3.456089
23,2.814624
24,2.519466
25,2.442196
26,1.749176
27,1.452023
28,2.234515
29,2.824644
30,2.289331
31,3.286208
32,0.961193
33,2.290975
34,1.669282
35,0.706095
36,0.700260
37,0.557195
38,0.576935
39,0.883232
40,0.525358
41,0.319075
42,0.621390
43,0.539557
44,0.390644
45,0.480665
46,0.292214
47,0.375246
48,0.315487
49,0.387772
50,0.273090
51,0.274346
52,0.279131
53,0.291882
54,0.278601
55,0.632959
56,0.530370
57,0.440536
58,0.656116
59,0.285751
60,0.356143
61,0.324797
62,0.440068
63,1.186295
64,0.291930
65,0.414954
66,0.377072
67,0.627112
68,0.361553
69,0.563414
70,0.294992
71,0.195669
72,0.362491
73,0.249052
74,2.403625
75,0.467121
76,2.876750
77,0.414724
78,0.309944
79,0.419018
80,0.385250
81,0.330338
82,0.448026
83,0.424079
84,0.416072
85,0.346062
86,0.333026
87,0.366300
88,0.509173
89,0.494743
90,0.336287
91,0.392221
92,0.307787
93,0.300499
94,0.376364
95,0.403697
96,0.324983
97,0.461084
98,0.719040
99,0.493261
100,0.541594
101,0.572261
102,0.446764
103,0.474682
104,0.443305
105,0.380206
106,0.437988
107,0.483169
108,0.542940
109,0.517394
110,0.861510
111,0.540229
112,0.421915
113,0.592050
114,0.698931
115,0.327203
116,0.588524
117,0.379098
118,0.380661
119,0.402369
120,0.386580
121,0.414251
122,0.394793
123,0.385334
124,0.458339
125,0.430212
126,0.667074
127,0.499662
128,0.473945
129,0.459732
130,0.563457
131,0.432532
132,0.355480
133,0.297444
134,0.229941
135,0.413376
136,0.245189
137,0.637784
138,0.259063
139,0.372957
140,0.484086
141,0.588928
142,0.388167
143,0.574181
144,0.415661
145,0.478859
146,0.405636
147,0.406346
148,0.468783
149,0.432950
150,0.331686
151,0.388346
152,0.538231
153,0.379745
154,0.506405
155,0.403875
156,0.628602
157,0.390609
158,0.381693
159,0.508230
160,0.367359
161,0.553178
162,0.361033
163,0.398037
164,0.350896
165,0.429517
166,0.588596
167,0.510084
168,0.485557
169,0.592774
170,0.479169
171,0.480083
172,0.574722
173,0.413347
174,0.782122
175,0.477271
176,0.460116
177,0.486161
178,0.344639
179,0.388726
180,0.646046
181,0.419042
182,0.404008
183,0.552466
184,0.443906
185,0.473006
186,0.802016
187,0.437115
188,0.442703
189,0.607290
190,0.568960
191,0.426556
192,0.529958
193,0.387209
194,0.519959
195,0.569670
196,0.546512
197,0.476818
198,0.438078
199,0.423196
200,0.529420
201,0.513706
202,0.443204
203,0.658912
204,0.459123
205,0.419364
206,0.536338
207,0.328560
208,0.501046
209,0.471204
210,0.608183
211,0.432228
212,0.535956
213,0.445254
214,0.471428
215,0.427774
216,0.389572
217,0.530374
218,0.387137
219,0.545762
220,0.409882
221,0.470909
222,0.579724
223,0.475733
224,0.487490
225,0.401925
226,0.493377
227,0.543257
228,0.436990
229,0.600027
230,0.615880
231,0.638508
232,0.455994
233,0.605033
234,0.634357
235,0.490035
236,0.505732
237,0.564624
238,0.514785
239,0.559504
240,0.595373
241,0.578156
242,0.816191
243,0.502370
244,0.593394
245,0.423774
246,0.559046
247,0.628767
248,0.501399
249,0.532556
250,0.445188
251,0.439996
252,0.565750
253,0.533782
254,0.640248
255,0.560262
256,0.564821
257,0.654756
258,0.497283
259,0.530191
260,0.517022
261,0.575855
262,0.547946
263,0.630212
264,0.397571
265,0.527046
266,0.586909
267,0.513884
268,0.521849
269,0.584507
270,0.615891
271,0.589117
272,0.464716
273,0.622409
274,0.608880
275,0.558827
276,0.504451
277,0.568183
278,0.699903
279,0.659188
280,0.635843
281,0.577264
282,0.702021
283,0.696545
284,0.625497
285,0.694776
286,0.636420
287,0.618366
288,0.536923
289,0.664504
290,0.536920
291,0.517065
292,0.701528
293,0.595238
294,0.646088
295,0.610603
296,0.540625
297,0.703387
298,0.576746
299,0.659311
300,0.666201
301,0.608536
302,0.621346
303,0.511067
304,0.575950
305,0.801975
306,0.696205
307,0.533985
308,0.578704
309,0.558683
310,0.535746
311,0.727892
312,0.581058
313,0.677039
314,0.576206
315,0.672557
316,0.603052
317,0.531782
318,0.549662
319,0.582101
320,0.613822
321,0.579160
322,0.557837
323,0.576019
324,0.699680
325,0.637566
326,0.736076
327,0.719795
328,0.676368
329,0.589295
330,0.665057
331,0.666823
332,0.724454
333,0.477084
334,0.623528
335,0.785767
336,0.685781
337,0.561675
338,0.606237
339,0.643757
340,0.707653
341,0.747617
342,0.520661
343,0.599140
344,0.676656
345,0.673146
346,0.619742
347,0.668857
348,0.709117
349,0.604645
350,0.716073
351,0.618835
352,0.697540
353,0.646645
354,0.474323
355,0.623645
356,0.645213
357,0.531535
358,0.740527
359,0.759201
360,0.677280
361,0.656163
362,0.604312
363,0.851791
364,0.581564
365,0.632618
366,0.727350
367,0.620132
368,0.624669
369,0.594164
370,0.638353
371,0.600405
372,0.611065
373,0.429466
374,0.805233
375,0.985055
376,0.720766
377,0.781040
378,0.752974
379,0.633002
380,0.506376
381,0.643176
382,0.649389
383,0.706484
384,0.555758
385,0.624896
386,0.820050
387,0.722822
388,0.707463
389,0.843908
390,0.694927
391,0.677794
392,0.748209
393,0.669926
394,0.586701
395,0.655894
396,0.769838
397,0.813019
398,0.654463
399,0.657448
400,0.650489
401,0.800160
402,0.727072
403,0.784973
404,0.674993
405,0.724855
406,0.869076
407,0.779307
408,0.624492
409,0.672867
410,0.630976
411,0.594527
412,0.753550
413,0.824047
414,0.772621
415,0.666599
416,0.561107
417,0.721664
418,1.003971
419,0.666832
420,0.710438
421,0.646414
422,0.799389
423,0.747843
424,0.672932
425,0.717813
426,0.621831
427,0.540824
428,0.674742
429,0.730439
430,0.620754
431,0.512580
432,0.860580
433,0.585604
434,0.632438
435,0.661819
436,0.691024
