step,fwd_ms,bwd_ms,opt_ms,total_ms
0,288.041,592.085,42.831,922.957
1,251.355,522.276,5.643,779.273
2,216.914,508.036,5.532,730.482
3,206.679,544.958,6.148,757.784
4,233.769,562.721,5.670,802.160
5,231.760,575.330,5.970,813.060
6,220.346,545.156,5.595,771.096
7,225.376,514.654,6.592,746.621
8,277.536,494.978,6.010,778.525
9,238.274,538.378,6.138,782.790
10,209.480,536.326,5.422,751.227
11,212.855,534.628,6.351,753.834
12,230.295,527.067,6.232,763.594
13,226.099,495.265,6.389,727.753
14,246.433,487.372,6.134,739.940
15,247.788,491.339,5.955,745.082
16,315.100,520.212,6.211,841.523
17,236.200,527.521,6.260,769.981
18,205.302,536.171,6.147,747.619
19,212.414,533.147,5.961,751.522
20,195.736,517.291,5.942,718.969
21,225.293,520.077,5.659,751.029
22,198.812,532.139,5.654,736.605
23,213.280,520.516,6.017,739.813
24,242.060,485.078,5.512,732.650
25,268.371,501.823,5.704,775.897
26,254.219,468.508,5.574,728.302
27,218.458,513.910,6.618,738.986
28,208.321,490.939,5.622,704.882
29,187.360,501.278,6.471,695.109
30,252.473,440.926,12.748,706.147
31,268.680,539.610,6.071,814.361
32,197.747,484.742,5.903,688.392
33,248.059,498.361,5.902,752.321
34,286.064,519.410,6.683,812.158
35,212.273,490.381,5.871,708.524
36,227.125,551.713,5.624,784.463
37,196.858,500.088,5.749,702.695
38,188.897,509.085,6.269,704.251
39,197.985,472.557,13.519,684.061
40,255.671,493.820,5.523,755.015
41,274.754,525.104,5.571,805.429
42,249.676,505.850,5.855,761.382
43,261.536,470.534,5.675,737.746
44,310.571,530.913,6.024,847.509
45,229.358,518.434,5.994,753.786
46,201.422,537.568,5.580,744.570
47,245.016,511.087,6.116,762.219
48,267.471,506.490,5.829,779.790
49,259.428,486.135,5.766,751.329
50,269.030,510.815,6.397,786.242
51,235.332,497.574,5.652,738.557
52,293.790,530.282,5.563,829.635
53,213.122,502.841,6.363,722.326
54,214.808,486.306,5.643,706.756
55,211.194,536.595,5.735,753.525
56,250.711,485.771,5.604,742.087
57,272.461,478.443,5.555,756.459
58,285.329,535.580,6.290,827.199
59,232.218,477.020,6.635,715.872
60,258.388,487.405,5.702,751.495
61,253.155,504.802,6.592,764.549
62,268.044,538.833,5.543,812.419
63,213.533,508.460,6.237,728.230
64,232.578,569.258,5.713,807.549
65,215.178,526.861,6.104,748.143
66,243.454,571.364,5.527,820.344
