step,loss
0,2.291411
1,2.433857
2,2.373695
3,2.309340
4,2.540561
5,4.220503
6,3.875486
7,3.242725
8,5.307869
9,6.496934
10,5.442100
11,5.156053
12,5.756730
13,4.711537
14,4.836648
15,5.143328
16,4.515981
17,6.086119
18,4.181612
19,4.138260
20,3.206378
21,3.103247
22,2.979954
23,2.547928
24,2.552369
25,2.820233
26,2.310114
27,2.516171
28,2.331911
29,2.369710
30,2.422859
31,2.364181
32,2.504888
33,2.473992
34,2.405834
35,2.466579
36,2.479772
37,2.362129
38,2.347020
39,2.351597
40,2.393006
41,2.366771
42,2.351717
43,2.310986
44,2.357439
45,2.330291
46,2.351631
47,2.291494
48,2.275150
49,2.271699
50,2.265501
51,2.298819
52,2.250842
53,2.326195
54,2.318878
55,2.275873
56,2.288566
57,2.264570
58,2.255169
59,2.280421
60,2.268473
61,2.253792
62,2.323441
63,2.254365
64,2.200538
65,2.220272
66,2.278942
67,2.225763
68,2.254348
69,2.205725
70,2.239461
71,2.239428
72,2.221610
73,2.278764
74,2.307651
75,2.188803
76,2.174131
77,2.157939
78,2.319601
79,2.225651
80,2.194430
81,2.148407
82,2.168401
83,2.189036
84,2.288340
85,2.107040
86,2.115194
87,2.086816
88,2.229213
89,2.087973
90,2.139587
91,2.096396
92,2.062618
93,2.078485
94,2.094635
95,2.157874
96,2.038246
97,2.047403
98,2.073828
99,2.045196
100,2.072112
101,1.971651
102,2.127667
103,2.085783
104,2.062176
105,2.012004
106,2.035349
107,1.969201
108,2.122830
109,2.125555
110,2.178132
111,1.969134
112,2.159479
113,2.009973
114,1.960043
115,2.058574
116,2.046843
117,2.102659
118,2.169485
119,1.968028
120,2.063357
121,2.033940
122,2.028255
123,2.079893
124,1.987053
125,2.002162
126,2.045169
127,2.041670
128,1.971344
129,2.023992
130,1.997347
131,2.044004
132,2.008978
133,1.929300
134,1.969658
135,1.998509
136,1.921631
137,1.940300
138,1.961509
139,2.014089
140,2.121505
141,1.962971
142,2.039096
143,1.934734
144,1.962816
145,1.933533
146,1.924135
147,2.005081
148,1.898063
149,1.891794
150,2.012864
151,1.984437
152,1.919647
153,1.904753
154,2.003811
155,1.831106
156,1.935985
157,2.073134
158,1.956429
159,2.033798
160,1.969661
161,2.049835
162,2.072379
163,2.013062
164,1.908189
165,1.885325
166,1.847955
167,1.916268
168,1.968120
169,1.929818
170,1.826987
171,1.896985
172,1.881329
173,1.969665
174,1.889809
175,1.944894
176,1.904297
177,1.876945
178,1.931837
179,2.051924
180,1.894211
181,1.939421
182,2.016001
183,1.899750
184,1.902654
185,1.854675
186,1.881768
187,1.972839
188,1.873172
189,1.987304
190,1.950066
191,2.025420
192,1.911275
193,1.805985
194,1.938956
195,1.943217
196,1.896836
197,1.874345
198,1.843639
199,1.858606
200,1.829932
201,1.891792
202,1.793059
203,1.848835
204,1.861134
205,1.778136
206,1.921080
207,1.865544
208,1.809220
209,1.783831
210,1.939162
211,1.927972
212,1.837873
213,1.815669
214,1.819584
215,1.894289
216,1.825118
217,1.907332
218,1.908674
219,1.818731
220,1.869212
221,1.954356
222,1.891370
223,1.829834
224,1.743429
225,1.716909
226,1.772104
227,1.698371
228,1.768911
229,1.624583
230,1.813159
231,1.918100
232,1.914542
233,1.839725
234,1.879101
235,1.752456
236,1.848342
237,1.788713
238,1.751209
239,1.841682
240,1.913304
241,1.933899
242,1.841474
243,1.865395
244,1.782835
245,1.747185
246,1.713652
247,1.779857
248,1.840634
249,1.775292
250,1.807924
251,1.791105
252,1.878742
253,1.741295
254,1.780503
255,1.902479
256,1.734103
257,1.854821
258,1.725448
259,1.824054
260,1.745272
261,1.713727
262,1.753819
263,1.837278
264,1.728286
265,1.767695
266,1.722261
267,1.728230
268,1.715316
269,1.710763
270,1.715886
271,1.644179
272,1.663416
273,1.830144
274,1.675451
275,1.752364
276,1.769721
277,1.669565
278,1.733985
279,1.643026
280,1.723633
281,1.804029
282,1.747628
283,1.828326
284,1.802220
285,1.669934
286,1.749842
287,1.772164
288,1.709749
289,1.590259
290,1.711939
291,1.497357
292,1.852344
293,1.500594
294,1.675005
295,1.667058
296,1.571221
297,1.524581
298,1.560555
299,1.777809
300,1.560305
301,1.807372
302,1.624658
303,1.545121
304,1.689072
305,1.718202
306,1.700162
307,1.678104
308,1.712397
309,1.670666
310,1.853216
311,1.670040
312,1.655090
313,1.782656
314,1.733946
315,1.607269
316,1.780798
317,1.751655
318,1.625960
319,1.676513
320,1.611793
321,1.677939
322,1.618826
323,1.745927
324,1.660676
325,1.604641
326,1.712270
327,1.686756
328,1.656267
329,1.559209
330,1.599431
331,1.448050
332,1.686190
333,1.607840
334,1.713699
335,1.618827
336,1.838532
337,1.723039
338,1.641752
339,1.616440
340,1.501273
341,1.605093
342,1.518702
343,1.614411
344,1.734398
345,1.559263
346,1.646924
347,1.739711
348,1.786210
349,1.688289
350,1.658088
351,1.551862
352,1.600578
353,1.769944
354,1.738118
355,1.752707
356,1.769290
357,1.740157
358,1.676162
359,1.624011
360,1.738398
361,1.688521
362,1.647889
363,1.556165
364,1.575804
365,1.685806
366,1.670040
367,1.681329
368,1.711535
369,1.604177
370,1.892386
371,1.702076
372,1.630108
373,1.531730
374,1.609630
375,1.590925
376,1.601690
377,1.628240
378,1.528200
379,1.575087
380,1.705322
381,1.570677
382,1.482657
383,1.382827
384,1.541301
385,1.515828
386,1.637053
387,1.743293
388,1.461660
389,1.570733
390,1.699869
391,1.481241
392,1.578107
393,1.491844
394,1.647066
395,1.591065
396,1.687433
397,1.723521
398,1.651457
399,1.616992
400,1.560333
401,1.555344
402,1.547597
403,1.779056
404,1.618464
405,1.578237
406,1.661353
407,1.582641
408,1.676323
409,1.606295
410,1.490681
411,1.575368
412,1.733637
413,1.645109
414,1.525479
415,1.442294
416,1.398320
417,1.538085
418,1.963447
419,1.537733
420,1.546449
421,1.688340
422,1.508697
423,1.607004
424,1.788220
425,1.568938
426,1.470635
427,1.580799
428,1.499569
429,1.681276
430,1.557695
431,1.479944
432,1.713336
433,1.555760
434,1.548385
435,1.701721
436,1.592349
437,1.576002
438,1.599833
439,1.572383
440,1.645805
441,1.585368
442,1.538105
443,1.486238
444,1.474824
445,1.639829
446,1.350040
447,1.700255
448,1.457002
449,1.608423
450,1.545335
451,1.436268
452,1.309520
453,1.421043
454,1.498654
455,1.493941
456,1.775817
457,1.648523
458,1.642714
459,1.418447
460,1.399722
461,1.483566
462,1.397154
463,1.574139
464,1.450060
465,1.398141
466,1.427001
467,1.525839
468,1.563540
469,1.262350
470,1.463446
471,1.553538
472,1.491652
473,1.711856
474,1.571734
475,1.404832
476,1.438681
477,1.426042
478,1.489952
479,1.421726
480,1.400143
481,1.412058
482,1.433376
483,1.524312
484,1.468573
485,1.467415
486,1.556569
487,1.517346
488,1.412757
489,1.609552
490,1.421778
491,1.410220
492,1.445794
493,1.580327
494,1.413999
495,1.666773
496,1.587654
497,1.297548
498,1.523362
499,1.561855
