step,grad_l2
0,3.156391
1,4.514509
2,7.802678
3,9.733675
4,6.203294
5,9.351503
6,9.119601
7,7.091088
8,7.679242
9,5.614298
10,5.897462
11,4.480426
12,2.624591
13,3.450722
14,2.393667
15,1.840575
16,1.115501
17,1.883720
18,1.086303
19,1.539633
20,1.666011
21,1.170037
22,1.103756
23,1.579861
24,1.153291
25,0.946674
26,1.031315
27,0.955230
28,0.520543
29,0.675820
30,0.661917
31,0.551929
32,0.953106
33,1.005526
34,1.194599
35,0.598923
36,0.907412
37,0.535306
38,0.589076
39,0.552234
40,0.516157
41,0.953727
42,0.658120
43,0.895514
44,0.594004
45,0.849988
46,0.913919
47,0.742491
48,0.681234
49,0.605387
50,0.753344
51,0.897509
52,0.482742
53,0.665998
54,0.736980
55,0.752523
56,0.710407
57,0.618303
58,0.766221
59,0.805364
60,0.867424
61,0.830842
62,0.601476
63,0.776010
64,0.954740
65,0.523562
66,0.723549
67,0.875114
68,0.860729
69,0.895755
70,0.818563
71,0.672099
72,0.677098
73,0.870278
74,0.669081
75,0.803645
76,0.828570
77,0.930795
78,0.824342
79,0.866329
80,0.590033
81,1.025224
82,0.831522
83,0.910252
84,0.878794
85,0.789791
86,0.845884
87,0.906977
88,1.024696
89,0.738607
90,0.849300
91,0.684253
92,0.528970
93,0.874084
94,0.965400
95,0.912045
96,0.949953
97,1.047475
98,1.186563
99,0.989661
