step,loss
0,2.291411
1,2.664224
2,3.042497
3,3.925575
4,4.878176
5,6.035918
6,6.687441
7,6.346870
8,7.062482
9,5.077553
10,4.437621
11,3.519890
12,3.347273
13,3.442275
14,3.079861
15,3.169022
16,2.608661
17,3.013990
18,2.336878
19,2.335749
20,3.139492
21,2.277457
22,2.320156
23,2.341431
24,2.372288
25,2.237910
26,2.242985
27,2.352746
28,2.080341
29,2.146955
30,2.149312
31,2.131258
32,2.215063
33,2.051258
34,2.036310
35,2.043780
36,2.099412
37,2.020535
38,2.177711
39,1.986713
40,1.994379
41,2.169463
42,1.885072
43,2.038400
44,1.952500
45,1.911381
46,2.051801
47,2.069259
48,1.958024
49,1.974429
50,2.068776
51,2.022638
52,1.953442
53,1.931123
54,1.933905
55,2.006508
56,2.083649
57,1.946942
58,1.881926
59,1.885100
60,1.894481
61,1.943584
62,1.825369
63,1.908197
64,1.794772
65,1.782765
66,1.956879
67,1.940532
68,1.965537
69,1.831774
70,1.809263
71,1.908724
72,1.900852
73,1.840049
74,1.845821
75,1.826464
76,1.847391
77,1.967538
78,1.859877
79,1.923469
80,1.815765
81,1.831705
82,1.796746
83,1.771613
84,1.780990
85,1.815457
86,1.826365
87,1.867549
88,2.052679
89,1.869739
90,1.716007
91,1.834545
92,1.757113
93,1.822182
94,1.922279
95,1.790715
96,1.821902
97,1.834180
98,1.725809
99,1.847560
