buf_mib,trial,total_us
1,0,24406.448
1,1,4397.319
1,2,4723.507
1,3,4571.211
1,4,4420.066
1,5,4431.057
1,6,4526.313
1,7,4612.418
1,8,4645.33
1,9,4787.662
4,0,5098.154
4,1,5041.376
4,2,5036.845
4,3,5321.786
4,4,4968.186
4,5,5050.372
4,6,5473.723
4,7,7586.256
4,8,5193.999
4,9,5178.042
16,0,17804.441
16,1,17665.031
16,2,17570.095
16,3,17610.988
16,4,17780.798
16,5,17840.402
16,6,34742.97
16,7,17776.783
16,8,18020.64
16,9,17909.755
64,0,58175.696
64,1,57743.351
64,2,58122.142
64,3,58199.063
64,4,57929.985
64,5,57895.868
64,6,57959.661
64,7,58058.762
64,8,58014.906
64,9,58150.112
256,0,216863.373
256,1,228421.616
256,2,218114.1
256,3,217667.111
256,4,218397.557
256,5,217738.329
256,6,218053.952
256,7,217969.724
256,8,218005.384
256,9,217871.116
