ratio,timeout_ms,rounds,loss_pct,mean_sent_count,mean_completed,mean_achieved_ratio,timeout_rate,mean_wait_ms,p50_wait_ms,p99_wait_ms,mean_poll_count,p99_poll_count
0.90,1,500,1.00,253.392,231.000,0.902344,0.000000,0.615198,0.614043,0.631111,315.398,334
0.90,5,500,1.00,253.436,231.000,0.902344,0.000000,0.614943,0.613012,0.628420,318.030,341
0.90,20,500,1.00,253.464,231.000,0.902344,0.000000,0.614096,0.612586,0.626205,312.740,332
0.90,100,500,1.00,253.362,231.000,0.902344,0.000000,0.614421,0.612960,0.625209,320.790,339
0.95,1,500,1.00,253.414,243.934,0.952867,0.002000,0.665486,0.669752,0.686955,347.172,374
0.95,5,500,1.00,253.456,244.000,0.953125,0.000000,0.668668,0.667272,0.680524,354.810,372
0.95,20,500,1.00,253.444,244.000,0.953125,0.000000,0.649274,0.646943,0.660313,339.054,359
0.95,100,500,1.00,253.382,244.000,0.953125,0.000000,0.650639,0.646596,0.667743,336.218,358
0.99,1,500,1.00,253.444,252.824,0.987594,0.456000,0.820476,0.672667,1.001700,458.860,616
0.99,5,500,1.00,253.394,253.054,0.988492,0.492000,2.801977,0.683320,5.001694,1821.894,3527
0.99,20,500,1.00,253.468,253.124,0.988766,0.466000,9.679616,0.681069,20.001692,6556.894,14257
0.99,100,500,1.00,253.414,253.052,0.988484,0.474000,47.756358,0.683719,100.000589,78519.558,219308
1.00,1,500,1.00,253.322,253.180,0.988984,0.936000,0.980274,1.000952,1.001700,557.134,609
1.00,5,500,1.00,253.458,253.458,0.990070,0.906000,4.595421,5.000879,5.001714,3039.836,3449
1.00,20,500,1.00,253.308,253.308,0.989484,0.928000,18.609620,20.000912,20.001697,12702.452,14179
1.00,100,500,1.00,253.428,253.428,0.989953,0.946000,94.636917,100.000310,100.000545,202817.084,227481
