step,loss
0,2.291411
1,2.664269
2,3.045688
3,3.920963
4,4.860741
5,6.019256
6,6.512125
7,6.242895
8,6.247794
9,4.769279
10,4.619154
11,2.602221
12,3.240570
13,3.193641
14,3.110993
15,2.928872
16,2.885081
17,2.828393
18,2.565108
19,2.399086
20,2.789907
21,2.402683
22,2.342583
23,2.693537
24,2.577145
25,2.152978
26,2.146635
27,2.153311
28,2.068971
29,2.083010
30,2.148242
31,2.215832
32,2.136388
33,2.100085
34,2.033501
35,2.198385
36,2.050350
37,2.028345
38,2.075145
39,1.972983
40,2.021943
41,2.070229
42,1.908269
43,2.030849
44,1.947562
45,1.917399
46,2.110306
47,2.125963
48,1.918012
49,1.966384
50,2.077558
51,2.030128
52,2.021486
53,1.926811
54,1.867253
55,2.008731
56,2.047570
57,1.965992
58,1.944219
59,1.908263
60,1.892609
61,1.929633
62,1.865241
63,1.848823
64,1.777713
65,1.709418
66,1.830061
67,1.958556
68,1.962494
69,1.852957
70,1.771087
71,1.798966
72,1.859907
73,1.813228
74,1.805225
75,1.832337
76,1.780110
77,1.974204
78,1.834919
79,1.885117
80,1.802541
81,1.728936
82,1.707934
83,1.731532
84,1.794956
85,1.775305
86,1.808821
87,1.756907
88,1.917368
89,1.858223
90,1.662112
91,1.659924
92,1.653278
93,1.756011
94,1.853814
95,1.667904
96,1.794943
97,1.682442
98,1.654681
99,1.733801
100,1.635353
101,1.635024
102,1.685519
103,1.770172
104,1.657949
105,1.671730
106,1.597646
107,1.563100
108,1.716245
109,1.666207
110,1.694388
111,1.662696
112,1.901867
113,1.568362
114,1.689118
115,1.676546
116,1.597734
117,1.721257
118,1.634285
119,1.628988
120,1.686404
121,1.604456
122,1.629434
123,1.739574
124,1.707998
125,1.596069
126,1.722140
127,1.696963
128,1.680752
129,1.670506
130,1.625574
131,1.539488
132,1.632584
133,1.551767
134,1.601285
135,1.533981
136,1.527540
137,1.653928
138,1.561555
139,1.482935
140,1.635159
141,1.606179
142,1.630748
143,1.579229
144,1.565934
145,1.651797
146,1.601216
147,1.604084
148,1.512263
149,1.502784
150,1.565128
151,1.632872
152,1.476173
153,1.467616
154,1.490680
155,1.477184
156,1.505810
157,1.565794
158,1.563570
159,1.539771
160,1.584584
161,1.650129
162,1.654329
163,1.664233
164,1.584093
165,1.487595
166,1.371572
167,1.557913
168,1.513011
169,1.515818
170,1.422261
171,1.510904
172,1.505873
173,1.386193
174,1.500995
175,1.527813
176,1.466753
177,1.558365
178,1.547220
179,1.581581
180,1.522382
181,1.540575
182,1.583715
183,1.492211
184,1.436487
185,1.450081
186,1.454474
187,1.470365
188,1.514038
189,1.563473
190,1.589872
191,1.620654
192,1.366547
193,1.444798
194,1.407068
195,1.467157
196,1.472203
197,1.488591
198,1.422472
199,1.373529
200,1.502054
201,1.474270
202,1.359305
203,1.483011
204,1.385264
205,1.467638
206,1.475854
207,1.423336
208,1.397387
209,1.389065
210,1.509179
211,1.466101
212,1.575016
213,1.347782
214,1.414698
215,1.538876
216,1.338237
217,1.307324
218,1.408705
219,1.373772
220,1.481835
221,1.421079
222,1.362977
223,1.370086
224,1.463670
225,1.495910
226,1.334325
227,1.389436
228,1.330226
229,1.280745
230,1.335330
231,1.339149
232,1.399541
