step,grad_l2
0,3.536016
1,7.837149
2,5.773099
3,5.449572
4,9.458043
5,7.169207
6,5.346798
7,5.355521
8,6.059035
9,7.398015
10,7.067606
11,4.584079
12,3.277935
13,5.377716
14,3.420587
15,7.862530
16,2.353303
17,2.090291
18,3.930045
19,2.621145
20,2.466514
21,2.483358
22,4.366238
23,1.099559
24,2.239904
25,1.940607
26,1.226803
27,1.958026
28,1.622150
29,1.262871
30,1.488396
31,1.347543
32,1.169485
33,0.968682
34,0.699663
35,0.790756
36,1.075223
37,0.674691
38,0.623846
39,0.949375
40,0.621725
41,1.441459
42,0.671772
43,1.103873
44,0.646904
45,1.080846
46,0.789947
47,0.859522
48,0.815112
49,0.652351
50,0.640395
51,0.718550
52,0.804421
53,0.661168
54,0.775202
55,0.870744
56,0.571241
57,0.907203
58,0.793780
59,0.588380
60,0.883563
61,0.638810
62,0.618858
63,0.799093
64,0.960192
65,0.600608
66,0.635498
67,0.949492
68,1.179868
69,0.941676
70,0.959692
71,1.459046
72,0.931943
73,0.983359
74,0.852667
75,0.697330
76,0.786849
77,0.849711
78,0.729452
79,1.090947
80,1.356142
81,1.055512
82,1.248621
83,1.417713
84,1.048677
85,0.775929
86,1.042632
87,0.865530
88,0.677378
89,0.763486
90,0.823087
91,0.946306
92,0.877197
93,0.887508
94,0.996895
95,0.885982
96,0.716895
97,0.961316
98,0.764908
99,1.104015
100,0.820744
101,0.796460
102,1.148362
103,0.788217
104,0.897540
105,0.806333
106,0.929667
107,1.090622
108,0.912950
109,0.841360
110,0.721955
111,0.929133
112,0.894583
113,0.920845
114,0.685740
115,0.863748
116,0.980946
117,1.045293
118,0.842047
119,0.789672
120,1.107450
121,1.363596
122,1.121955
123,0.732467
124,1.108613
125,1.125095
126,0.937774
127,1.105523
128,1.010972
129,1.128752
130,0.879154
131,0.973659
132,0.910847
133,1.033343
134,0.885489
135,0.961496
136,1.158395
137,0.876740
138,1.136626
139,1.027070
140,0.993722
141,1.168954
142,1.226591
143,0.998804
144,1.054054
145,0.862346
146,0.980822
147,0.915949
148,1.111565
149,0.875706
150,1.015065
151,0.862188
152,1.097135
153,1.193549
154,1.283005
155,1.139987
156,1.316603
157,0.869983
158,0.866437
159,0.977397
160,1.010634
161,1.022891
162,1.006320
163,1.039536
164,1.022862
165,1.483790
166,1.268314
167,1.018236
168,1.261023
169,1.698499
170,1.066840
171,1.206813
172,1.000528
173,1.188874
174,1.249635
175,1.131338
176,0.862234
177,0.865439
178,1.026201
179,1.011615
180,0.960909
181,1.262600
182,1.177522
183,1.065568
184,1.229168
185,1.119085
186,0.858966
187,1.165948
188,1.393281
189,1.012221
190,0.927272
191,1.167085
192,1.203294
193,1.180670
194,0.982996
195,1.158616
196,1.089862
197,1.368849
198,1.138278
199,1.597637
200,1.153161
201,1.047932
202,1.000108
203,1.015379
204,0.983240
205,1.154664
206,0.956857
207,1.012257
208,1.029056
209,1.296175
210,1.236565
211,1.303487
212,1.534439
213,1.382072
214,1.421398
215,1.378355
216,1.120210
217,1.132210
218,1.118500
219,1.250222
220,0.993988
221,1.305048
222,1.065483
223,1.351922
224,1.097058
225,1.120525
226,1.193452
227,1.228535
228,1.024822
229,0.991341
230,1.036213
231,1.106958
232,0.907273
233,1.114230
234,1.031047
235,1.147141
236,0.952003
237,1.208634
238,1.278409
239,1.070309
240,1.135326
241,1.107125
242,1.070091
243,1.145205
244,0.859102
245,1.039994
246,0.981158
247,1.290754
248,0.914928
249,1.173151
250,0.994600
251,1.155095
252,1.012891
253,1.300050
254,1.126897
255,0.960986
256,1.143021
257,1.164935
258,1.227269
259,1.257931
260,0.995032
261,1.202542
262,1.226759
263,1.112067
264,1.167044
265,1.360353
266,0.948578
267,0.997315
268,0.933935
269,1.291235
270,0.844043
271,1.053478
272,1.184756
273,0.962286
274,0.988315
275,1.109929
276,1.208159
277,1.256791
278,0.956375
279,1.137257
280,1.015271
281,1.266794
282,0.883474
283,1.339110
284,0.969033
285,1.123311
286,1.188933
287,1.127034
288,1.141374
289,1.040160
290,1.160795
291,1.443296
292,1.224082
293,1.287965
294,1.115685
295,1.414848
296,1.197009
297,1.333185
298,1.151009
299,1.025734
300,1.469481
301,1.101969
302,1.328813
303,1.164366
304,1.362920
305,1.097254
306,1.110896
307,1.126471
308,1.153191
309,1.029710
310,1.115124
311,1.193376
312,1.099213
313,1.023093
314,1.194459
315,1.089883
316,1.027624
317,1.228355
318,1.172162
319,1.426339
320,1.247149
321,1.199770
322,1.189801
323,1.194953
324,1.166103
325,1.099189
326,1.252499
327,1.146015
328,1.213152
329,1.062622
330,1.165749
331,1.156424
332,1.060231
