step,loss
0,2.423275
1,2.886437
2,3.472269
3,4.009395
4,4.263737
5,4.279240
6,3.699700
7,2.922895
8,3.295068
9,3.422417
10,4.654305
11,5.113274
12,3.663417
13,3.260437
14,3.804588
15,4.757483
16,4.214616
17,3.971689
18,3.795196
19,3.629721
20,3.016921
21,2.679605
22,2.255486
23,2.279729
24,2.555633
25,2.795294
26,2.350294
27,3.243338
28,2.324302
29,3.140377
30,2.823399
31,2.309740
32,2.376433
33,2.197821
34,2.057357
35,2.081019
36,2.225383
37,2.125584
38,2.022180
39,2.067795
40,2.127080
41,2.023988
42,2.185422
43,2.099529
44,2.100382
45,2.130023
46,2.158589
47,2.165184
48,2.344238
49,2.176034
50,2.102606
51,2.110272
52,2.077059
53,2.045807
54,2.088755
55,2.011050
56,1.924190
57,2.029366
58,2.055001
59,1.965371
60,2.204835
61,2.043855
62,2.036841
63,1.934055
64,1.971043
65,2.111480
66,2.010084
67,1.861469
68,1.922780
69,1.994294
70,1.972650
71,1.848913
72,1.963900
73,1.956743
74,1.875936
75,2.029508
76,1.924756
77,1.981723
78,1.981222
79,1.881052
80,1.859404
81,1.867693
82,2.020004
83,1.942546
84,1.779708
85,1.824613
86,1.946831
87,1.837471
88,1.823441
89,1.830627
90,1.734923
91,1.725971
92,1.829195
93,1.904575
94,1.789213
95,1.843895
96,1.844131
97,1.800767
98,1.837668
99,1.782933
100,1.839788
101,1.841076
102,1.992263
103,1.735674
104,1.860766
105,1.794248
106,1.886768
107,1.773928
108,1.773853
109,1.589816
110,1.773873
111,1.631139
112,1.690065
113,1.679106
114,1.811105
115,1.804988
116,1.649150
117,1.771081
118,1.833114
119,1.819902
120,1.686666
121,1.815621
122,1.907735
123,1.785202
124,1.857417
125,1.781682
126,1.816738
127,1.744754
128,1.833671
129,1.686412
130,1.729690
131,1.766300
132,1.601035
133,1.738807
134,1.736641
135,1.827917
136,1.690621
137,1.577775
138,1.610464
139,1.587075
140,1.785354
141,1.584737
142,1.546059
143,1.648353
144,1.723136
145,1.581779
146,1.813761
147,1.686540
148,1.728611
149,1.577097
150,1.709384
151,1.520220
152,1.678171
153,1.647730
154,1.744713
155,1.640425
156,1.576852
157,1.762732
158,1.693250
159,1.777124
160,1.632308
161,1.567500
162,1.634244
163,1.529892
164,1.672872
165,1.547174
166,1.740423
167,1.431072
168,1.654971
169,1.599337
170,1.635524
171,1.681386
172,1.566895
173,1.439914
174,1.610991
175,1.610911
176,1.629525
177,1.676000
178,1.633225
179,1.556303
180,1.520679
181,1.620993
182,1.577868
183,1.421964
184,1.490445
185,1.704659
186,1.492282
187,1.531626
188,1.499149
189,1.516210
190,1.501171
191,1.575033
192,1.539058
193,1.507968
194,1.532761
195,1.596326
196,1.462152
197,1.554395
198,1.553378
199,1.685450
200,1.487243
201,1.584361
202,1.640764
203,1.503514
204,1.483674
205,1.507475
206,1.501856
207,1.479152
208,1.422850
209,1.483692
210,1.566073
211,1.436045
212,1.506239
213,1.679891
214,1.659821
215,1.496977
216,1.362157
217,1.492643
218,1.362971
219,1.351000
220,1.382507
221,1.424912
222,1.400124
223,1.599732
224,1.552202
225,1.424209
226,1.465766
227,1.707448
228,1.522965
229,1.524558
230,1.458801
231,1.595430
232,1.450641
233,1.479582
234,1.496347
235,1.545640
236,1.351068
237,1.555590
238,1.477202
239,1.590966
240,1.446040
241,1.255764
242,1.360013
243,1.467469
244,1.572108
245,1.335391
246,1.340808
247,1.493026
248,1.445367
249,1.533764
250,1.543503
251,1.542680
252,1.494861
253,1.531649
254,1.443958
255,1.511031
256,1.431077
257,1.289231
258,1.328651
259,1.564122
260,1.308383
261,1.434925
262,1.374733
263,1.347534
264,1.487452
265,1.528514
266,1.271915
267,1.339285
268,1.481665
269,1.362070
270,1.542465
271,1.545167
272,1.367855
273,1.391734
274,1.266798
275,1.605899
276,1.602168
277,1.411812
278,1.339972
279,1.391299
280,1.366112
281,1.420483
282,1.274643
283,1.412917
284,1.262421
285,1.423667
286,1.421396
287,1.340558
288,1.377704
289,1.295923
290,1.393685
291,1.220602
292,1.500475
293,1.346361
294,1.281221
295,1.320460
296,1.366669
297,1.363589
298,1.455126
299,1.237901
300,1.429114
301,1.255488
302,1.559805
303,1.316590
304,1.131251
305,1.229563
