step,fwd_ms,bwd_ms,opt_ms,total_ms
0,491.028,768.616,47.575,1307.220
1,564.814,832.847,10.066,1407.727
2,291.582,523.877,9.221,824.680
3,334.666,537.960,9.404,882.031
4,296.984,557.374,9.487,863.846
5,304.285,548.984,20.368,873.636
6,393.715,559.104,8.547,961.367
7,267.312,762.159,8.673,1038.144
8,234.439,545.347,8.765,788.551
9,432.841,506.132,8.370,947.343
10,279.461,513.286,8.596,801.343
11,282.928,525.015,8.424,816.367
12,308.670,531.562,8.472,848.705
13,280.054,501.118,8.592,789.765
14,294.183,510.218,10.143,814.544
15,261.307,511.618,9.754,782.679
16,313.948,530.146,8.459,852.553
17,318.646,516.323,9.350,844.320
18,252.819,546.461,8.696,807.976
19,295.299,551.293,9.358,855.950
20,236.569,592.458,9.844,838.871
21,272.581,543.459,9.124,825.163
22,236.099,512.957,9.434,758.490
23,316.794,502.518,9.177,828.489
24,256.307,508.788,9.072,774.167
25,237.773,512.578,9.225,759.576
26,252.649,564.308,9.555,826.512
27,248.998,512.054,9.300,770.351
28,238.875,504.812,9.286,752.972
29,234.871,504.331,9.291,748.493
30,282.263,509.214,13.298,804.775
31,284.384,503.587,9.255,797.227
32,235.096,532.058,9.236,776.390
33,236.954,501.767,9.198,747.919
34,289.754,558.660,9.088,857.502
35,253.880,531.510,9.257,794.646
36,252.368,548.390,11.258,812.016
37,239.086,531.480,9.932,780.498
38,293.557,540.945,9.368,843.870
39,247.238,519.185,9.131,775.554
40,236.972,531.470,9.242,777.684
41,243.948,545.987,9.191,799.126
42,237.314,540.409,9.547,787.270
43,242.807,508.334,9.190,760.331
44,239.666,507.046,9.276,755.989
45,237.860,508.945,9.284,756.089
46,255.094,508.435,9.283,772.812
47,239.847,501.903,9.281,751.031
48,242.546,504.355,9.324,756.225
49,262.000,513.725,9.121,784.846
50,245.001,532.651,9.427,787.079
51,239.157,529.655,9.192,778.004
52,240.822,526.878,9.354,777.054
53,247.754,549.444,9.263,806.461
54,250.431,523.477,9.361,783.269
55,241.002,517.835,16.057,774.894
56,245.087,518.626,9.151,772.865
57,367.533,514.041,9.285,890.860
58,309.875,512.130,9.019,831.023
59,269.818,523.611,9.405,802.834
60,249.476,517.389,9.119,775.984
61,256.239,534.859,9.385,800.482
62,248.447,554.386,9.034,811.867
63,250.930,536.705,9.054,796.690
64,263.767,511.541,9.391,784.699
65,234.796,511.541,9.153,755.490
66,242.319,505.578,9.056,756.953
67,242.066,530.495,11.558,784.120
68,260.783,507.380,9.088,777.252
69,292.150,540.038,9.165,841.353
70,242.612,529.752,9.142,781.507
71,338.603,618.175,9.113,965.891
72,240.878,506.966,9.072,756.917
73,235.058,514.389,9.173,758.620
74,270.500,523.180,9.235,802.915
75,255.706,507.288,9.302,772.297
76,252.497,523.852,9.093,785.441
77,244.848,543.240,9.294,797.383
78,237.082,522.703,9.323,769.108
79,251.980,537.908,9.851,799.739
80,254.276,573.781,9.242,837.298
81,241.819,539.143,9.307,790.269
82,257.311,543.241,9.619,810.172
83,254.662,608.945,9.620,873.227
84,246.132,539.038,9.290,794.460
85,244.672,543.747,9.614,798.034
86,261.151,515.060,9.278,785.490
87,324.301,533.239,9.392,866.933
88,292.954,521.102,9.291,823.347
89,291.901,514.384,9.596,815.882
90,242.295,536.745,9.446,788.486
91,250.646,517.647,9.579,777.873
92,243.125,520.806,9.186,773.117
93,242.522,560.439,9.352,812.312
94,264.824,539.657,9.459,813.940
95,254.573,537.020,9.463,801.057
96,267.124,524.492,9.161,800.777
97,241.128,532.360,9.519,783.006
98,240.349,533.925,9.391,783.665
99,237.281,528.209,9.226,774.716
100,263.371,541.101,9.456,813.927
101,244.781,526.106,9.165,780.052
102,300.224,547.130,9.556,856.910
103,276.771,575.808,9.301,861.881
104,250.035,550.365,9.204,809.603
105,240.242,552.729,9.401,802.372
106,242.062,523.249,9.382,774.693
107,246.501,513.926,9.375,769.802
108,338.615,530.981,9.644,879.239
109,253.211,523.883,9.286,786.380
110,271.680,556.374,9.250,837.305
111,250.354,529.790,9.483,789.626
112,245.146,531.136,9.431,785.713
113,240.295,522.971,9.241,772.507
114,247.879,519.036,9.272,776.187
115,252.797,568.798,9.295,830.890
116,262.018,524.323,9.196,795.537
117,256.212,535.104,9.548,800.864
118,247.524,521.129,9.210,777.863
119,313.364,549.517,9.463,872.343
120,290.838,518.439,9.351,818.627
121,242.678,573.089,9.252,825.019
122,263.964,553.960,9.431,827.355
123,243.631,514.657,12.237,770.525
124,242.943,541.414,11.228,795.585
125,251.467,556.089,10.048,817.604
126,249.642,560.612,9.812,820.066
127,243.925,546.200,9.313,799.438
128,254.516,533.105,9.776,797.397
129,247.764,544.118,9.469,801.350
130,247.922,534.082,9.627,791.632
131,248.040,538.654,9.389,796.083
132,245.039,565.984,9.978,821.000
133,262.575,534.716,9.715,807.006
134,260.350,533.395,9.325,803.070
135,247.194,526.082,9.454,782.730
136,246.851,524.311,9.817,780.979
137,244.773,525.468,9.431,779.672
138,250.735,522.408,10.167,783.310
139,259.436,578.312,9.632,847.381
140,255.245,551.479,9.548,816.272
141,252.802,530.931,9.543,793.276
142,244.684,550.392,9.378,804.454
143,245.755,529.073,9.841,784.669
144,243.667,535.356,9.448,788.471
145,256.831,605.723,9.580,872.135
146,267.701,542.017,9.467,819.184
147,242.251,575.235,9.493,826.980
148,258.781,559.167,9.606,827.555
149,258.804,534.175,9.615,802.594
150,245.950,522.249,9.468,777.666
151,243.080,546.484,9.617,799.181
152,257.871,538.982,9.607,806.459
153,243.860,528.878,9.754,782.493
154,248.033,530.302,9.376,787.712
155,255.572,564.096,9.664,829.332
156,247.361,537.352,9.615,794.327
157,242.019,563.739,9.517,815.275
158,258.528,549.983,9.486,817.996
159,261.697,531.512,9.827,803.037
160,242.039,536.509,9.448,787.996
161,243.236,569.316,9.647,822.199
162,255.715,520.728,9.503,785.945
163,239.972,534.170,9.436,783.578
164,248.774,553.657,9.498,811.930
165,242.162,552.873,9.454,804.489
166,259.965,534.839,9.742,804.546
167,242.053,557.618,9.265,808.936
168,248.437,547.365,9.312,805.114
169,255.040,536.633,9.349,801.023
170,244.696,534.347,9.464,788.507
171,255.917,545.647,9.367,810.931
172,247.616,586.465,9.891,843.972
173,250.679,545.384,9.534,805.597
174,246.618,555.908,9.948,812.473
175,246.925,565.306,9.588,821.819
176,241.623,528.635,9.665,779.923
177,242.279,574.089,9.661,826.029
178,257.770,528.851,9.798,796.419
179,253.767,564.182,9.648,827.597
180,260.876,584.507,9.526,854.910
181,278.041,575.125,9.771,862.937
182,261.140,554.931,9.525,825.596
183,267.041,545.707,9.462,822.209
184,258.064,546.675,9.243,813.983
185,255.748,537.995,9.730,803.473
186,244.634,539.043,9.480,793.157
187,253.994,559.962,9.675,823.631
188,247.840,549.877,9.408,807.125
189,240.912,529.354,9.847,780.113
190,245.797,524.326,9.284,779.407
191,235.873,556.619,9.358,801.849
192,238.999,554.505,9.530,803.034
193,250.007,534.820,9.297,794.124
194,242.984,525.377,9.860,778.222
195,599.567,680.984,84.283,1364.835
196,299.585,538.747,9.168,847.500
197,236.365,512.719,10.977,760.061
198,256.079,516.330,9.160,781.569
199,258.770,529.113,9.052,796.935
200,251.863,546.077,10.160,808.100
201,248.745,552.651,9.145,810.541
202,311.397,534.960,9.227,855.584
203,245.439,514.637,9.278,769.354
204,343.399,509.145,9.405,861.950
205,259.835,565.115,9.047,833.997
206,266.662,564.490,9.230,840.383
207,263.479,527.277,9.261,800.018
208,245.479,514.787,9.414,769.680
209,263.563,506.345,9.294,779.203
210,273.221,509.383,9.391,791.995
211,246.239,529.145,9.049,784.433
212,244.733,513.597,9.460,767.790
