step,grad_l2
0,2.817133
1,2.539532
2,6.307762
3,5.179420
4,4.162626
5,6.226439
6,6.548004
7,3.670851
8,6.475455
9,6.047247
10,4.638984
11,4.014325
12,3.841279
13,4.635314
14,3.183656
15,3.387515
16,3.451065
17,3.232643
18,4.383691
19,5.485061
20,1.428770
21,1.732803
22,4.547784
23,2.281575
24,2.268502
25,1.989448
26,2.674470
27,3.438976
28,2.997088
29,1.847724
30,1.165761
31,1.191710
32,0.826330
33,0.683101
34,0.983461
35,0.600581
36,0.408014
37,0.983279
38,0.520835
39,0.854429
40,0.686406
41,0.495036
42,2.324260
43,0.342812
44,0.353661
45,0.467756
46,0.285267
47,0.472190
48,0.633333
49,0.294286
50,0.461566
51,0.722825
52,0.614805
53,0.521717
54,0.470394
55,0.567321
56,0.534046
57,0.585070
58,0.564052
59,0.470420
60,0.555986
61,0.601438
62,0.477816
63,0.523086
64,0.484717
65,0.335496
66,0.394851
67,0.304021
68,0.397589
69,0.653524
70,0.346882
71,0.406338
72,0.403364
73,0.406609
74,0.508662
75,0.480243
76,0.569223
77,0.444886
78,0.389520
79,0.469260
80,0.514480
81,0.503115
82,0.409702
83,0.358882
84,0.352322
85,0.393293
86,0.396753
87,0.414083
88,0.523710
89,0.382502
90,0.453881
91,0.468011
92,0.579479
93,0.430944
94,0.434139
95,0.483321
96,0.379491
97,0.518243
98,0.518437
99,0.381736
100,0.407510
101,0.700914
102,0.553607
103,0.716011
104,0.488933
105,0.368262
106,0.484570
107,0.537839
108,0.432279
109,0.604864
110,0.429902
111,0.439024
112,0.407750
113,0.552118
114,0.424409
115,0.284565
116,0.514594
117,0.378052
118,0.503115
119,0.377013
120,0.382780
121,0.402194
122,0.383090
123,0.391821
124,0.315597
125,0.386888
126,0.509072
127,0.402437
128,0.377779
129,0.357818
130,0.486162
131,0.522238
132,0.315734
133,0.429103
134,0.385163
135,0.445057
136,0.338391
137,0.546129
138,0.495032
139,0.446448
140,0.446145
141,0.338705
142,0.409724
143,0.493410
144,0.489105
145,0.423321
146,0.508575
147,0.458027
148,0.529281
149,0.633717
150,0.404618
151,0.433802
152,0.697899
153,0.674897
154,0.502280
155,0.464239
156,0.605957
157,0.438319
158,0.550276
159,0.680084
160,0.437014
161,0.613449
162,0.392764
163,0.642518
164,0.421012
165,0.395391
166,0.380869
167,0.472516
168,0.481149
169,0.474696
170,0.422855
171,0.413446
172,0.866680
173,0.405750
174,0.471447
175,0.517690
176,0.656134
177,0.554429
178,0.434068
179,0.512219
180,0.593442
181,0.609492
182,0.579598
183,0.518811
184,0.543529
185,0.489436
186,0.420432
187,0.500747
188,0.575472
189,0.529936
190,0.486742
191,0.644731
192,0.528417
193,0.452345
194,0.557895
195,0.601353
196,1.254630
197,0.772139
198,0.452328
199,0.546862
200,0.530516
201,0.490809
202,0.562107
203,0.702818
204,0.543084
205,0.448555
206,0.579897
207,0.556791
208,0.508611
209,0.535042
210,0.663883
211,0.574044
212,0.629822
213,0.697666
214,0.833423
215,0.509076
216,0.584392
217,0.678365
218,0.394876
219,0.553354
220,0.609199
221,0.699942
222,0.672934
223,0.523003
224,0.759584
225,0.448112
226,0.585748
227,0.549005
228,0.617511
229,0.543351
230,0.698136
231,0.765260
232,0.665510
233,0.686029
234,0.529023
235,0.718627
236,0.701273
237,0.331522
238,0.693992
239,0.473235
240,0.689503
241,0.594664
242,0.602538
243,0.593710
244,0.656000
245,0.726415
246,0.574449
247,0.933533
248,0.533926
249,0.730000
250,0.702495
251,0.630391
252,0.593188
253,0.719140
254,0.650048
255,0.665688
256,0.610268
257,0.515675
258,0.608522
259,0.421434
260,0.499379
261,0.559142
262,0.456109
263,0.672394
264,0.590888
265,0.520000
266,0.609351
267,0.673171
268,0.667990
269,0.787109
270,0.617833
271,0.461206
272,0.621298
273,0.535285
274,0.630682
275,0.882609
276,0.543153
277,0.559082
278,0.684931
279,0.575732
280,0.671485
281,0.624713
282,0.578493
283,0.596405
284,0.637072
285,0.658411
286,0.593877
287,0.463096
288,0.648250
289,0.509153
290,0.595015
291,0.676343
292,0.701520
293,0.653208
294,0.635968
295,0.582774
296,0.556231
297,0.493503
298,0.579477
299,0.582393
300,0.759798
301,0.755673
302,0.628517
303,0.513414
304,0.585532
305,0.854128
306,0.502009
307,0.692504
308,0.467308
309,0.607943
310,0.833110
311,0.617362
312,0.663880
313,0.795355
314,0.677466
315,0.762081
316,0.646630
317,0.772745
318,0.513966
319,0.670666
320,0.628664
321,0.617418
322,0.505432
323,0.517458
324,0.553631
325,0.572760
326,0.573470
327,0.513689
328,0.620682
329,0.568671
330,0.559361
331,0.519620
332,0.755316
333,0.650895
334,0.653320
335,0.708748
336,0.674534
337,0.615775
338,0.635398
339,0.667522
340,0.679407
341,0.693154
342,0.716764
343,0.680696
344,0.671293
345,0.691738
346,0.725382
347,0.707962
348,0.608406
349,0.791276
350,0.711609
351,0.919501
352,0.809453
353,0.678894
354,0.664783
355,0.759454
356,0.673028
357,0.679361
358,0.879434
359,0.720437
360,0.722920
361,0.703464
362,0.524202
363,0.683147
364,0.609438
365,0.624383
366,0.592014
367,0.559037
368,0.744969
369,0.542006
370,0.716369
371,0.594565
372,0.536670
373,0.608528
374,0.671888
375,0.485090
376,0.759730
377,0.656134
378,0.558154
379,0.682218
380,0.717577
381,0.601912
382,0.627851
383,0.670695
384,0.549992
385,0.623230
386,0.524472
387,0.700601
388,0.754494
389,0.817314
390,0.676649
391,0.537292
392,0.655861
393,0.646934
394,0.699298
395,0.704993
396,0.552351
397,0.767171
398,0.608778
399,0.749796
400,0.734009
401,0.858145
402,0.760122
403,0.643367
404,0.649504
405,0.766974
406,1.422666
407,0.792071
408,0.586446
409,0.491907
410,0.637300
411,0.580430
412,0.650952
413,0.742181
414,0.623272
415,0.674934
416,0.738611
417,0.801526
418,0.800493
419,0.758302
420,0.667649
421,0.778666
422,0.624781
423,0.614390
424,0.690936
425,0.691573
426,0.679304
427,0.587376
428,0.658671
429,0.741310
430,0.569529
431,0.621370
432,0.734657
433,0.684056
434,0.726457
435,0.642115
436,0.701495
437,0.592873
438,0.707226
439,0.711513
440,0.609110
441,0.647927
442,0.644333
443,0.660995
444,0.684372
445,0.795302
446,0.711391
447,0.676547
448,0.642092
449,0.606232
450,0.711903
451,0.572843
452,0.616026
453,0.719303
454,0.824216
455,0.690726
456,0.751482
457,0.797075
458,0.666443
459,0.706879
460,0.652296
461,0.852191
462,0.855696
463,0.814809
464,0.719828
465,0.715183
466,0.566704
467,0.678892
468,0.636375
469,0.576124
470,0.839749
471,0.726879
472,0.732559
473,0.732377
474,0.564726
475,0.702493
476,0.681566
477,0.664927
478,0.707814
479,0.669381
480,0.574778
481,0.576077
482,0.652196
483,0.782756
484,0.704301
485,0.782791
486,0.705138
487,0.824919
488,0.652498
489,0.688492
490,0.761004
491,0.580648
492,0.648619
493,0.668958
494,0.695278
495,0.673620
496,0.722798
497,0.579356
498,0.696782
499,0.842168
