step,loss
0,2.291411
1,2.427457
2,2.360900
3,2.304899
4,2.507739
5,3.733761
6,4.105144
7,4.516003
8,5.018988
9,4.744946
10,4.042140
11,4.846505
12,4.523827
13,5.393960
14,4.206699
15,6.892636
16,5.657372
17,3.500896
18,3.852101
19,2.934117
20,2.481629
21,2.866228
22,7.030679
23,5.149592
24,4.383328
25,5.255054
26,3.544916
27,3.014463
28,3.990665
29,3.914297
30,3.278739
31,2.324009
32,2.522095
33,2.672512
34,2.365538
35,2.384286
36,2.385068
37,3.093552
38,3.133051
39,3.174269
40,2.512526
41,3.965900
42,2.402852
43,2.589956
44,2.354369
45,2.485476
46,2.311426
47,2.299836
48,2.323441
49,2.382036
50,2.630262
51,2.518165
52,2.247524
53,2.578696
54,3.321510
55,2.266048
56,2.314902
57,2.340626
58,2.262766
59,2.260571
60,2.446964
61,2.763377
62,2.628793
63,2.246277
64,2.223918
65,2.288387
66,2.282512
67,2.265474
68,2.289901
69,2.271029
70,2.281152
71,2.272477
72,2.291714
73,2.328727
74,2.346200
75,2.256261
76,2.246702
77,2.369715
78,2.644861
79,2.274445
80,2.293404
81,2.241870
82,2.263090
83,2.482714
84,2.521932
85,2.847899
86,2.305525
87,2.290952
88,2.284680
89,2.314263
90,2.289590
91,2.281398
92,2.243703
93,2.406942
94,2.249751
95,2.274116
96,2.311599
97,2.346759
98,2.243305
99,2.293919
100,2.219953
101,2.253019
102,2.400200
103,2.351587
104,2.243491
105,2.191211
106,2.226680
107,2.203347
108,2.233182
109,2.270323
110,2.248824
111,2.238241
112,2.224639
113,2.209339
114,2.206443
115,2.223131
116,2.178788
117,2.241397
118,2.139206
119,2.245261
120,2.283966
121,2.213686
122,2.166790
123,2.201093
124,2.209811
125,2.121775
126,2.204829
127,2.182641
128,2.197824
129,2.200035
130,2.111254
131,2.167158
132,2.114910
133,2.128214
134,2.094435
135,2.133539
136,2.085119
137,2.132176
138,2.069505
139,2.181862
140,2.189890
141,2.141496
142,2.124036
143,2.103489
144,2.097140
145,2.106109
146,2.024881
147,2.070298
148,2.018253
149,2.094015
150,2.067758
151,2.073114
152,1.946190
153,1.973570
154,2.000890
155,1.941119
156,2.017958
157,2.145077
158,1.956516
159,2.156186
160,2.066252
161,2.112567
162,2.117884
163,2.059402
164,1.991807
165,1.970330
166,1.989876
167,2.090162
168,2.063933
169,1.970842
170,1.968082
171,2.043856
172,2.006882
173,2.001418
174,1.981935
175,2.066477
176,1.999877
177,2.002589
178,2.001701
179,2.148504
180,1.963234
181,2.076802
182,2.031880
183,1.903414
184,2.008795
185,1.951058
186,1.982859
187,2.122822
188,2.038385
189,1.998615
190,2.013832
191,2.069790
192,1.996110
193,1.927686
194,1.942658
195,2.065728
196,1.969941
197,1.925228
198,1.962368
199,1.921531
200,1.944045
201,1.993351
202,1.882455
203,1.941923
204,1.899998
205,1.855999
206,2.000428
207,2.001975
208,1.915543
209,1.872304
210,2.103636
211,1.978255
212,1.996958
213,1.921673
214,1.965772
215,2.013731
216,1.924370
217,1.923688
218,2.045180
219,1.991488
220,1.980212
221,2.039779
222,1.985472
223,1.931256
224,1.843693
225,1.867972
226,1.932745
227,1.827903
228,1.825203
229,1.832600
230,1.914171
231,2.011541
232,2.066621
233,1.985366
234,2.003506
235,1.928530
236,1.860279
237,1.959358
238,1.862081
239,1.951276
240,1.973033
241,1.955028
242,1.851660
243,1.903765
244,1.942384
245,1.853119
246,1.896564
247,1.885955
248,1.958119
249,1.916958
250,1.924243
251,1.917343
252,2.005768
253,1.888292
254,1.992626
255,1.975630
256,1.865258
257,1.943742
258,1.760028
259,1.980186
260,1.880271
261,1.892365
262,1.934922
263,1.978547
264,1.851850
265,1.877581
266,1.844396
267,1.870840
268,1.937950
269,1.921454
270,1.884948
271,1.809161
272,1.886641
273,1.979107
274,1.906299
275,1.800897
276,1.998688
277,1.846882
278,1.919611
279,1.821376
280,1.939150
281,1.946228
282,1.868134
283,1.957644
284,1.901784
285,1.872316
286,1.869418
287,1.895569
288,1.834118
289,1.778258
290,1.801703
291,1.761308
292,2.057650
293,1.734625
294,1.745597
295,1.841922
296,1.720304
297,1.646056
298,1.657315
299,1.806413
300,1.726635
301,1.874551
302,1.887807
303,1.693170
304,1.818585
305,1.972843
306,1.837371
307,1.749007
308,1.766382
309,1.816842
310,1.944533
311,1.777678
312,1.749302
313,1.961011
314,1.875671
315,1.721887
316,1.771753
317,1.803175
318,1.776047
319,1.851391
320,1.813126
321,1.809220
322,1.730175
323,1.870877
324,1.803752
325,1.772426
326,1.809313
327,1.857920
328,1.767064
329,1.774017
330,1.683292
331,1.609920
