step,loss
0,2.423275
1,2.886155
2,3.465562
3,3.979967
4,4.139910
5,4.356216
6,3.900823
7,3.666363
8,3.293089
9,3.728527
10,3.873738
11,3.695401
12,4.508730
13,3.447107
14,2.874920
15,6.540913
16,2.931329
17,4.302091
18,3.546357
19,3.277478
20,2.861495
21,2.752431
22,2.676167
23,2.435039
24,3.294137
25,2.563101
26,2.300286
27,2.687529
28,2.335535
29,2.563197
30,2.820824
31,2.575840
32,2.469260
33,2.185364
34,2.097793
35,2.174954
36,2.486654
37,2.088820
38,2.046705
39,2.128328
40,2.078982
41,1.996872
42,2.104121
43,2.065844
44,1.999801
45,2.108681
46,1.938769
47,2.001876
48,2.101692
49,1.930114
50,1.969572
51,2.075050
52,2.008989
53,1.898764
54,2.094797
55,2.029858
56,1.896705
57,2.086100
58,2.035313
59,1.849441
60,2.128463
61,2.028081
62,1.943360
63,1.891487
64,1.878055
65,1.963847
66,1.919669
67,1.799208
68,1.888065
69,1.915202
70,1.873162
71,1.929026
72,1.881534
73,1.947943
74,1.837712
75,1.999360
76,1.775707
77,1.893655
78,1.940478
79,1.779333
80,1.883608
81,1.832261
82,1.899434
83,1.913942
84,1.799438
85,1.787331
86,1.870746
87,1.722636
88,1.798680
89,1.824670
90,1.680289
91,1.711248
92,1.831096
93,1.841742
94,1.759617
95,1.772213
96,1.785273
97,1.760242
98,1.786484
99,1.790585
