step,grad_l2
0,3.156444
1,4.514260
2,7.797097
3,9.712985
4,6.210939
5,9.437647
6,8.621733
7,6.917035
8,7.132214
9,4.601673
10,6.935591
11,2.586330
12,3.822842
13,3.760222
14,3.963572
15,2.021351
16,2.022972
17,1.731492
18,1.763302
19,1.256423
20,2.348495
21,1.708991
22,4.479947
23,2.673451
24,1.180068
25,0.987753
26,0.992116
27,1.376269
28,0.930773
29,1.082438
30,1.044619
31,1.001263
32,1.035073
33,0.805367
34,0.914741
35,0.822968
36,0.785437
37,0.951397
38,0.868476
39,0.900232
40,0.832805
41,0.960357
42,0.741622
43,0.945321
44,0.642089
45,0.701861
46,0.851416
47,1.097808
48,0.829629
49,0.722189
50,0.837905
51,0.838087
52,0.794246
53,0.657363
54,0.681866
55,0.661575
56,0.713300
57,1.069440
58,0.646805
59,0.946698
60,0.791275
61,0.879333
62,0.704384
63,0.814038
64,0.841154
65,0.679792
66,0.796836
67,0.732132
68,0.755143
69,0.976680
70,0.790690
71,0.616907
72,0.665222
73,0.732090
74,0.731733
75,0.808105
76,0.867352
77,0.774581
78,0.933030
79,0.948309
80,0.672364
81,0.866196
82,0.781312
83,0.819069
84,0.790228
85,0.622613
86,0.603151
87,0.822307
88,0.815152
89,0.798569
90,0.810887
91,0.688444
92,0.565120
93,0.701041
94,0.935286
95,0.843582
96,0.654099
97,0.937338
98,0.833245
99,0.877355
100,0.900413
101,0.681571
102,0.686325
103,0.897888
104,0.704565
105,0.965101
106,0.725235
107,0.720261
108,0.922045
109,0.901848
110,0.962852
111,1.025166
112,1.019321
113,0.727978
114,0.678755
115,1.015392
116,0.756148
117,0.872472
118,0.824211
119,0.779840
120,0.712170
121,0.863185
122,0.779956
123,0.850101
124,1.019271
125,0.664695
126,0.978458
127,0.950660
128,0.842685
129,0.836739
130,0.907144
131,0.816757
132,0.932762
133,0.932538
134,0.891068
135,0.786201
136,0.836170
137,0.938009
138,0.904181
139,0.723135
140,0.911937
141,1.179721
142,0.886930
143,0.946544
144,0.940454
145,0.910626
146,1.167019
147,0.902589
148,0.864671
149,0.817867
150,0.871083
151,0.827686
152,1.126534
153,1.103118
154,0.982012
155,1.030834
156,1.028510
157,0.949203
158,0.869631
159,0.901548
160,0.866538
161,1.111271
162,0.844926
163,0.858724
164,0.805612
165,0.771923
166,0.966357
167,1.183588
168,0.985582
169,0.918252
170,1.167503
171,1.012085
172,1.250488
173,0.987947
174,1.017763
175,1.266169
176,1.146395
177,1.079195
178,0.957728
179,0.917187
180,1.027701
181,0.891216
182,0.973074
183,0.778231
184,0.891350
185,0.857658
186,0.847134
187,0.874075
188,1.183703
189,1.344260
190,1.122916
191,1.456756
192,1.033823
193,1.051309
194,1.000894
195,0.855972
196,1.125548
197,1.018055
198,1.112551
199,0.941799
200,0.949763
201,0.969520
202,0.780889
203,0.927467
204,0.933813
205,1.154900
206,0.956812
207,0.846876
208,1.120065
209,0.913259
