step,fwd_ms,bwd_ms,opt_ms,total_ms
0,563.502,1136.669,69.761,1769.932
1,456.141,714.876,15.171,1186.188
2,534.465,662.649,25.707,1222.821
3,389.789,740.357,13.611,1143.757
4,382.879,797.538,13.014,1193.431
5,295.958,695.132,14.915,1006.005
6,349.911,793.221,17.635,1160.767
7,302.099,692.281,13.520,1007.900
8,303.931,622.452,12.907,939.290
9,278.054,750.283,22.331,1050.668
10,332.484,881.656,15.815,1229.954
11,364.167,564.111,11.404,939.682
12,351.482,656.887,18.162,1026.531
13,301.846,791.116,14.675,1107.637
14,293.618,854.324,14.538,1162.480
15,372.127,631.943,15.197,1019.268
16,321.169,608.012,14.481,943.663
17,322.454,670.073,14.984,1007.511
18,362.910,550.872,14.136,927.918
19,298.542,652.356,16.048,966.946
20,414.223,769.584,11.226,1195.033
21,285.342,642.848,17.183,945.373
22,295.705,659.723,29.628,985.056
23,329.923,605.313,16.192,951.428
24,279.391,548.375,13.245,841.010
25,294.755,702.058,15.984,1012.797
26,289.787,556.404,15.935,862.126
27,339.697,611.467,17.255,968.419
28,326.384,600.457,13.472,940.313
29,341.407,543.152,13.367,897.926
30,291.327,592.054,15.432,898.814
31,315.620,567.682,13.369,896.671
32,313.466,624.875,14.637,952.978
33,341.175,610.593,12.381,964.148
34,306.091,660.553,13.904,980.549
35,333.221,629.720,13.457,976.398
36,339.252,646.371,15.616,1001.240
37,311.314,702.273,16.344,1029.930
38,311.131,760.664,18.015,1089.810
39,322.940,552.818,13.304,889.063
40,312.555,551.189,11.806,875.551
41,321.494,587.897,35.729,945.120
42,344.628,560.074,12.610,917.313
43,317.805,571.241,13.998,903.044
44,313.852,662.557,13.466,989.875
45,409.459,595.071,13.066,1017.596
46,266.224,600.488,11.990,878.702
47,281.992,603.082,11.773,896.847
48,287.968,579.660,12.892,880.519
49,323.380,605.694,13.360,942.434
50,297.086,617.478,13.461,928.026
51,315.681,606.220,12.848,934.748
52,300.588,591.445,14.104,906.137
53,350.580,825.678,15.930,1192.188
54,315.301,763.816,14.627,1093.745
55,390.917,847.723,15.398,1254.038
56,402.068,742.469,12.458,1156.995
57,362.576,631.146,16.116,1009.838
58,382.947,569.650,12.678,965.275
59,298.863,701.839,12.850,1013.552
60,355.381,549.921,14.681,919.982
61,333.184,591.612,16.048,940.844
62,358.436,598.879,17.434,974.749
63,370.404,638.887,16.853,1026.144
64,369.334,670.213,13.991,1053.538
65,353.892,613.190,10.728,977.810
66,308.955,716.560,14.516,1040.031
67,416.236,842.586,13.740,1272.562
68,328.947,1015.851,17.277,1362.075
69,310.293,1000.998,15.159,1326.450
70,311.292,680.542,15.514,1007.348
71,309.647,695.345,17.128,1022.119
72,324.270,797.511,17.932,1139.713
73,339.160,684.686,12.567,1036.413
74,332.325,835.824,18.848,1186.998
75,349.235,616.632,14.573,980.440
76,295.622,883.786,15.790,1195.198
77,357.994,589.006,13.640,960.639
78,300.669,544.228,12.103,857.000
79,435.067,703.289,14.375,1152.730
80,361.164,547.792,14.279,923.235
81,324.241,540.902,15.564,880.707
82,332.360,675.965,15.587,1023.911
83,363.428,594.507,11.477,969.411
84,306.425,629.722,11.088,947.236
85,309.973,593.551,13.368,916.892
86,312.633,618.266,13.668,944.567
87,386.898,562.644,11.812,961.354
88,295.137,642.888,14.834,952.860
89,333.231,542.650,14.388,890.269
90,303.902,723.955,14.899,1042.757
91,396.962,813.784,15.418,1226.163
92,358.110,545.018,12.293,915.422
93,300.191,578.124,14.520,892.835
94,300.750,584.690,13.219,898.659
95,305.972,593.434,12.065,911.470
96,328.055,591.812,14.999,934.866
97,292.183,604.467,14.094,910.743
98,291.061,643.730,12.423,947.215
99,317.967,644.871,14.259,977.097
100,338.231,614.388,13.274,965.893
101,299.082,634.365,16.583,950.030
102,287.404,559.885,12.542,859.832
103,269.636,703.016,14.894,987.546
104,358.741,583.378,12.851,954.970
105,280.888,789.221,13.916,1084.025
106,315.417,640.815,15.294,971.526
107,346.199,691.094,14.789,1052.081
108,297.635,990.690,21.754,1310.079
109,347.484,558.980,13.976,920.440
110,269.512,738.141,15.318,1022.971
111,304.405,703.077,11.654,1019.136
112,312.920,591.544,12.978,917.443
113,313.381,650.586,14.343,978.310
114,406.600,731.872,11.043,1149.514
115,332.268,569.854,13.559,915.681
116,319.620,647.853,15.794,983.267
117,334.532,785.799,18.896,1139.227
118,308.614,721.017,14.412,1044.044
119,342.811,679.447,15.402,1037.660
120,299.646,867.388,14.780,1181.815
121,327.184,942.190,12.428,1281.802
122,300.902,847.104,13.677,1161.682
123,307.357,802.802,14.726,1124.885
124,331.134,916.402,16.387,1263.922
125,375.811,688.168,17.079,1081.059
126,317.982,819.805,14.932,1152.719
127,307.022,1032.795,12.952,1352.769
128,316.236,692.547,13.593,1022.376
129,315.399,558.036,12.046,885.480
130,299.209,578.819,11.980,890.008
131,316.335,560.329,12.860,889.524
132,325.533,599.444,13.861,938.837
133,277.772,646.313,14.450,938.536
134,312.403,970.053,17.842,1300.298
135,334.882,969.670,20.009,1324.561
136,434.809,734.848,14.537,1184.194
137,286.157,716.926,16.875,1019.958
138,315.191,538.145,13.693,867.029
139,340.302,678.555,14.528,1033.385
140,316.150,913.519,14.460,1244.129
141,332.314,793.830,16.024,1142.168
142,346.108,726.339,14.097,1086.544
143,287.504,688.145,16.488,992.137
144,351.606,557.913,13.101,922.620
145,314.563,591.691,12.639,918.893
146,305.624,587.524,12.687,905.835
147,401.552,834.255,15.201,1251.008
148,390.286,827.854,13.980,1232.121
149,404.217,624.225,12.676,1041.118
150,307.780,605.557,16.183,929.521
151,293.441,636.218,14.502,944.161
152,313.472,917.808,15.487,1246.766
153,362.495,892.103,15.940,1270.538
154,406.711,885.554,18.461,1310.726
155,415.792,567.262,13.085,996.138
156,315.859,589.540,14.920,920.319
157,328.528,579.934,11.506,919.968
158,291.331,618.448,12.072,921.852
159,270.574,699.828,14.376,984.778
160,318.764,802.424,13.169,1134.358
161,327.426,608.426,12.596,948.447
162,341.698,625.858,12.915,980.471
163,323.216,584.644,14.963,922.823
164,307.190,587.860,13.090,908.141
165,274.387,556.306,14.641,845.334
166,302.535,612.734,15.652,930.921
167,398.354,559.430,12.702,970.487
168,297.142,587.924,12.740,897.805
169,307.971,570.141,13.473,891.586
170,317.876,560.568,13.085,891.529
171,388.478,575.522,13.236,977.236
172,280.716,647.792,17.119,945.627
173,290.798,1033.264,12.646,1336.707
174,314.864,795.542,13.604,1124.009
175,322.446,651.968,13.751,988.164
176,331.196,653.575,13.899,998.670
177,290.455,635.311,12.752,938.518
178,320.348,570.124,12.084,902.555
179,283.842,669.185,12.512,965.539
180,350.022,675.394,12.284,1037.699
181,301.439,596.634,12.982,911.054
182,311.280,564.797,13.304,889.380
183,284.153,612.612,14.019,910.784
184,289.634,617.028,13.223,919.886
185,300.949,604.561,12.122,917.632
186,292.959,537.403,13.594,843.956
187,361.256,549.988,14.958,926.201
188,369.904,553.974,13.048,936.927
189,275.759,675.335,16.892,967.985
190,342.512,548.359,14.726,905.597
191,277.062,674.148,17.393,968.603
192,286.746,621.281,14.177,922.205
193,322.275,583.687,13.354,919.316
194,277.999,568.604,18.173,864.776
195,689.413,772.804,114.319,1576.535
196,320.111,613.082,12.616,945.810
197,304.604,572.655,15.688,892.947
198,297.086,570.262,12.575,879.923
199,297.520,556.437,12.909,866.866
200,299.609,607.077,15.524,922.210
201,312.671,559.203,12.296,884.170
202,314.289,555.348,12.660,882.297
203,283.417,670.072,20.786,974.276
204,399.692,681.827,13.300,1094.819
205,392.036,761.847,11.640,1165.523
206,334.084,668.269,12.176,1014.528
207,399.999,915.456,13.865,1329.319
208,420.790,874.760,15.598,1311.148
209,432.586,861.263,15.454,1309.304
210,447.093,877.717,19.446,1344.256
211,416.175,932.034,17.838,1366.047
212,420.663,886.084,19.462,1326.210
213,412.848,837.101,15.751,1265.700
214,408.724,822.153,18.051,1248.927
215,408.563,770.695,15.109,1194.367
216,281.311,652.156,13.777,947.244
217,357.206,659.007,16.820,1033.034
218,315.563,551.877,13.847,881.287
219,295.433,592.292,15.047,902.772
220,331.665,609.331,13.167,954.163
221,310.514,565.578,13.415,889.507
222,305.138,639.670,14.941,959.749
223,279.050,545.653,17.424,842.127
224,291.676,555.370,14.882,861.929
225,408.550,843.476,18.562,1270.588
226,411.845,817.589,16.458,1245.892
227,412.355,837.301,16.926,1266.582
228,418.012,639.354,13.348,1070.713
229,314.955,919.823,18.805,1253.584
230,387.783,864.853,13.398,1266.034
231,398.951,723.761,17.316,1140.028
232,383.829,797.490,17.468,1198.788
233,416.557,820.546,15.649,1252.752
234,389.867,572.197,14.274,976.338
235,308.960,666.597,11.693,987.250
236,319.930,539.197,14.044,873.172
237,343.420,544.765,15.543,903.728
238,277.430,1033.357,13.984,1324.771
239,301.008,716.778,18.274,1036.060
240,309.938,619.425,18.470,947.833
241,403.685,840.695,14.545,1258.925
242,305.403,554.590,11.555,871.548
243,310.063,562.492,13.217,885.772
244,274.275,800.721,15.045,1090.041
245,378.050,552.567,13.681,944.298
246,265.389,988.064,15.225,1268.678
247,331.048,850.737,11.240,1193.025
248,300.788,588.733,16.168,905.689
249,307.510,690.440,12.597,1010.547
250,426.540,793.796,12.021,1232.356
251,320.915,893.562,16.025,1230.502
252,404.369,823.370,14.805,1242.544
253,442.473,820.760,15.823,1279.055
254,405.176,859.737,15.754,1280.666
255,389.782,825.376,15.295,1230.453
256,395.831,831.294,12.278,1239.403
257,390.391,658.652,11.230,1060.272
258,418.974,781.697,13.232,1213.903
259,345.002,890.922,14.034,1249.958
260,320.446,970.378,18.465,1309.289
261,432.654,909.209,19.032,1360.896
262,416.722,937.585,18.277,1372.584
263,323.186,997.730,13.236,1334.152
264,337.459,908.422,13.500,1259.382
265,298.619,589.892,12.442,900.953
266,386.743,878.716,13.028,1278.487
267,339.425,619.588,15.345,974.358
268,392.310,813.995,12.024,1218.329
269,402.623,790.372,15.376,1208.372
270,361.520,824.790,16.387,1202.697
271,401.922,786.979,16.877,1205.778
272,393.020,812.964,16.819,1222.804
273,298.229,589.325,12.462,900.017
274,369.505,616.646,28.613,1014.764
275,308.278,1013.755,18.235,1340.268
276,312.225,943.949,17.682,1273.856
277,301.121,724.748,15.119,1040.988
278,352.152,746.201,18.655,1117.008
279,362.505,741.436,20.388,1124.329
280,399.574,568.654,12.723,980.950
281,360.374,754.014,11.987,1126.375
282,370.762,634.265,16.792,1021.819
283,409.635,652.466,17.570,1079.670
284,336.008,591.375,17.977,945.360
285,286.716,659.903,18.410,965.030
286,388.482,582.287,10.982,981.751
287,305.322,586.619,14.068,906.008
288,283.536,555.948,14.127,853.611
289,315.770,599.459,16.485,931.713
290,315.375,575.137,18.091,908.603
291,310.951,614.936,14.896,940.783
292,294.500,938.081,18.215,1250.796
293,438.042,653.569,16.758,1108.370
294,300.583,681.622,12.473,994.679
295,361.367,586.993,14.648,963.009
296,279.531,585.338,12.805,877.674
297,313.567,618.342,14.824,946.732
