step,grad_l2
0,3.532484
1,7.835647
2,5.741356
3,5.549833
4,9.563257
5,6.555669
6,5.113776
7,5.564456
8,5.886005
9,6.997007
10,5.449350
11,4.720677
12,5.739307
13,7.438760
14,5.736985
15,5.776782
16,5.442646
17,4.241324
18,3.465083
19,7.297104
20,3.005699
21,3.191200
22,1.087085
23,1.720761
24,1.024863
25,1.768858
26,1.459284
27,2.409197
28,1.320668
29,1.892179
30,1.494576
31,0.817248
32,0.980045
33,0.954949
34,0.816249
35,0.776343
36,0.839502
37,0.720858
38,0.714887
39,0.749286
40,0.777218
41,0.577361
42,0.650814
43,1.058865
44,0.757770
45,0.848041
46,0.730552
47,0.792150
48,0.689723
49,0.693116
50,0.483880
51,0.531300
52,0.682804
53,0.814901
54,0.829495
55,0.717530
56,0.493780
57,0.918910
58,0.543027
59,0.763161
60,0.823951
61,0.740297
62,0.724340
63,0.576903
64,0.830394
65,0.758841
66,0.462720
67,1.064580
68,0.930265
69,0.701505
70,0.705300
71,0.955970
72,1.137323
73,0.852674
74,0.717050
75,0.610294
76,0.871571
77,0.996446
78,0.714362
79,1.107009
80,0.973263
81,1.081127
82,1.144240
83,1.530275
84,0.763402
85,0.664356
86,1.118330
87,0.668342
88,0.646199
89,0.664037
90,0.666663
91,0.781042
92,1.002818
93,0.821844
94,0.867001
95,0.840726
96,0.573757
97,0.836648
98,0.764505
99,0.871473
100,0.973856
101,0.961238
102,0.928200
103,0.745098
104,0.742676
105,0.900338
106,0.700632
107,0.851539
108,1.097179
109,0.896602
110,0.731246
111,0.963322
112,0.701382
113,0.871478
114,0.791046
115,0.926200
116,0.757974
117,0.887955
118,0.875274
119,1.050581
120,0.964093
121,1.138534
122,1.181925
123,0.953885
124,1.108393
125,0.916205
126,0.720337
127,0.805537
128,0.765843
129,0.986472
130,0.684583
131,0.707978
132,0.773420
133,0.932037
134,0.756104
135,0.953046
136,0.953244
137,0.796487
138,0.851024
139,0.851845
140,1.026934
141,0.815978
142,0.893990
143,0.802977
144,0.978189
145,0.696757
146,0.835758
147,0.705627
148,0.978162
149,0.838625
150,0.734866
151,0.769116
152,0.924810
153,1.202209
154,1.035088
155,1.011547
156,0.925576
157,1.314750
158,0.908816
159,0.888222
160,1.047180
161,1.047168
162,1.037892
163,0.852060
164,0.793253
165,1.081775
166,0.993732
167,0.624937
168,0.778581
169,0.865384
170,0.803211
171,0.861447
172,0.789901
173,0.916645
174,1.210356
175,1.014298
176,0.866472
177,0.732234
178,0.811033
179,0.857135
180,1.125773
181,1.099890
182,1.315877
183,0.759461
184,0.856822
185,0.946918
186,1.232682
187,1.118864
188,0.985401
189,1.315502
190,1.031978
191,0.978078
192,0.962397
193,0.799317
194,0.861946
195,0.966721
196,0.959740
197,1.149753
198,0.766870
199,1.151081
200,0.910342
201,1.075270
202,1.107269
203,0.994417
204,0.922789
205,0.931319
206,1.035473
207,1.033795
208,0.700601
209,1.078192
210,0.927147
211,1.069699
212,0.958335
213,1.229647
214,1.178025
215,1.143661
216,0.999694
217,1.021720
218,1.009107
219,1.023204
220,0.828136
221,1.203068
222,1.000205
223,1.164886
224,1.089432
225,0.909743
226,1.022770
227,1.113888
228,0.941888
229,0.945493
230,0.809235
231,0.934309
232,0.908760
233,1.000548
234,1.073390
235,1.080279
236,1.115163
237,1.077476
238,0.981111
239,1.118933
240,1.085534
241,0.867514
242,1.089658
243,1.012971
244,1.169739
245,1.047740
246,1.198005
247,1.157617
248,0.907042
