step,loss
0,2.291411
1,2.588197
2,2.825039
3,3.982658
4,3.924948
5,4.625304
6,5.978793
7,5.078481
8,5.060587
9,3.964448
10,5.408331
11,3.324562
12,2.874918
13,3.190714
14,3.812847
15,4.448655
16,2.727952
17,4.532546
18,3.881578
19,4.060371
20,3.357423
21,3.028745
22,3.176006
23,2.901456
24,2.484154
25,2.996090
26,2.501374
27,2.351768
28,2.291893
29,2.313996
30,2.281998
31,2.272636
32,2.198664
33,2.215738
34,2.225183
35,2.235981
36,2.288705
37,2.157842
38,2.280176
39,2.259589
40,2.258246
41,2.148529
42,2.112269
43,2.261971
44,2.073166
45,2.141597
46,2.187007
47,2.213136
48,2.151632
49,2.108679
50,2.134459
51,2.111406
52,2.103610
53,2.048813
54,2.077661
55,2.099779
56,2.133070
57,2.099485
58,2.045809
59,1.932458
60,2.046171
61,2.080542
62,2.009656
63,2.002919
64,1.890524
65,1.940558
66,1.998950
67,2.082429
68,2.065772
69,1.947740
70,1.954491
71,2.058336
72,2.092165
73,1.929343
74,2.015883
75,2.003285
76,1.923847
77,2.010288
78,2.055293
79,2.032005
80,1.987569
81,1.950767
82,1.931660
83,1.994368
84,1.952704
85,2.014685
86,1.985847
87,1.984780
88,2.038829
89,1.973402
90,1.983838
91,1.956139
92,1.903345
93,1.978160
94,1.938278
95,1.925034
96,1.907196
97,1.959988
98,1.990605
99,1.937338
100,1.906512
101,1.826836
102,2.033319
103,1.970481
104,1.943884
105,1.852451
106,1.871923
107,1.804836
108,1.983781
109,2.011317
110,2.006686
111,1.872181
112,2.012385
113,1.822708
114,1.844677
115,2.021571
116,1.952972
117,2.008717
118,2.019250
119,2.024367
120,2.104629
121,1.946132
122,1.885785
123,2.008140
124,1.996294
125,1.952117
126,1.977250
127,1.949653
128,2.006402
129,1.927304
130,1.975406
131,1.946451
132,1.982920
133,1.887756
134,1.917961
135,1.942619
136,1.857855
137,2.000782
138,1.947211
139,1.965625
140,1.967505
141,1.893217
142,1.940258
143,1.881434
144,1.908323
145,1.878217
146,1.889637
147,1.853481
148,1.831965
149,1.877849
150,1.930375
151,1.913856
152,1.787462
153,1.728684
154,1.909767
155,1.812697
156,1.832357
157,1.886839
158,1.824427
159,1.997846
160,1.872873
161,1.944804
162,1.899177
163,1.967008
164,1.881505
165,1.815532
166,1.752338
167,1.870578
168,1.845638
169,1.786695
170,1.710783
171,1.701126
172,1.814609
173,1.732324
174,1.779140
175,1.742645
176,1.694547
177,1.764786
178,1.852327
179,2.008304
180,1.807972
181,1.741039
182,1.832810
183,1.802140
184,1.780137
185,1.756619
186,1.693081
187,1.840222
188,1.890067
189,1.711697
190,1.794439
191,1.798357
192,1.744435
193,1.795638
194,1.801116
195,1.933265
196,1.797446
197,1.907893
198,1.717937
199,1.721517
200,1.727787
201,1.663949
202,1.698638
203,1.702804
204,1.698222
205,1.640439
206,1.776249
207,1.779851
208,1.685039
209,1.677338
210,1.847064
211,1.749563
212,1.714815
213,1.707969
214,1.679766
215,1.810040
216,1.726589
217,1.763338
218,1.688486
219,1.670601
220,1.728449
221,1.813551
222,1.838481
223,1.712411
224,1.622931
225,1.642805
226,1.732070
227,1.657511
228,1.679316
229,1.584984
230,1.776949
231,1.850652
232,1.753408
233,1.823674
234,1.824412
235,1.648325
236,1.659295
237,1.697140
238,1.753888
239,1.691018
240,1.767374
241,1.674941
242,1.752113
243,1.820572
244,1.675377
245,1.714316
246,1.684480
247,1.697625
248,1.760226
249,1.694970
250,1.747487
251,1.772486
252,1.797799
253,1.681672
254,1.750927
255,1.661990
256,1.633129
257,1.778677
258,1.640702
259,1.760461
260,1.631577
261,1.689186
262,1.715191
263,1.690143
264,1.721786
265,1.720831
266,1.606521
267,1.746634
268,1.678435
269,1.724234
270,1.674507
271,1.646038
272,1.664199
273,1.749069
274,1.641640
275,1.661816
276,1.736287
277,1.597017
278,1.674811
279,1.575135
280,1.731737
281,1.641655
282,1.549639
283,1.715544
284,1.753067
285,1.652383
286,1.725443
287,1.643162
288,1.679076
289,1.557950
290,1.717960
291,1.492883
292,1.801443
293,1.506678
294,1.598280
295,1.641861
296,1.518026
297,1.516240
298,1.444087
299,1.650774
300,1.624579
301,1.671459
302,1.650682
303,1.547740
304,1.602613
305,1.766223
306,1.727339
307,1.652048
308,1.689779
309,1.606622
310,1.686360
311,1.618271
312,1.607752
313,1.833200
314,1.649050
315,1.501141
316,1.702432
317,1.656926
318,1.549240
319,1.631415
320,1.592680
321,1.638214
322,1.525599
323,1.693068
324,1.566183
325,1.570060
326,1.628788
327,1.642516
328,1.545060
329,1.528700
330,1.520249
331,1.439233
332,1.629828
333,1.626557
334,1.622756
335,1.585275
336,1.635900
337,1.615715
338,1.603024
339,1.600069
340,1.452165
341,1.547471
342,1.451107
343,1.481542
344,1.753799
345,1.552039
346,1.542127
347,1.743911
348,1.673852
349,1.599703
350,1.593864
351,1.580390
352,1.596352
353,1.641501
354,1.566815
355,1.507647
356,1.587376
357,1.545784
358,1.609761
359,1.548738
360,1.550900
361,1.514474
362,1.475622
363,1.590365
364,1.505313
365,1.519675
366,1.612631
367,1.578217
368,1.720175
