step,fwd_ms,bwd_ms,opt_ms,total_ms
0,487.280,1025.330,50.574,1563.185
1,350.193,696.784,28.059,1075.036
2,613.088,665.673,8.474,1287.235
3,284.579,573.299,8.513,866.391
4,359.034,650.979,8.667,1018.679
5,355.671,737.215,8.807,1101.694
6,267.689,561.270,8.364,837.323
7,252.724,841.405,8.420,1102.548
8,258.739,581.923,8.796,849.458
9,432.650,629.618,12.321,1074.588
10,271.697,643.798,10.021,925.516
11,260.640,593.653,8.684,862.978
12,252.249,563.733,8.459,824.441
13,253.775,542.895,8.514,805.185
14,252.867,594.862,8.490,856.219
15,246.706,583.507,8.556,838.768
16,255.113,601.946,8.599,865.658
17,249.215,551.066,8.382,808.663
18,254.823,569.438,8.662,832.923
19,248.614,591.694,8.472,848.780
20,247.996,533.099,12.258,793.352
21,253.849,624.017,10.105,887.970
22,275.397,598.705,8.956,883.059
23,251.256,561.922,8.548,821.726
24,248.879,529.242,8.408,786.529
25,252.023,553.471,12.198,817.692
26,254.096,541.252,8.590,803.939
27,232.791,615.189,10.339,858.319
28,250.859,535.927,8.945,795.732
29,240.284,532.964,8.656,781.904
30,235.587,541.638,8.522,785.746
31,308.846,564.884,8.608,882.337
32,240.455,543.264,8.453,792.172
33,253.073,531.916,8.453,793.442
34,269.678,550.403,8.531,828.612
35,269.171,507.242,8.446,784.859
36,264.234,511.458,8.486,784.178
37,293.214,513.382,8.451,815.047
38,232.824,531.033,8.839,772.696
39,288.622,523.756,8.470,820.847
40,272.199,513.844,8.822,794.865
41,277.786,515.716,8.555,802.056
42,242.660,546.566,8.542,797.768
43,330.681,582.860,8.487,922.028
44,246.236,553.127,8.403,807.766
45,304.427,537.611,8.489,850.527
46,233.822,524.094,8.424,766.340
47,310.791,555.779,8.326,874.896
48,244.702,524.054,8.393,777.149
49,248.775,580.168,8.463,837.406
50,281.987,581.907,8.384,872.278
51,238.757,584.635,8.371,831.763
52,248.273,547.047,9.029,804.349
53,373.479,548.695,8.444,930.618
54,244.747,524.236,8.719,777.701
55,289.188,568.315,8.492,865.995
56,236.649,526.432,8.434,771.514
57,255.828,562.514,8.405,826.748
58,234.144,545.730,8.657,788.531
59,280.932,559.823,8.398,849.154
60,252.480,568.049,8.355,828.884
61,251.379,561.819,8.374,821.572
62,252.454,583.118,8.502,844.074
63,267.863,560.329,8.490,836.682
64,246.023,574.252,8.493,828.768
65,260.080,561.230,8.598,829.908
66,280.722,504.547,8.541,793.810
67,265.804,524.631,8.420,798.854
68,281.454,530.535,11.584,823.573
69,235.200,523.428,8.638,767.266
70,245.819,527.109,8.638,781.566
71,285.582,518.684,10.140,814.406
72,247.805,526.046,8.566,782.417
73,250.454,555.976,9.148,815.578
74,249.759,574.398,8.560,832.717
75,261.355,547.850,8.599,817.804
76,259.431,568.047,8.384,835.862
77,242.442,572.870,8.436,823.748
78,264.228,592.071,8.749,865.048
79,263.298,562.443,8.745,834.486
80,340.196,525.241,8.764,874.201
81,237.256,528.324,8.629,774.209
82,252.439,535.272,8.755,796.466
83,248.574,563.965,8.675,821.214
84,280.550,529.539,8.622,818.711
85,246.546,539.259,8.656,794.462
86,238.253,536.344,8.541,783.138
87,307.540,568.718,8.442,884.699
88,248.612,572.380,8.390,829.382
89,261.809,560.067,8.852,830.729
90,261.962,524.146,8.592,794.700
91,299.466,556.939,8.486,864.891
92,290.340,567.080,8.773,866.192
93,258.750,528.812,12.276,799.838
94,266.505,573.741,10.152,850.398
95,266.649,596.520,8.775,871.944
96,251.483,541.185,8.654,801.322
97,256.168,546.279,8.742,811.189
98,241.363,593.176,8.561,843.101
99,251.918,555.590,8.678,816.186
100,261.455,541.879,8.954,812.288
101,263.177,547.089,8.505,818.771
102,246.390,532.720,8.593,787.703
103,352.178,524.265,8.575,885.018
104,316.063,547.063,8.799,871.925
105,239.662,515.154,8.599,763.415
106,292.438,510.672,8.527,811.637
107,296.280,517.203,8.653,822.136
108,247.590,516.706,8.558,772.854
109,308.629,541.721,8.668,859.017
110,250.505,531.720,8.491,790.716
111,253.565,522.198,8.566,784.329
112,304.483,553.870,8.600,866.954
113,264.274,528.332,8.566,801.172
114,342.871,534.196,8.756,885.823
115,319.827,570.081,8.521,898.429
116,255.796,521.367,8.536,785.698
117,276.677,518.501,8.833,804.010
118,266.179,531.839,8.670,806.687
119,251.353,554.376,8.682,814.411
120,287.787,559.559,8.428,855.774
121,249.829,576.241,8.709,834.779
122,263.178,584.099,8.528,855.806
123,261.614,597.830,8.586,868.029
124,272.561,582.585,8.564,863.711
125,299.996,587.670,8.934,896.599
126,281.111,587.780,8.569,877.460
127,307.425,558.414,8.485,874.325
128,252.282,568.393,8.804,829.479
129,286.104,560.853,8.540,855.498
130,268.351,581.748,8.619,858.718
131,257.792,604.416,8.476,870.685
132,261.918,541.661,8.547,812.127
133,290.251,525.866,8.772,824.889
134,247.050,526.595,8.438,782.084
135,323.301,513.117,8.478,844.896
136,244.185,521.338,8.607,774.129
137,260.560,535.336,8.406,804.303
138,316.979,521.961,8.555,847.496
139,335.433,526.445,8.599,870.477
140,300.578,529.577,8.443,838.598
141,238.152,534.353,8.536,781.042
142,297.877,516.016,8.537,822.430
143,273.087,541.966,8.852,823.904
144,242.829,585.450,8.339,836.617
145,264.557,533.307,8.685,806.548
146,273.089,549.840,8.704,831.634
147,273.212,528.950,8.708,810.870
148,278.239,537.975,8.460,824.674
149,305.567,539.370,8.639,853.576
150,262.196,523.242,8.554,793.992
151,306.557,539.625,8.772,854.954
152,273.916,567.996,8.828,850.740
153,251.775,548.593,8.795,809.163
154,263.152,560.565,8.800,832.517
155,250.053,532.635,8.645,791.334
156,250.939,600.848,8.504,860.291
157,240.431,518.430,8.844,767.706
158,263.629,528.910,8.430,800.968
159,259.864,562.198,8.463,830.526
160,257.410,565.722,8.442,831.573
161,239.012,601.946,8.821,849.780
162,262.250,575.095,8.586,845.931
163,284.022,534.893,8.558,827.473
164,265.895,589.516,8.441,863.852
165,258.441,552.892,8.510,819.843
166,238.830,522.268,8.563,769.662
167,275.322,539.735,8.608,823.665
168,236.570,529.605,8.531,774.706
169,260.113,575.753,8.615,844.481
170,253.639,544.707,8.425,806.771
171,252.937,566.799,8.608,828.344
172,246.299,612.848,8.520,867.667
173,248.861,524.430,8.683,781.973
174,237.951,530.611,8.597,777.159
175,243.033,516.690,8.570,768.294
176,245.124,578.252,8.514,831.891
177,243.999,514.243,8.539,766.781
178,235.687,543.630,8.584,787.901
179,243.072,519.919,8.782,771.773
180,268.909,544.513,12.227,825.649
181,254.759,536.485,8.636,799.881
182,243.421,523.050,8.677,775.148
183,280.902,507.829,8.621,797.352
184,286.440,513.772,8.628,808.840
185,263.787,509.185,8.558,781.529
186,257.277,530.150,8.611,796.038
187,234.217,517.361,8.618,760.196
188,251.983,562.601,8.585,823.168
189,259.092,540.842,8.468,808.402
