step,grad_l2
0,3.524796
1,4.001277
2,4.784740
3,5.449334
4,6.752241
5,7.443303
6,5.115196
7,7.345605
8,5.454762
9,10.987856
10,4.733980
11,6.850557
12,5.479024
13,8.137142
14,3.582919
15,2.670146
16,3.409738
17,5.371907
18,2.886779
19,2.743158
20,3.005067
21,1.637695
22,2.545686
23,1.531677
24,1.932727
25,1.214404
26,13.143355
27,1.684894
28,1.301343
29,0.920324
30,0.994801
31,0.819698
32,0.798215
33,0.712171
34,0.614048
35,0.668607
36,0.584498
37,0.851405
38,0.713272
39,0.462206
40,0.250820
41,0.347191
42,0.471160
43,0.613211
44,0.455946
45,0.554327
46,0.525739
47,0.501920
48,0.376711
49,0.271213
50,0.319302
51,0.327139
52,0.298134
53,0.387311
54,0.685036
55,0.375415
56,0.306474
57,0.465997
58,0.196915
59,0.292018
60,0.276402
61,0.381064
62,0.495856
63,0.332677
64,0.333777
65,0.425486
66,0.264192
67,0.435728
68,0.431914
69,0.295987
70,0.373314
71,0.474081
72,0.353544
73,0.266582
74,0.323222
75,0.427345
76,0.315085
77,0.473075
78,0.508404
79,0.283371
80,0.319840
81,0.409951
82,0.324126
83,0.407786
84,0.392908
85,0.265760
86,0.337638
87,0.514840
88,0.452551
89,0.472114
90,0.514171
91,0.479195
92,0.489367
93,0.652012
94,0.361939
95,0.378140
96,0.415655
97,0.563107
98,0.288360
99,0.530238
100,0.428274
101,0.423415
102,0.518437
103,0.410750
104,0.406513
105,0.400031
106,0.420696
107,0.363066
108,0.401111
109,0.404537
110,0.480056
111,0.515153
112,0.453729
113,0.417229
114,0.330959
115,0.504957
116,0.387000
117,0.467791
118,0.441577
119,0.440691
120,0.488169
121,0.398379
122,0.452632
123,0.476503
124,0.482839
125,0.498544
126,0.566071
127,0.566701
128,0.521124
129,0.384870
130,0.365261
131,0.473781
132,0.414914
133,0.578505
134,0.453005
135,0.692313
136,0.619973
137,0.666211
138,0.591105
139,0.675841
140,0.596220
141,0.641317
142,0.993723
143,0.679740
144,0.671507
145,0.647070
146,0.475853
147,0.544477
148,0.513299
149,0.566480
150,0.578614
151,0.573043
152,0.580213
153,0.553145
154,0.624391
155,0.583179
156,0.547889
157,0.527841
158,0.635255
159,0.699462
160,0.549537
161,0.543998
162,0.560911
163,0.728646
164,0.675971
165,0.622089
166,0.634112
167,0.536575
168,0.448611
169,0.610131
170,0.508836
171,0.600505
172,0.449693
173,0.575524
174,0.596980
175,0.717183
176,0.594989
177,0.746036
178,0.571028
179,0.627743
180,0.736213
181,0.911761
182,0.590335
183,0.523062
184,0.714760
185,0.865909
186,0.738075
187,0.520330
188,0.666939
189,0.452515
190,0.493104
191,0.810905
192,0.624349
193,0.500375
194,0.650781
195,0.726268
196,0.571170
197,0.632444
198,0.621160
199,0.867382
200,0.625764
201,0.675548
202,0.607073
203,0.693081
204,0.555476
205,0.830226
206,0.750498
207,0.649997
208,0.636395
209,0.768573
210,0.764109
211,0.658329
212,0.894664
213,1.161718
214,0.633660
215,0.660243
216,0.587514
217,0.740145
218,0.877095
219,0.701142
220,0.719740
221,0.610118
222,0.703996
223,0.870355
224,0.822406
225,0.895954
226,0.920176
227,0.838986
228,0.665069
229,1.050592
230,0.832194
231,0.797349
232,0.585550
233,0.793070
234,0.821857
235,0.792597
236,0.909305
237,0.758141
238,0.682352
239,0.672513
240,0.583169
241,0.897972
242,0.690950
243,0.641249
244,0.620722
245,0.559410
246,0.746650
247,0.782031
248,0.731224
249,0.708044
250,0.571505
251,0.774150
252,0.622557
253,0.641060
254,0.542835
255,0.624350
256,0.640382
257,0.576173
258,0.573517
259,0.462867
260,0.496344
261,0.595044
262,0.674136
263,0.447738
264,0.660085
265,0.753040
266,0.657323
267,0.547842
268,0.444318
269,0.663694
270,0.535556
271,0.535253
272,0.509400
273,0.445490
274,0.742928
275,0.586027
276,0.636279
277,0.635088
278,0.614579
279,0.610705
280,0.652844
281,0.623764
282,0.468793
283,0.644434
284,0.655240
285,0.506717
286,0.669045
287,0.741348
288,0.730622
289,0.563384
290,0.630447
291,0.840456
292,0.559596
293,0.763716
294,0.822473
295,0.707959
296,0.598347
297,0.688957
298,0.795751
299,0.711267
300,1.116617
301,0.623345
302,0.639266
303,0.817163
304,0.807615
305,0.636246
306,0.852638
307,0.772780
308,0.580482
309,0.730236
310,0.539884
311,0.609441
312,0.822376
313,0.570859
314,0.658517
315,0.831032
316,0.764049
317,0.644045
318,0.630008
319,0.637135
320,0.636886
321,0.763785
322,0.887320
323,0.472029
324,0.700569
325,0.668595
326,0.532169
327,0.574025
328,0.504702
329,0.623924
330,0.672180
331,0.701358
332,0.647807
333,0.487056
334,0.779620
335,0.485899
336,0.714330
337,0.821826
338,0.760642
339,0.702818
340,0.609705
341,0.756889
342,0.852774
343,0.667310
344,0.741761
345,0.709657
346,0.658515
347,0.717636
348,0.838340
349,0.727733
350,0.772213
351,0.749708
352,0.885606
353,0.630391
354,0.643434
355,0.742513
356,0.678811
357,0.599128
358,0.769066
359,0.618903
360,0.754564
361,0.682407
362,0.622332
363,0.668837
364,0.756239
365,0.615861
366,0.694290
367,0.782597
368,0.651474
369,0.879720
370,0.702107
371,0.686880
372,0.696260
373,0.594992
374,0.767510
375,0.675260
376,0.681084
377,0.688149
378,0.749724
379,0.735142
380,0.703400
381,0.661567
382,0.744079
383,0.763522
384,0.765934
385,0.683705
386,0.553444
387,0.795584
388,0.550751
389,0.757886
390,0.646659
391,0.478065
392,0.598158
393,0.712067
394,0.693837
395,0.642708
396,0.553581
397,0.662448
398,0.718942
399,0.745780
400,0.687553
401,0.754754
402,0.811446
403,0.704492
404,0.651256
405,0.680111
406,0.809665
407,0.769982
408,0.702516
409,0.701401
410,0.705019
411,0.741959
412,0.848857
413,0.693388
414,0.630127
415,0.679695
416,0.823861
417,0.640397
418,0.757476
419,0.745319
420,0.692809
421,0.757345
422,0.649921
423,0.538905
424,0.710896
425,0.746247
426,0.769651
427,0.788680
428,0.560367
429,0.776698
430,0.687663
431,0.822733
432,0.654746
433,0.692793
434,0.735391
435,0.605787
436,0.648381
437,0.803826
438,0.866998
439,0.715290
440,0.588319
441,0.676598
442,0.639596
443,0.730754
444,0.776898
445,0.740492
446,0.579191
447,0.700136
448,0.807171
449,0.864946
450,0.700275
451,0.802024
452,0.624473
453,0.741019
454,0.814170
455,0.816583
456,0.781023
457,0.772067
458,0.770470
459,0.780980
460,0.751481
461,0.746953
462,0.724711
463,0.790053
464,0.631751
465,0.742643
466,0.725268
467,0.654996
468,0.819296
469,0.895116
470,0.737286
471,0.861690
472,0.734703
473,1.011439
474,0.744682
475,0.729517
476,0.688126
477,0.799722
478,0.792066
479,0.793375
480,0.876928
481,0.755408
482,0.862628
483,0.560081
484,0.740775
485,0.814450
486,0.739529
487,0.751347
488,0.631306
489,0.610695
490,0.684243
491,0.857317
492,0.819814
493,0.854615
494,0.634972
495,0.798771
496,0.810052
497,0.807109
498,0.808887
499,0.627281
