step,loss
0,2.329390
1,2.567837
2,2.847925
3,3.292130
4,4.320979
5,4.080382
6,5.890547
7,4.703490
8,4.355311
9,5.000958
10,3.900683
11,3.209970
12,2.870234
13,3.016072
14,2.712853
15,2.799152
16,2.615564
17,2.374769
18,2.717191
19,2.173239
20,2.356301
21,2.369749
22,2.440065
23,2.582613
24,2.117304
25,2.139780
26,2.065847
27,2.612942
28,2.178867
29,2.162464
30,2.045287
31,2.061085
32,2.039034
33,1.971328
34,2.116424
35,2.069550
36,1.987251
37,2.236101
38,2.084167
39,2.075994
40,2.033539
41,2.146155
42,1.814145
43,1.997441
44,1.916258
45,2.094443
46,2.008956
47,2.032347
48,1.972692
49,2.010748
50,2.013395
51,1.867379
52,1.964108
53,1.861525
54,1.934616
55,1.885558
56,2.016758
57,1.949452
58,1.926862
59,1.875986
60,1.927963
61,1.995046
62,1.962774
63,1.914362
64,1.895848
65,1.902696
66,1.875458
67,1.798840
68,1.879153
69,1.903969
70,1.756312
71,1.714561
72,1.840837
73,1.855094
74,1.873657
75,1.930766
76,1.700380
77,1.920013
78,1.824924
79,1.850908
80,1.920217
81,1.823015
82,1.872442
83,1.860099
84,1.875774
85,1.758947
86,1.734044
87,1.774542
88,1.726074
89,1.866693
90,1.824697
91,1.838886
92,1.730699
93,1.746113
94,1.752782
95,1.715448
96,1.738334
97,1.805435
98,1.775081
99,1.734555
