source,seed,drop_rate,transport,timeout_ms,rc,final_loss,mean_iter_ms
2seed_highdrop,1337,0.05,semirdma,50,0,1.289206,791.63
2seed_highdrop,1337,0.05,semirdma_hybrid,50,0,1.428264,859.87
2seed_highdrop,1337,0.1,semirdma,50,0,1.225254,829.61
2seed_highdrop,1337,0.1,semirdma_hybrid,50,0,1.452414,864.95
2seed_highdrop,42,0.05,semirdma,50,0,0.871395,808.53
2seed_highdrop,42,0.05,semirdma_hybrid,50,0,1.505690,882.32
2seed_highdrop,42,0.1,semirdma,50,0,0.892929,816.22
2seed_highdrop,42,0.1,semirdma_hybrid,50,0,1.220082,869.75
3seed_lowdrop,1337,0,semirdma,50,0,1.246195,805.70
3seed_lowdrop,1337,0,semirdma_hybrid,50,0,1.348189,908.49
3seed_lowdrop,1337,0.01,semirdma,50,0,1.340924,786.15
3seed_lowdrop,1337,0.01,semirdma_hybrid,50,0,1.386918,886.14
3seed_lowdrop,2024,0,semirdma,50,0,1.362679,806.42
3seed_lowdrop,2024,0,semirdma_hybrid,50,0,1.315969,907.72
3seed_lowdrop,2024,0.01,semirdma,50,0,1.194621,772.98
3seed_lowdrop,2024,0.01,semirdma_hybrid,50,0,1.236981,908.31
3seed_lowdrop,42,0,semirdma,50,0,1.291881,832.69
3seed_lowdrop,42,0,semirdma_hybrid,50,0,0.956313,874.98
3seed_lowdrop,42,0.01,semirdma,50,0,1.087281,796.95
3seed_lowdrop,42,0.01,semirdma_hybrid,50,0,1.088422,905.90
post_hybrid_smoke,?,0,semirdma,50,0,2.028136,834.49
post_hybrid_smoke,?,0.01,semirdma,50,0,2.103307,819.34
