step,fwd_ms,bwd_ms,opt_ms,total_ms
0,288.841,628.007,49.866,966.714
1,236.378,555.335,7.418,799.131
2,230.157,601.567,6.925,838.650
3,229.479,593.182,6.700,829.361
4,240.934,563.857,6.855,811.645
5,236.779,580.809,6.705,824.293
6,219.644,591.553,7.090,818.287
7,237.257,566.712,7.233,811.201
8,244.973,568.611,6.765,820.348
9,239.664,577.720,6.828,824.212
10,221.013,582.853,7.036,810.902
11,300.085,630.964,6.732,937.781
12,304.805,566.322,6.845,877.972
13,242.404,568.680,6.951,818.036
14,220.376,564.699,6.698,791.773
15,245.601,561.906,7.064,814.571
16,224.367,576.373,6.772,807.511
17,237.795,602.099,6.762,846.656
18,234.102,585.112,6.820,826.033
19,239.949,597.523,6.829,844.300
20,239.912,558.660,6.867,805.438
21,235.342,564.149,6.803,806.294
22,245.046,585.563,6.894,837.503
23,242.054,579.951,6.889,828.894
24,239.170,573.036,6.745,818.950
25,229.908,578.829,6.846,815.583
26,323.147,733.025,7.443,1063.615
27,289.213,587.539,7.101,883.853
28,234.514,593.084,7.000,834.598
29,299.691,585.380,6.876,891.947
30,230.003,607.678,6.899,844.579
31,234.836,560.731,6.794,802.361
32,220.952,598.885,7.004,826.841
33,231.447,562.154,6.741,800.342
34,222.412,572.039,6.760,801.210
35,238.596,573.469,6.906,818.971
36,231.858,583.566,6.990,822.414
37,238.015,571.331,6.798,816.144
38,226.915,597.452,7.500,831.866
39,309.651,575.924,7.555,893.130
40,227.271,586.405,7.215,820.892
41,305.880,572.357,6.913,885.149
42,231.475,585.015,7.100,823.591
43,238.359,589.915,6.845,835.119
44,231.178,573.035,6.986,811.199
45,243.574,558.986,7.078,809.638
46,231.267,573.712,7.156,812.135
47,246.999,577.781,6.943,831.722
48,233.211,604.080,6.862,844.153
49,233.761,554.847,6.834,795.442
50,222.357,598.565,6.858,827.780
51,233.497,582.047,6.834,822.379
52,222.328,586.108,6.819,815.255
53,222.554,568.086,6.882,797.522
54,230.576,575.717,6.816,813.110
55,238.410,623.316,6.883,868.608
56,233.283,555.239,6.859,795.381
57,231.301,588.866,6.844,827.011
58,240.655,574.786,7.004,822.444
59,234.914,545.927,6.904,787.744
60,221.551,567.694,6.780,796.026
61,227.138,552.568,6.774,786.480
62,217.152,572.170,6.931,796.253
63,246.129,584.982,6.691,837.801
64,214.506,561.658,6.881,783.044
65,222.712,586.790,6.836,816.338
66,256.655,564.816,6.941,828.412
67,213.484,636.272,7.208,856.963
68,293.995,607.977,6.762,908.734
69,244.768,558.889,6.857,810.514
70,242.915,605.952,6.853,855.720
71,233.176,586.627,6.840,826.643
72,239.590,601.551,6.942,848.083
73,238.884,560.717,7.114,806.715
74,229.452,605.817,6.692,841.961
75,237.739,555.778,6.796,800.314
76,239.719,575.642,6.986,822.348
77,223.312,566.298,6.816,796.426
78,224.067,557.769,7.089,788.924
79,223.379,572.513,6.739,802.631
80,239.474,570.464,6.734,816.671
81,216.415,605.864,6.687,828.966
82,223.809,521.805,7.290,752.904
83,221.954,586.541,6.695,815.190
84,230.346,563.207,6.798,800.352
85,204.916,523.268,6.834,735.018
86,222.720,565.749,6.658,795.127
87,223.181,528.800,7.137,759.118
88,218.659,539.832,7.057,765.548
89,218.309,544.151,6.856,769.316
90,215.309,550.953,6.841,773.103
91,216.813,501.526,6.896,725.234
92,199.744,525.011,7.104,731.859
93,199.172,514.653,6.861,720.686
94,221.177,582.304,6.998,810.478
95,222.956,560.078,6.691,789.725
96,199.271,569.259,6.691,775.221
97,214.657,539.731,6.710,761.098
98,207.246,514.847,7.627,729.720
99,208.057,541.596,6.976,756.629
100,212.121,481.057,7.572,700.750
101,210.756,546.142,6.718,763.617
102,190.485,519.841,6.942,717.268
103,204.019,501.818,6.695,712.532
104,193.468,557.467,6.681,757.616
105,212.235,525.168,7.113,744.516
106,206.923,486.134,6.948,700.005
107,236.490,512.457,6.686,755.633
108,214.300,517.530,7.296,739.125
109,197.595,478.986,6.599,683.180
