step,loss
0,2.291411
1,2.664224
2,3.042497
3,3.925575
4,4.878176
5,6.035918
6,6.687441
7,6.346870
8,7.062482
9,5.077553
10,4.437621
11,3.519890
12,3.347273
13,3.442275
14,3.079861
15,3.169022
16,2.608661
17,3.013990
18,2.336878
19,2.335749
20,3.139492
21,2.277457
22,2.320156
23,2.341431
24,2.372288
25,2.237910
26,2.242985
27,2.352746
28,2.080341
29,2.146955
30,2.149312
31,2.131258
32,2.215063
33,2.051258
34,2.036310
35,2.043780
36,2.099412
37,2.020535
38,2.177711
39,1.986713
40,1.994379
41,2.169463
42,1.885072
43,2.038400
44,1.952500
45,1.911381
46,2.051801
47,2.069259
48,1.958024
49,1.974429
50,2.068776
51,2.022638
52,1.953442
53,1.931123
54,1.933905
55,2.006508
56,2.083649
57,1.946942
58,1.881926
59,1.885100
60,1.894481
61,1.943584
62,1.825369
63,1.908197
64,1.794772
65,1.782765
66,1.956879
67,1.940532
68,1.965537
69,1.831774
70,1.809263
71,1.908724
72,1.900852
73,1.840049
74,1.845821
75,1.826464
76,1.847391
77,1.967538
78,1.859877
79,1.923469
80,1.815765
81,1.831705
82,1.796746
83,1.771613
84,1.780990
85,1.815457
86,1.826365
87,1.867549
88,2.052679
89,1.869739
90,1.716007
91,1.834545
92,1.757113
93,1.822182
94,1.922279
95,1.790715
96,1.821902
97,1.834180
98,1.725809
99,1.847560
100,1.742006
101,1.687515
102,1.840309
103,1.861450
104,1.805909
105,1.744404
106,1.673538
107,1.649691
108,1.772811
109,1.657961
110,1.772933
111,1.732136
112,1.915353
113,1.720578
114,1.692931
115,1.766564
116,1.678184
117,1.838823
118,1.755237
119,1.715363
120,1.810255
121,1.680047
122,1.723431
123,1.787548
124,1.694173
125,1.620668
126,1.751298
127,1.659857
128,1.705213
129,1.806967
130,1.664329
131,1.528513
132,1.653510
133,1.691438
134,1.604173
135,1.588631
136,1.545958
137,1.698496
138,1.684341
139,1.656503
140,1.724865
141,1.540005
142,1.685180
143,1.649076
144,1.596974
145,1.701915
146,1.679146
147,1.727803
148,1.580717
149,1.573833
150,1.578277
151,1.642113
152,1.681878
153,1.545768
154,1.566077
155,1.562197
156,1.585836
157,1.729088
158,1.609883
159,1.631134
160,1.657640
161,1.701529
162,1.736243
163,1.845363
164,1.609943
165,1.447658
166,1.426672
167,1.554015
168,1.572177
169,1.573389
170,1.460368
171,1.620882
172,1.561378
173,1.476217
174,1.529886
175,1.493382
176,1.565447
177,1.604627
178,1.630785
179,1.687963
180,1.637873
181,1.536063
182,1.622409
183,1.602239
184,1.459749
185,1.551018
186,1.515246
187,1.648775
188,1.602622
189,1.598437
190,1.699882
191,1.765552
192,1.442719
193,1.567931
194,1.527531
195,1.598373
196,1.425167
197,1.407113
198,1.465877
199,1.440337
200,1.605079
201,1.449548
202,1.462274
203,1.525160
204,1.410357
205,1.485141
206,1.544677
207,1.453621
208,1.425353
209,1.401278
210,1.618317
211,1.488268
212,1.647273
213,1.560461
214,1.519357
215,1.616565
216,1.454091
217,1.429979
218,1.496935
219,1.396184
220,1.518499
221,1.512154
222,1.510880
223,1.466301
224,1.568498
225,1.577125
226,1.387109
227,1.324994
228,1.331957
229,1.318863
230,1.400856
231,1.408701
232,1.500145
233,1.525983
234,1.570310
235,1.352134
236,1.394107
237,1.371953
238,1.519045
239,1.444873
240,1.488501
241,1.392074
242,1.389768
243,1.432551
244,1.461843
245,1.326972
246,1.225655
247,1.461508
248,1.587758
249,1.329248
250,1.431225
251,1.444617
252,1.474745
253,1.282992
254,1.412511
255,1.399571
256,1.457223
257,1.362603
258,1.317072
259,1.589801
260,1.321118
261,1.387974
262,1.282509
263,1.474673
264,1.533899
265,1.294916
266,1.301873
267,1.371376
268,1.383396
269,1.456421
270,1.459640
271,1.304996
272,1.392146
273,1.429555
274,1.231124
275,1.497011
276,1.424177
277,1.351276
278,1.325172
279,1.195046
280,1.418549
281,1.430383
282,1.476152
283,1.433239
284,1.458964
285,1.326445
286,1.403766
287,1.291965
288,1.294933
289,1.187980
290,1.351229
291,1.102962
292,1.439749
293,1.208143
294,1.073773
295,1.228320
296,1.258446
297,1.168586
298,1.084984
299,1.435467
300,1.344878
301,1.235039
302,1.231121
303,1.209562
304,1.470599
305,1.327994
306,1.467230
307,1.469454
308,1.436646
309,1.396214
310,1.544882
311,1.332912
312,1.269102
313,1.503733
314,1.464040
315,1.363958
316,1.465406
317,1.291857
318,1.284779
319,1.393054
320,1.277049
321,1.391440
322,1.399867
323,1.337884
324,1.337425
325,1.315032
326,1.333388
327,1.303314
328,1.245033
329,1.240536
330,1.165261
331,1.048577
332,1.495054
333,1.359231
334,1.299565
335,1.247923
336,1.361706
337,1.418287
338,1.179783
339,1.272616
340,1.099450
341,1.180762
342,1.167542
343,1.262076
344,1.332367
345,1.276443
346,1.212556
347,1.309386
348,1.231603
349,1.208371
350,1.150275
351,1.123681
352,1.213188
353,1.531608
354,1.547565
355,1.292880
356,1.191750
357,1.251858
358,1.276387
359,1.339148
360,1.369915
361,1.380520
362,1.195194
363,1.156967
364,1.191440
365,1.164551
366,1.260292
367,1.329214
368,1.215908
369,1.073911
370,1.385300
371,1.223048
372,1.260218
373,0.900484
374,1.378367
375,1.311062
376,1.270410
377,1.199115
378,1.244502
379,1.151362
380,1.324102
381,1.225162
382,1.205177
383,1.051221
384,1.234457
385,1.118127
386,1.149342
387,1.404994
388,1.146297
389,1.117000
390,1.190055
391,1.073336
392,1.227146
393,1.172596
394,1.205873
395,0.920009
396,1.121891
397,1.285833
398,1.117935
399,1.277490
400,1.318551
401,1.159987
402,1.038248
403,1.051074
404,1.091611
405,1.181152
406,1.079798
407,1.139907
408,1.152683
409,1.181313
410,1.143574
411,1.115860
412,1.145019
413,1.246838
414,1.051030
415,1.039950
416,1.007527
417,1.144930
418,1.525149
419,1.134739
420,1.066852
421,1.182798
422,1.137889
423,1.241939
424,1.185885
425,1.206996
426,0.924996
427,1.107506
428,1.074648
429,1.213608
430,1.180202
431,1.007034
432,1.191827
433,1.154090
434,0.995873
435,1.105132
436,1.173762
437,1.142827
438,1.209655
439,1.049865
440,1.141359
441,1.202019
442,1.109472
443,1.078590
444,1.089433
445,1.242038
446,0.959175
447,1.070278
448,1.058286
449,1.174520
450,1.083177
451,1.015334
452,0.869760
453,0.999463
454,1.040936
455,1.020089
456,1.113510
457,1.162615
458,1.022299
459,1.049415
460,0.970577
461,1.057129
462,1.077424
463,1.077328
464,1.039574
465,0.980153
466,0.896410
467,0.958460
468,1.164928
469,0.811865
470,0.909744
471,1.020035
472,1.237646
473,1.237698
474,1.106110
475,1.118049
476,0.925477
477,0.804906
478,1.025759
479,0.927418
480,1.019424
481,0.837267
482,0.916131
483,0.956551
484,1.013489
485,0.875769
486,0.998173
487,1.018488
488,0.941857
489,1.130881
490,1.155686
491,0.911300
492,0.810432
493,0.961334
494,0.772055
495,1.061833
496,1.094876
497,0.829239
498,0.979732
499,1.121266
