step,grad_l2
0,3.156391
1,4.511743
2,7.807779
3,9.711326
4,6.134468
5,9.343509
6,9.508390
7,7.174421
8,5.929167
9,4.786544
10,5.998584
11,4.470137
12,2.967302
13,3.051380
14,1.605980
15,2.645168
16,1.199986
17,1.284256
18,1.456699
19,1.016531
20,1.245417
21,1.725517
22,1.187074
23,1.478495
24,1.181919
25,1.399167
26,1.777408
27,0.918683
28,0.942714
29,0.861285
30,0.897871
31,0.953771
32,0.869768
33,0.995714
34,1.016995
35,1.219682
36,0.468681
37,0.766864
38,0.463195
39,1.134872
40,1.042199
41,1.151826
42,0.745623
43,0.528838
44,0.718863
45,0.730069
46,0.502494
47,0.964842
48,0.684747
49,0.609708
50,0.462212
51,0.720912
52,0.587557
53,0.855339
54,0.652962
55,0.642776
56,0.743702
57,0.619980
58,0.528742
59,0.704429
60,0.869099
61,0.916766
62,0.567612
63,1.052252
64,0.923984
65,0.561360
66,0.868827
67,0.987282
68,0.565442
69,0.725113
70,0.776682
71,0.614340
72,0.727310
73,0.631191
74,0.704053
75,0.801593
76,0.825019
77,0.587386
78,0.749916
79,0.805119
80,0.787278
81,0.685127
82,0.639561
83,0.861373
84,0.852249
85,0.866957
86,0.670567
87,0.697648
88,0.898702
89,0.681869
90,0.565637
91,0.844693
92,0.661536
93,0.843377
94,0.684692
95,0.796457
96,0.680504
97,0.787295
98,0.787484
99,0.706515
100,0.866946
101,0.753299
102,0.641223
103,0.694737
104,0.610802
105,0.681562
106,0.772262
107,0.732234
108,0.901584
109,0.651315
110,0.785779
111,0.885512
112,0.724079
113,0.624792
114,0.569199
115,0.768092
116,0.743515
117,0.807371
118,0.743279
119,0.660177
120,0.861375
121,0.729773
122,0.866359
123,0.971286
124,0.819716
125,0.736414
126,0.769792
127,0.743862
128,0.734795
129,0.654461
130,0.765706
131,0.617177
132,0.740642
133,0.835329
134,0.791177
135,0.799904
136,0.903550
137,1.067396
138,0.943884
139,0.782850
140,1.070487
141,1.116968
142,0.851526
143,0.874540
144,0.874176
145,0.730496
146,0.782729
147,0.852074
148,0.938283
149,0.792067
150,0.814040
151,0.669460
152,0.943273
153,1.063565
154,0.877252
155,1.145803
156,0.811471
157,0.797711
158,0.880987
159,0.879489
160,0.874317
161,0.959887
162,0.764266
163,0.901734
164,0.854038
165,0.817973
166,1.127881
167,0.811670
168,0.793180
169,0.960602
170,0.875764
171,1.006815
172,1.178807
173,0.943356
174,0.940972
175,0.923741
176,0.868762
177,0.842905
178,0.787118
179,0.838253
180,0.801458
181,0.920165
182,0.713350
183,0.765291
184,0.729787
185,0.871202
186,0.636379
187,0.808188
188,0.948324
189,1.102820
190,0.908777
191,1.199321
192,1.074651
193,0.995960
194,0.914646
195,0.917502
196,0.904800
197,0.910690
198,1.153813
199,1.071011
200,1.111688
201,0.893859
202,0.983206
203,1.075561
204,0.912552
205,0.917930
206,1.011177
207,1.054180
208,0.757412
209,0.772069
210,1.039737
211,0.858945
212,1.023133
213,0.912108
214,1.015616
215,1.002925
216,0.840841
217,0.827676
218,0.875304
219,0.901214
220,1.079746
221,0.953268
222,1.102461
223,0.851819
224,0.823974
225,1.430760
226,0.874584
227,0.932930
228,0.871948
229,0.989340
230,1.146090
231,0.820936
232,1.027177
233,1.401776
234,1.077031
235,0.968760
236,1.039434
237,1.275765
238,1.035300
239,1.214805
240,0.884773
241,1.172723
242,0.859074
243,0.984287
244,1.051746
245,0.971541
246,0.844431
247,1.273044
248,1.054966
249,0.765627
250,0.894489
251,0.977725
252,0.901750
253,1.002595
254,0.837739
255,0.767667
256,1.098509
257,0.902179
258,1.140038
259,1.246394
260,0.807046
261,1.015212
262,0.873754
263,1.066283
264,1.074798
265,0.814780
266,1.026716
267,0.883693
268,1.044184
269,1.119231
270,1.206538
271,1.097523
272,1.093323
273,0.918585
274,1.041683
275,0.924813
276,1.137902
277,0.990895
278,0.887861
279,1.002314
280,1.058242
281,1.149775
282,0.913070
283,1.294283
284,1.126974
285,1.210336
286,0.994186
287,1.110263
288,1.006316
289,1.134282
290,1.100733
291,0.798928
292,0.923566
293,1.046227
294,1.002021
295,1.102771
296,0.888904
297,0.778569
298,1.195150
299,0.919156
300,0.937569
301,0.835209
302,0.943022
303,0.936435
304,0.873205
305,1.188813
306,0.756799
307,1.088970
308,0.887934
309,0.756090
310,1.104440
311,0.816057
312,0.853041
313,1.002612
314,0.969630
315,0.862932
316,0.776423
317,0.877537
318,0.973919
319,0.899767
320,0.769493
321,0.825473
322,0.876612
