step,fwd_ms,bwd_ms,opt_ms,total_ms
0,306.507,4664.684,45.287,5016.477
1,248.590,1080.517,5.798,1334.905
2,206.751,2181.068,5.908,2393.727
3,223.113,1139.967,5.969,1369.049
4,217.079,1092.770,5.923,1315.773
5,215.605,1653.350,5.873,1874.829
6,211.799,1398.269,5.780,1615.848
7,196.332,1402.253,6.053,1604.638
8,187.649,4599.549,6.042,4793.239
9,171.318,1500.366,5.907,1677.592
10,214.130,3250.794,6.085,3471.009
11,206.691,2407.691,5.971,2620.353
12,185.390,2009.310,6.023,2200.723
13,200.667,2425.242,5.979,2631.888
14,168.655,1176.133,5.989,1350.778
15,191.603,3283.778,5.837,3481.217
16,200.165,1702.173,5.690,1908.028
17,186.204,2457.669,6.004,2649.876
18,190.633,2519.096,6.023,2715.752
19,170.412,913.116,6.060,1089.588
20,173.153,1907.866,6.083,2087.102
21,170.658,1690.167,6.030,1866.855
22,213.017,3019.546,5.938,3238.502
23,179.763,1960.692,5.886,2146.341
24,226.703,1700.527,5.889,1933.119
25,188.092,2701.027,12.994,2902.113
26,199.438,2486.558,6.055,2692.050
27,184.717,2774.683,5.750,2965.150
28,194.953,1613.212,5.821,1813.986
29,205.843,2488.935,5.901,2700.679
30,183.374,1666.134,6.039,1855.547
31,194.243,3013.254,5.983,3213.481
32,195.073,3051.721,6.019,3252.814
33,189.915,2192.304,5.853,2388.073
34,197.861,1979.258,6.044,2183.164
35,194.724,2425.905,5.854,2626.483
36,179.974,3054.758,6.050,3240.782
37,221.795,2698.688,5.840,2926.323
38,198.089,1966.358,5.865,2170.311
39,203.268,1748.573,5.968,1957.809
40,192.510,2672.627,5.717,2870.854
41,193.102,2238.967,5.806,2437.875
42,208.491,2722.472,5.726,2936.690
43,202.123,2209.143,5.901,2417.167
44,227.735,2687.587,5.937,2921.258
45,182.494,1142.850,5.840,1331.185
46,200.382,917.189,5.961,1123.532
47,185.023,1400.588,5.838,1591.449
48,188.544,871.592,5.995,1066.132
49,188.291,2169.453,5.904,2363.648
50,209.155,2465.858,5.952,2680.965
51,190.573,1181.761,5.949,1378.283
52,218.860,3749.998,5.828,3974.685
53,184.397,1487.396,6.029,1677.822
54,205.566,1682.848,5.858,1894.272
